Ticker
AGN
ARNC
BCR
BHGE
BLL
CBS
CMA
GPS
HES
IPG
JWN
K
MMC
MRO
PKI
PX
RTN
STJ
TMK
UTX
WBA
CTL
XLNX
CTXS
AABA
LLTC
TIF
FTR
ABC
XL
ANTM
MON
RAI
SYMC
ETFC
MYL
LLL
PDCO
VIAB
WFM
CHK
LM
JNPR
WYND
CELG
VAR
DFS
NBL
JEC
TSS
HCP
SWN
COG
SNI
HRS
PXD
PBCT
SRCL
DNB
FLIR
DO
RHT
MJN
DISCA
CERN
CVC
GAS
ALXN
KSU
NLSN
KORS
GGP
ADS
XEC
DISCK
MNK
LVLT
ENDP
HBI
BXLT
CPGX
WRK
ATVI
WLTW
CXO
FL
FBHS
DISH
ANSS
RE
DRE
DWDP
SIVB
ABMD
TWTR
HFC
FLT
WCG
MXIM
FRC
NLOK
PEAK
VIAC
CTLT
CDAY
PARA
FI
DAY
TWC
ARG
