ticker
AAPL
ABT
ADM
ADP
ADSK
AEE
AEP
AET
AGN
AIG
ALL
AMAT
AMGN
APD
ARNC
AVY
AXP
BA
BAC
BAX
BCR
BDX
BF-B
BHGE
BK
BLL
BMY
BSX
C
CA
CAG
CAT
CB
CBS
CI
CL
CLX
CMA
CMCSA
CMI
CNP
COP
COST
CPB
CSCO
CSX
CVS
CVX
D
DD
DE
DIS
DOV
DOW
DRI
DTE
DUK
ECL
ED
EIX
EMN
EMR
ETN
ETR
EXC
F
FCX
FDX
FE
GD
GE
GIS
GLW
GPC
GPS
GT
GWW
HAL
HAS
HD
HES
HIG
HON
HPQ
HRB
HSY
HUM
IBM
IFF
INTC
IP
IPG
ITW
JCI
JNJ
JPM
JWN
K
KEY
KMB
KO
KR
L
LB
LLY
LMT
LNC
LOW
LUV
M
MAS
MAT
MCD
MCO
MDT
MMC
MMM
MO
MRK
MRO
MS
MSFT
MSI
MU
NEE
NEM
NKE
NOC
NSC
NUE
NWL
ORCL
OXY
PBI
PCAR
PCG
PEG
PEP
PFE
PG
PH
PHM
PKI
PNC
PPG
PPL
PX
R
ROK
RTN
SHW
SLB
SNA
SO
SPGI
STI
STJ
SWK
SYY
T
TAP
TGNA
TGT
TJX
TMK
TRV
TWX
TXN
TXT
UNH
UNM
UNP
USB
UTX
VFC
VZ
WBA
WFC
WHR
WMB
WMT
WY
XEL
XOM
XRX
FITB
EMC
AON
AZO
TMO
ADBE
CAH
SCHW
EFX
APA
APC
PGR
HBAN
STT
KLAC
YUM
BBT
CINF
OMC
NTRS
SEE
BEN
MAR
SRE
COF
WM
KSS
RF
PAYX
AES
SPLS
CCE
DHR
CCL
MCK
CTL
CMS
AFL
NTAP
BBY
VMC
QCOM
BBBY
PNW
ADI
TROW
LEG
XLNX
CTXS
AABA
HOG
LLTC
A
SBUX
TIF
DVN
EOG
NI
HOT
RHI
INTU
MET
SYK
FLR
FTR
CTAS
FISV
ZION
COL
ZBH
ABC
XL
TE
NVDA
EQR
WAT
SPG
EA
EBAY
GS
PFG
PRU
UPS
