Sleeve,Effective Weight,Raw Optimizer Weight,Daily Exposure,Effective Weight %,Date,Strategy,Case
US Equity,0.6999999999999983,0.6999999999999983,1.0,69.99999999999983,2026-06-11,One-model US cap 70% / TH cap 30% + daily exposure,US cap 70% / TH cap 30%
Cash / Reduced Exposure,0.19999999999999973,0.0,1.0,19.99999999999997,2026-06-11,One-model US cap 70% / TH cap 30% + daily exposure,US cap 70% / TH cap 30%
Gold,0.0999999999999997,0.1999999999999994,0.5,9.99999999999997,2026-06-11,One-model US cap 70% / TH cap 30% + daily exposure,US cap 70% / TH cap 30%
