Asset,Ticker,Sleeve,Internal Weight,Raw Sleeve Weight,Target Weight,Effective Weight,Daily Exposure,Target Weight %,Effective Weight %,Date,Strategy,Last Exposure Date,Signal Source Close Date
SMCI,SMCI,US Equity,0.07999999999999988,0.19999999999999998,0.015999999999999973,0.015999999999999973,1.0,1.5999999999999972,1.5999999999999972,2026-06-17,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-17,2026-06-16
ORCL,ORCL,US Equity,0.07999999999999988,0.19999999999999998,0.015999999999999973,0.015999999999999973,1.0,1.5999999999999972,1.5999999999999972,2026-06-17,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-17,2026-06-16
GOOG,GOOG,US Equity,0.07999999999999984,0.19999999999999998,0.015999999999999966,0.015999999999999966,1.0,1.5999999999999965,1.5999999999999965,2026-06-17,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-17,2026-06-16
AAPL,AAPL,US Equity,0.0799999999999997,0.19999999999999998,0.015999999999999938,0.015999999999999938,1.0,1.5999999999999939,1.5999999999999939,2026-06-17,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-17,2026-06-16
AMZN,AMZN,US Equity,0.0799999999999996,0.19999999999999998,0.015999999999999917,0.015999999999999917,1.0,1.5999999999999917,1.5999999999999917,2026-06-17,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-17,2026-06-16
SCB.BK,SCB.BK,TH Equity,0.07938858542579577,0.19999999999999998,0.015877717085159154,0.015877717085159154,1.0,1.5877717085159153,1.5877717085159153,2026-06-17,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-17,2026-06-16
TTB.BK,TTB.BK,TH Equity,0.07737571116242394,0.19999999999999998,0.015475142232484786,0.015475142232484786,1.0,1.5475142232484786,1.5475142232484786,2026-06-17,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-17,2026-06-16
KBANK.BK,KBANK.BK,TH Equity,0.07720435420670586,0.19999999999999998,0.015440870841341171,0.015440870841341171,1.0,1.544087084134117,1.544087084134117,2026-06-17,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-17,2026-06-16
PTT.BK,PTT.BK,TH Equity,0.07430958487050948,0.19999999999999998,0.014861916974101896,0.014861916974101896,1.0,1.4861916974101896,1.4861916974101896,2026-06-17,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-17,2026-06-16
BBL.BK,BBL.BK,TH Equity,0.07413626176983466,0.19999999999999998,0.014827252353966931,0.014827252353966931,1.0,1.482725235396693,1.482725235396693,2026-06-17,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-17,2026-06-16
