Strategy,Date,TH Signal On,US Count,TH Count,US Group Cap,TH Group Cap,Stock Cap,Concentration Penalty,US Weight,TH Weight,Gold Weight,BTC Weight,Cash Weight,Raw Max Stock Weight,Case
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2010-01-29,True,50,50,0.7,0.3,0.05,0.02,0.6999999999999977,0.30000000000000165,9.515851075465207e-16,0.0,0.0,0.04999999999999988,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2010-02-26,False,50,0,0.7,0.3,0.05,0.02,0.7000000000000004,0.0,0.2999999999999998,0.0,0.0,0.04999999999999998,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2010-03-31,True,50,50,0.7,0.3,0.05,0.02,0.7000000000000008,0.29999999999999816,8.410317242970369e-16,0.0,0.0,0.049999999999999836,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2010-04-30,True,50,50,0.7,0.3,0.05,0.02,0.699999999999994,0.30000000000000626,0.0,0.0,0.0,0.049999999999999545,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2010-05-31,False,50,0,0.7,0.3,0.05,0.02,0.7000000000000005,0.0,0.29999999999999954,0.0,0.0,0.04999999999999993,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2010-06-30,True,50,50,0.7,0.3,0.05,0.02,0.3999999999999976,0.300000000000005,0.29999999999999766,0.0,0.0,0.049999999999999614,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2010-07-30,True,50,50,0.7,0.3,0.05,0.02,0.3999999999999992,0.300000000000002,0.29999999999999866,0.0,0.0,0.04999999999999975,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2010-08-31,True,50,50,0.7,0.3,0.05,0.02,0.649999999999989,0.3000000000000125,0.049999999999998816,0.0,0.0,0.04999999999999913,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2010-09-30,True,50,50,0.7,0.3,0.05,0.02,0.6999999999999997,0.30000000000000043,0.0,0.0,0.0,0.049999999999999795,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2010-10-29,True,50,50,0.7,0.3,0.05,0.02,0.4500000000000001,0.3000000000000014,0.24999999999999828,0.0,0.0,0.04999999999999978,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2010-11-30,False,50,0,0.7,0.3,0.05,0.02,0.7000000000000004,0.0,0.29999999999999954,0.0,0.0,0.049999999999999926,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2010-12-31,True,50,50,0.7,0.3,0.05,0.02,0.6999999999999926,0.30000000000000737,0.0,0.0,0.0,0.04999999999999924,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2011-01-31,False,50,0,0.7,0.3,0.05,0.02,0.7000000000000005,0.0,0.2999999999999994,0.0,0.0,0.049999999999999906,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2011-02-28,False,50,0,0.7,0.3,0.05,0.02,0.7000000000000007,0.0,0.29999999999999927,0.0,0.0,0.04999999999999988,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2011-03-31,False,50,0,0.7,0.3,0.05,0.02,0.7000000000000006,0.0,0.29999999999999954,0.0,0.0,0.049999999999999926,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2011-04-29,True,50,50,0.7,0.3,0.05,0.02,0.40000000000000124,0.3,0.29999999999999866,0.0,0.0,0.04999999999999969,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2011-05-31,True,50,50,0.7,0.3,0.05,0.02,0.5764012641013684,0.3000000000000008,0.1235987358986309,0.0,0.0,0.049999999999999795,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2011-06-30,False,50,0,0.7,0.3,0.05,0.02,0.7000000000000012,0.0,0.2999999999999988,0.0,0.0,0.04999999999999987,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2011-07-29,False,50,0,0.7,0.3,0.05,0.02,0.7000000000000007,0.0,0.2999999999999992,0.0,0.0,0.04999999999999995,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2011-08-31,True,50,50,0.7,0.3,0.05,0.02,0.4000000000000025,0.3000000000000026,0.299999999999995,0.0,0.0,0.049999999999999684,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2011-09-30,False,50,0,0.7,0.3,0.05,0.02,0.7000000000000002,0.0,0.30000000000000004,0.0,0.0,0.05000000000000002,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2011-10-31,False,50,0,0.7,0.3,0.05,0.02,0.7000000000000011,0.0,0.299999999999999,0.0,0.0,0.049999999999999836,Stock cap 5%
