,AAPL,ADBE,ADVANC.BK,AMD,AMZN,AOT.BK,AVGO,BA,BAC,BANPU.BK,BBL.BK,BDMS.BK,BEM.BK,BGRIM.BK,BH.BK,BRK-B,C,CBG.BK,CPALL.BK,CPF.BK,CPN.BK,CRM,DELTA.BK,DIS,EA.BK,GOOG,GOOGL,GPSC.BK,HD,HMPRO.BK,INTC,IVL.BK,JNJ,JPM,KBANK.BK,KCE.BK,KTB.BK,MA,META,MINT.BK,MSFT,MTC.BK,MU,NFLX,NVDA,PTT.BK,PTTEP.BK,PTTGC.BK,QCOM,SAWAD.BK,SCC.BK,TOP.BK,TRUE.BK,TSLA,TTB.BK,UNH,V,WFC,WMT,XOM
2017-12-29,0.0,0.05999999999999987,9.656653839042573e-17,6.394433851411976e-18,0.05999999999999987,0.05999999999999983,5.70631894835425e-17,0.05999999999999994,0.05990362680503137,0.04009637319496872,1.3747836992463324e-17,0.0,2.7421133837304857e-17,0.0,1.305192463757737e-16,2.2008838613680933e-17,4.363905609885803e-17,2.3953532380573474e-17,0.059999999999999866,4.3212797761568366e-17,8.479214699787978e-17,1.64382180601905e-17,9.65343725339194e-19,9.374972205393327e-18,0.059999999999999956,1.5217057073659613e-17,1.760119013906557e-17,0.05999999999999993,0.059999999999999894,0.0,0.05999999999999987,0.05999999999999993,2.05601448688932e-18,6.989978113242875e-17,0.059999999999999956,1.5132170495232713e-17,5.2186870115225546e-18,1.3522324881361398e-17,2.5607231083818775e-17,7.831546718834066e-18,0.05999999999999985,4.290846201728905e-17,4.184769085909663e-17,6.023668804841088e-18,4.030509991769827e-17,0.0,0.0,8.97020730690417e-17,0.05999999999999992,1.3052533639840789e-17,3.190973380158037e-17,0.0,2.9958299530527806e-17,5.246808843679086e-17,0.05999999999999985,1.2420071600990306e-16,8.436920740755205e-17,7.365956461937634e-17,0.05999999999999984,1.2258882581222472e-18
2018-01-31,1.220718754921637e-16,2.7718452749809626e-17,5.273843984213019e-17,0.05999999999999986,0.05999999999999985,0.059999999999999776,8.439860807248523e-17,0.059999999999999803,0.0,0.05999999999999989,0.0,1.5311932715032303e-17,2.8176364775669175e-17,0.0,1.2138179777725548e-16,9.897066226018534e-18,1.270625580502557e-16,5.782443354884855e-17,0.040000000000000174,2.1997176030513234e-17,0.0,3.7122692343178885e-17,4.926375885326948e-17,3.0063905356634187e-17,0.05999999999999988,1.5146664995873435e-16,0.0,0.05999999999999982,0.059999999999999866,1.929120144767567e-16,7.838584389263583e-17,0.059999999999999824,2.5949595358065284e-17,0.0,3.5086958434728676e-17,5.951292867847075e-17,1.98031853758645e-16,2.9685014228702484e-17,4.666289383607667e-17,7.241541244002006e-17,6.423343620720544e-17,1.2508923461092672e-16,3.879560097317661e-17,0.05999999999999982,0.0,0.059999999999999824,0.0599999999999998,0.05999999999999979,0.05999999999999993,5.335235458200027e-17,5.136473738793499e-17,5.623155386885936e-17,0.05999999999999986,0.0,0.0,0.0,2.6429114677612264e-17,7.077091550880234e-17,0.05999999999999993,2.4049133170564455e-18
2018-02-28,3.4911433672222e-17,0.011340432034781413,0.05999999999999988,0.0,0.05999999999999992,0.059999999999999935,2.6298815355503456e-17,0.059999999999999984,4.61705146253572e-18,0.059999999999999984,1.3609102962976028e-16,2.4351079474221018e-17,0.0,0.0,0.0,4.458469071210952e-17,3.7270815524508175e-17,0.0,0.059999999999999984,1.7564541518975023e-17,3.2037072393859012e-18,0.0,2.2941127147496753e-17,1.302617247569801e-17,0.05999999999999997,2.1713282724812354e-17,0.0,0.059999999999999984,4.0495264848806296e-18,0.05999999999999992,0.0,4.0087874093773006e-17,1.4193687646485206e-17,0.0,0.0,4.816126604518962e-18,0.0,0.059999999999999915,0.0,1.749977260012379e-17,4.996453457011842e-17,0.020911870298609043,0.007747697666609675,0.05999999999999995,0.05999999999999997,0.059999999999999984,0.059999999999999984,0.059999999999999894,0.0,0.0,0.0,0.05999999999999997,1.673615429952488e-16,0.0,0.0,0.0,0.0,0.0,2.6598475707577242e-17,0.0
2018-03-30,0.0,0.05999999999999979,0.05999999999999983,5.918470471708197e-18,0.05999999999999979,3.2261079666974125e-17,0.0,8.436119614317367e-16,6.489865870629128e-17,9.746700380737504e-17,0.0,0.05999999999999985,5.929623363108729e-17,0.0,0.05999999999999988,0.0,0.0,1.70211056888115e-17,0.05999999999999988,8.319613354243526e-16,0.0,0.0,0.0,6.692539395355867e-18,8.805023124685645e-18,1.1874636315014986e-17,0.0,0.0,1.8556274850754412e-17,0.05999999999999988,0.04258767746180892,0.05741232253819084,3.977225760226092e-17,5.025000114906409e-17,2.0823453781080947e-18,5.792925508392978e-17,0.0,0.059999999999999734,0.0,0.0,1.6747327730102832e-16,0.0,0.05999999999999988,0.05999999999999988,0.05999999999999978,0.05999999999999984,0.05999999999999983,0.05999999999999988,8.924137850918525e-17,2.5980358368966642e-17,0.0,2.1421423613224456e-17,0.05999999999999988,6.172961018642751e-17,4.5266060379861234e-17,8.265092997494866e-17,0.0,0.0,0.0,0.0
2018-04-30,0.0,0.059999999999999894,0.059999999999999803,0.0,0.05999999999999987,2.969801668485267e-16,2.642715192361151e-17,0.0,0.0,5.924391732649121e-17,0.0,0.05999999999999986,1.3709185796459047e-16,0.0,2.3954130102964962e-17,0.0,9.542528275162233e-18,1.0521735282240268e-17,0.059999999999999824,0.04000000000000128,0.0,0.05999999999999984,5.562886463293e-17,0.0,0.0,0.0,6.428071067326613e-18,0.0,6.837193238912524e-17,0.05999999999999984,0.05999999999999986,0.059999999999999894,5.439190764043234e-17,6.663142236047377e-17,2.882834829959982e-17,2.4953892443684997e-17,3.1495851294771506e-17,0.059999999999999755,3.0094420963156387e-17,1.4862643234210463e-17,0.0,9.24394578088218e-18,0.05999999999999987,0.059999999999999845,7.01129017768413e-17,0.05999999999999991,0.059999999999999803,0.05999999999999991,0.0,0.0,0.0,5.3863096913457424e-17,0.05999999999999988,0.0,0.0,3.047001666320121e-17,0.0,5.660497634344793e-17,0.0,0.0
2018-05-31,0.00574143644177333,0.059999999999999984,7.5526983587288e-17,0.059999999999999984,0.05999999999999989,0.0,3.1947081191267396e-18,0.0,0.0,1.7885924739789183e-17,5.779884195742762e-18,0.059999999999999984,0.059999999999999866,0.0,0.0,3.2678580112029223e-17,0.0,0.0,2.4545454864801875e-18,0.059999999999999984,9.602880464582155e-18,4.1215151152331864e-17,1.6135494009153648e-17,0.0,8.117806485533939e-18,4.947977740981601e-17,0.0,2.5733304997543392e-17,5.67356109280049e-17,0.0,0.059999999999999984,0.059999999999999984,0.0,0.0,1.4667249282759997e-17,0.0,4.08255564756328e-17,0.05999999999999998,0.02585258930983817,0.0,0.0,3.2457730068391366e-17,0.05999999999999996,0.059999999999999984,0.059999999999999984,0.0,0.059999999999999984,0.0,0.0,0.0,0.0,0.0,0.059999999999999984,1.1606079438185263e-17,0.0,0.008405974248388742,0.05999999999999985,1.9404231582993248e-17,3.5197013003021913e-17,0.05999999999999998
2018-06-29,0.06000000000000001,0.06000000000000001,0.0,0.06000000000000001,0.06000000000000001,0.0,1.1889057352618943e-16,5.058859314755069e-17,8.827215373644442e-17,7.076506226812525e-17,1.4618756968236351e-16,2.9567953868167133e-17,2.5102513195026845e-17,0.0,2.2108716941116852e-17,3.3637258805761884e-18,1.403185485238395e-16,5.8974829693264505e-18,0.0,3.79136584793132e-17,3.285586488999747e-17,0.06000000000000001,4.679967647623561e-17,0.0,4.387260900245431e-17,0.06000000000000001,0.05999999999999999,0.0,0.059999999999999956,1.6192936905990794e-17,1.598576651177217e-16,6.079998621892035e-17,0.0,1.5201079287019712e-16,2.0297972385177893e-17,0.012520851123438755,4.8072522823902115e-17,0.05999999999999996,0.05999999999999977,4.1877105092528546e-17,0.06000000000000001,2.3392884726807353e-17,4.015801033525637e-17,0.05999999999999988,2.3257538071218897e-16,4.610646014231081e-17,0.05999999999999997,0.0,3.205939370373035e-17,3.2941690279927887e-17,0.0,0.0,8.410615185281717e-18,0.0599999999999999,0.0,0.027479148876559726,0.05999999999999993,2.6699845085769507e-16,1.6694987699488194e-16,0.05999999999999987
2018-07-31,0.0,0.01538427148539944,0.0,0.05999999999999987,0.05999999999999994,2.6861837000262495e-19,0.0,0.02248346353815693,0.0,6.952747310202174e-17,2.570524289318546e-17,0.05999999999999994,6.170844969698734e-17,0.0,1.3792106087408151e-17,0.0,0.0,0.0,0.0,1.0285799156558593e-16,0.0,0.05999999999999994,0.0,0.05999999999999994,0.0,0.05999999999999994,0.05999999999999994,0.0,0.04529716938173994,1.0415165943973901e-17,0.0,1.4281617445980993e-17,0.059999999999999915,2.6320817767783767e-16,0.05999999999999994,0.05999999999999994,3.2273280069403594e-17,0.0,1.1189460788146818e-17,8.183265578706326e-17,0.059999999999999866,0.0,0.05999999999999993,0.0168350955947036,0.0,7.376299566833856e-17,5.679951503669322e-17,0.0,0.05999999999999994,0.0,2.163433521767383e-17,0.0,0.0,0.0,0.0,0.05999999999999994,0.0,0.05999999999999994,2.99720022132625e-18,2.1321626003940737e-16
2018-08-31,0.05999999999999987,2.7901549359263586e-17,0.0,0.059999999999999956,0.059999999999999956,0.0,0.0,0.0,1.5177850228452257e-18,0.0,3.6447795172914713e-17,0.0,8.048423543663538e-17,0.0,0.0,0.05999999999999995,6.004103119416611e-17,0.0,0.0,3.8992387053049254e-17,2.3972838379843988e-17,0.059999999999999956,1.8029177602025998e-17,0.059999999999999956,2.7566388245226495e-17,0.0,0.0,0.0,7.344635660915607e-17,2.214621485287492e-17,2.4340975327172087e-17,1.836295278324883e-17,0.059999999999999894,1.6200173268790444e-17,1.7103241301512986e-17,0.05999999999999991,0.0,0.022893487079488916,0.0,0.05999999999999991,0.0599999999999999,0.059999999999999956,4.3328592552756676e-17,0.0,0.0,3.657784316316658e-17,4.10081915642531e-17,0.0,0.059999999999999956,0.059999999999999956,0.0,0.0,5.885866948971659e-18,1.7279777284183345e-18,0.0,0.059999999999999956,0.059999999999999935,0.017106512920511505,0.05999999999999993,0.0
2018-09-28,0.05999999999999997,0.0,0.0,0.05999999999999997,0.05999999999999997,0.0,2.232853947595399e-17,7.820990359196824e-19,0.0,0.0,0.0,2.428172325486761e-17,0.0,0.0,4.254098763510269e-17,0.00998488610598164,0.0,3.742831426775377e-17,0.0,1.6392422554024466e-17,0.05999999999999994,0.027239131949559226,0.05999999999999997,5.2356707776655704e-17,0.059999999999999956,0.0,4.249379891079475e-17,0.0,1.5358383739834898e-17,0.002775981944459173,6.5181202324885e-18,0.0,1.1021027719858069e-16,4.2209787619179757e-17,1.0559546164138521e-16,0.0,0.05999999999999989,2.0278027968135833e-18,0.0,0.059999999999999915,0.05999999999999997,0.05999999999999993,6.375179098324392e-17,0.0,0.059999999999999915,0.05999999999999997,0.059999999999999956,5.1742682769622635e-18,0.05999999999999994,0.05999999999999997,4.2332916093761945e-17,0.059999999999999956,0.0,0.0,0.0,1.0082224014791952e-17,0.0,5.4963811569552096e-18,5.78442957682309e-17,4.292207929683159e-17
