Sleeve,Effective Weight,Raw Optimizer Weight,Daily Exposure,Effective Weight %,Date,Strategy,Case
US Equity,0.6999999999999967,0.6999999999999967,1.0,69.99999999999967,2026-06-24,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25%
TH Equity,0.29999999999999777,0.29999999999999777,1.0,29.999999999999776,2026-06-24,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25%
