Sleeve,Effective Weight,Raw Optimizer Weight,Daily Exposure,Effective Weight %,Date,Strategy,Case
US Equity,0.6999999999999977,0.6999999999999977,1.0,69.99999999999977,2026-07-12,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50
Cash / Reduced Exposure,0.19752589681479749,0.0,1.0,19.752589681479748,2026-07-12,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50
Gold,0.1024741031852023,0.2049482063704046,0.5,10.24741031852023,2026-07-12,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50
