Sleeve,Effective Weight,Raw Sleeve Weight,Daily Exposure,Date,Strategy,Effective Weight %
US Equity,0.45499999999999996,0.45499999999999996,1.0,2026-06-01,Final Best Sharpe Tactical TH/Gold/BTC 65/25/10 Gold crash protection,45.49999999999999
TH Equity,0.195,0.195,1.0,2026-06-01,Final Best Sharpe Tactical TH/Gold/BTC 65/25/10 Gold crash protection,19.5
Gold,0.125,0.25,0.5,2026-06-01,Final Best Sharpe Tactical TH/Gold/BTC 65/25/10 Gold crash protection,12.5
BTC,0.0,0.1,0.0,2026-06-01,Final Best Sharpe Tactical TH/Gold/BTC 65/25/10 Gold crash protection,0.0
Cash / Reduced Exposure,0.2250000000000001,0.0,1.0,2026-06-01,Final Best Sharpe Tactical TH/Gold/BTC 65/25/10 Gold crash protection,22.500000000000007
