,AAPL,ADBE,ADVANC.BK,AMD,AMZN,AOT.BK,AVGO,BA,BAC,BANPU.BK,BBL.BK,BDMS.BK,BEM.BK,BGRIM.BK,BH.BK,BRK-B,BTC,C,CASH,CBG.BK,CPALL.BK,CPF.BK,CPN.BK,CRM,DELTA.BK,DIS,EA.BK,GOLD,GOOG,GOOGL,GPSC.BK,HD,HMPRO.BK,INTC,IVL.BK,JNJ,JPM,KBANK.BK,KCE.BK,KTB.BK,MA,META,MINT.BK,MSFT,MTC.BK,MU,NFLX,NVDA,PTT.BK,PTTEP.BK,PTTGC.BK,QCOM,SAWAD.BK,SCC.BK,TOP.BK,TRUE.BK,TSLA,TTB.BK,UNH,V,WFC,WMT,XOM
2017-12-29,0.0,0.03599999999999992,5.793992303425543e-17,3.8366603108471854e-18,0.03599999999999992,0.0359999999999999,3.42379136901255e-17,0.03599999999999996,0.03594217608301882,0.02405782391698123,8.248702195477993e-18,0.0,1.6452680302382914e-17,0.0,7.831154782546422e-17,1.320530316820856e-17,0.1,2.6183433659314817e-17,3.3306690738754696e-16,1.4372119428344084e-17,0.03599999999999992,2.5927678656941018e-17,5.087528819872786e-17,9.8629308361143e-18,5.792062352035164e-19,5.624983323235996e-18,0.03599999999999997,0.3,9.130234244195768e-18,1.0560714083439342e-17,0.035999999999999956,0.035999999999999935,0.0,0.03599999999999992,0.035999999999999956,1.233608692133592e-18,4.193986867945725e-17,0.03599999999999997,9.079302297139628e-18,3.1312122069135326e-18,8.113394928816839e-18,1.5364338650291263e-17,4.698928031300439e-18,0.03599999999999991,2.574507721037343e-17,2.5108614515457978e-17,3.614201282904653e-18,2.418305995061896e-17,0.0,0.0,5.382124384142502e-17,0.03599999999999995,7.831520183904472e-18,1.914584028094822e-17,0.0,1.7974979718316684e-17,3.1480853062074516e-17,0.03599999999999991,7.452042960594183e-17,5.0621524444531223e-17,4.41957387716258e-17,0.0359999999999999,7.355329548733483e-19
2018-01-02,0.0,0.03599999999999992,5.793992303425543e-17,3.8366603108471854e-18,0.03599999999999992,0.0359999999999999,3.42379136901255e-17,0.03599999999999996,0.03594217608301882,0.02405782391698123,8.248702195477993e-18,0.0,1.6452680302382914e-17,0.0,7.831154782546422e-17,1.320530316820856e-17,0.1,2.6183433659314817e-17,3.3306690738754696e-16,1.4372119428344084e-17,0.03599999999999992,2.5927678656941018e-17,5.087528819872786e-17,9.8629308361143e-18,5.792062352035164e-19,5.624983323235996e-18,0.03599999999999997,0.3,9.130234244195768e-18,1.0560714083439342e-17,0.035999999999999956,0.035999999999999935,0.0,0.03599999999999992,0.035999999999999956,1.233608692133592e-18,4.193986867945725e-17,0.03599999999999997,9.079302297139628e-18,3.1312122069135326e-18,8.113394928816839e-18,1.5364338650291263e-17,4.698928031300439e-18,0.03599999999999991,2.574507721037343e-17,2.5108614515457978e-17,3.614201282904653e-18,2.418305995061896e-17,0.0,0.0,5.382124384142502e-17,0.03599999999999995,7.831520183904472e-18,1.914584028094822e-17,0.0,1.7974979718316684e-17,3.1480853062074516e-17,0.03599999999999991,7.452042960594183e-17,5.0621524444531223e-17,4.41957387716258e-17,0.0359999999999999,7.355329548733483e-19
2018-01-03,0.0,0.03599999999999992,5.793992303425543e-17,3.8366603108471854e-18,0.03599999999999992,0.0359999999999999,3.42379136901255e-17,0.03599999999999996,0.03594217608301882,0.02405782391698123,8.248702195477993e-18,0.0,1.6452680302382914e-17,0.0,7.831154782546422e-17,1.320530316820856e-17,0.1,2.6183433659314817e-17,3.3306690738754696e-16,1.4372119428344084e-17,0.03599999999999992,2.5927678656941018e-17,5.087528819872786e-17,9.8629308361143e-18,5.792062352035164e-19,5.624983323235996e-18,0.03599999999999997,0.3,9.130234244195768e-18,1.0560714083439342e-17,0.035999999999999956,0.035999999999999935,0.0,0.03599999999999992,0.035999999999999956,1.233608692133592e-18,4.193986867945725e-17,0.03599999999999997,9.079302297139628e-18,3.1312122069135326e-18,8.113394928816839e-18,1.5364338650291263e-17,4.698928031300439e-18,0.03599999999999991,2.574507721037343e-17,2.5108614515457978e-17,3.614201282904653e-18,2.418305995061896e-17,0.0,0.0,5.382124384142502e-17,0.03599999999999995,7.831520183904472e-18,1.914584028094822e-17,0.0,1.7974979718316684e-17,3.1480853062074516e-17,0.03599999999999991,7.452042960594183e-17,5.0621524444531223e-17,4.41957387716258e-17,0.0359999999999999,7.355329548733483e-19
2018-01-04,0.0,0.03599999999999992,5.793992303425543e-17,3.8366603108471854e-18,0.03599999999999992,0.0359999999999999,3.42379136901255e-17,0.03599999999999996,0.03594217608301882,0.02405782391698123,8.248702195477993e-18,0.0,1.6452680302382914e-17,0.0,7.831154782546422e-17,1.320530316820856e-17,0.1,2.6183433659314817e-17,3.3306690738754696e-16,1.4372119428344084e-17,0.03599999999999992,2.5927678656941018e-17,5.087528819872786e-17,9.8629308361143e-18,5.792062352035164e-19,5.624983323235996e-18,0.03599999999999997,0.3,9.130234244195768e-18,1.0560714083439342e-17,0.035999999999999956,0.035999999999999935,0.0,0.03599999999999992,0.035999999999999956,1.233608692133592e-18,4.193986867945725e-17,0.03599999999999997,9.079302297139628e-18,3.1312122069135326e-18,8.113394928816839e-18,1.5364338650291263e-17,4.698928031300439e-18,0.03599999999999991,2.574507721037343e-17,2.5108614515457978e-17,3.614201282904653e-18,2.418305995061896e-17,0.0,0.0,5.382124384142502e-17,0.03599999999999995,7.831520183904472e-18,1.914584028094822e-17,0.0,1.7974979718316684e-17,3.1480853062074516e-17,0.03599999999999991,7.452042960594183e-17,5.0621524444531223e-17,4.41957387716258e-17,0.0359999999999999,7.355329548733483e-19
2018-01-05,0.0,0.03599999999999992,5.793992303425543e-17,3.8366603108471854e-18,0.03599999999999992,0.0359999999999999,3.42379136901255e-17,0.03599999999999996,0.03594217608301882,0.02405782391698123,8.248702195477993e-18,0.0,1.6452680302382914e-17,0.0,7.831154782546422e-17,1.320530316820856e-17,0.1,2.6183433659314817e-17,3.3306690738754696e-16,1.4372119428344084e-17,0.03599999999999992,2.5927678656941018e-17,5.087528819872786e-17,9.8629308361143e-18,5.792062352035164e-19,5.624983323235996e-18,0.03599999999999997,0.3,9.130234244195768e-18,1.0560714083439342e-17,0.035999999999999956,0.035999999999999935,0.0,0.03599999999999992,0.035999999999999956,1.233608692133592e-18,4.193986867945725e-17,0.03599999999999997,9.079302297139628e-18,3.1312122069135326e-18,8.113394928816839e-18,1.5364338650291263e-17,4.698928031300439e-18,0.03599999999999991,2.574507721037343e-17,2.5108614515457978e-17,3.614201282904653e-18,2.418305995061896e-17,0.0,0.0,5.382124384142502e-17,0.03599999999999995,7.831520183904472e-18,1.914584028094822e-17,0.0,1.7974979718316684e-17,3.1480853062074516e-17,0.03599999999999991,7.452042960594183e-17,5.0621524444531223e-17,4.41957387716258e-17,0.0359999999999999,7.355329548733483e-19
2018-01-08,0.0,0.03599999999999992,5.793992303425543e-17,3.8366603108471854e-18,0.03599999999999992,0.0359999999999999,3.42379136901255e-17,0.03599999999999996,0.03594217608301882,0.02405782391698123,8.248702195477993e-18,0.0,1.6452680302382914e-17,0.0,7.831154782546422e-17,1.320530316820856e-17,0.1,2.6183433659314817e-17,3.3306690738754696e-16,1.4372119428344084e-17,0.03599999999999992,2.5927678656941018e-17,5.087528819872786e-17,9.8629308361143e-18,5.792062352035164e-19,5.624983323235996e-18,0.03599999999999997,0.3,9.130234244195768e-18,1.0560714083439342e-17,0.035999999999999956,0.035999999999999935,0.0,0.03599999999999992,0.035999999999999956,1.233608692133592e-18,4.193986867945725e-17,0.03599999999999997,9.079302297139628e-18,3.1312122069135326e-18,8.113394928816839e-18,1.5364338650291263e-17,4.698928031300439e-18,0.03599999999999991,2.574507721037343e-17,2.5108614515457978e-17,3.614201282904653e-18,2.418305995061896e-17,0.0,0.0,5.382124384142502e-17,0.03599999999999995,7.831520183904472e-18,1.914584028094822e-17,0.0,1.7974979718316684e-17,3.1480853062074516e-17,0.03599999999999991,7.452042960594183e-17,5.0621524444531223e-17,4.41957387716258e-17,0.0359999999999999,7.355329548733483e-19
2018-01-09,0.0,0.03599999999999992,5.793992303425543e-17,3.8366603108471854e-18,0.03599999999999992,0.0359999999999999,3.42379136901255e-17,0.03599999999999996,0.03594217608301882,0.02405782391698123,8.248702195477993e-18,0.0,1.6452680302382914e-17,0.0,7.831154782546422e-17,1.320530316820856e-17,0.1,2.6183433659314817e-17,3.3306690738754696e-16,1.4372119428344084e-17,0.03599999999999992,2.5927678656941018e-17,5.087528819872786e-17,9.8629308361143e-18,5.792062352035164e-19,5.624983323235996e-18,0.03599999999999997,0.3,9.130234244195768e-18,1.0560714083439342e-17,0.035999999999999956,0.035999999999999935,0.0,0.03599999999999992,0.035999999999999956,1.233608692133592e-18,4.193986867945725e-17,0.03599999999999997,9.079302297139628e-18,3.1312122069135326e-18,8.113394928816839e-18,1.5364338650291263e-17,4.698928031300439e-18,0.03599999999999991,2.574507721037343e-17,2.5108614515457978e-17,3.614201282904653e-18,2.418305995061896e-17,0.0,0.0,5.382124384142502e-17,0.03599999999999995,7.831520183904472e-18,1.914584028094822e-17,0.0,1.7974979718316684e-17,3.1480853062074516e-17,0.03599999999999991,7.452042960594183e-17,5.0621524444531223e-17,4.41957387716258e-17,0.0359999999999999,7.355329548733483e-19
2018-01-10,0.0,0.03599999999999992,5.793992303425543e-17,3.8366603108471854e-18,0.03599999999999992,0.0359999999999999,3.42379136901255e-17,0.03599999999999996,0.03594217608301882,0.02405782391698123,8.248702195477993e-18,0.0,1.6452680302382914e-17,0.0,7.831154782546422e-17,1.320530316820856e-17,0.1,2.6183433659314817e-17,3.3306690738754696e-16,1.4372119428344084e-17,0.03599999999999992,2.5927678656941018e-17,5.087528819872786e-17,9.8629308361143e-18,5.792062352035164e-19,5.624983323235996e-18,0.03599999999999997,0.3,9.130234244195768e-18,1.0560714083439342e-17,0.035999999999999956,0.035999999999999935,0.0,0.03599999999999992,0.035999999999999956,1.233608692133592e-18,4.193986867945725e-17,0.03599999999999997,9.079302297139628e-18,3.1312122069135326e-18,8.113394928816839e-18,1.5364338650291263e-17,4.698928031300439e-18,0.03599999999999991,2.574507721037343e-17,2.5108614515457978e-17,3.614201282904653e-18,2.418305995061896e-17,0.0,0.0,5.382124384142502e-17,0.03599999999999995,7.831520183904472e-18,1.914584028094822e-17,0.0,1.7974979718316684e-17,3.1480853062074516e-17,0.03599999999999991,7.452042960594183e-17,5.0621524444531223e-17,4.41957387716258e-17,0.0359999999999999,7.355329548733483e-19
2018-01-11,0.0,0.03599999999999992,5.793992303425543e-17,3.8366603108471854e-18,0.03599999999999992,0.0359999999999999,3.42379136901255e-17,0.03599999999999996,0.03594217608301882,0.02405782391698123,8.248702195477993e-18,0.0,1.6452680302382914e-17,0.0,7.831154782546422e-17,1.320530316820856e-17,0.1,2.6183433659314817e-17,3.3306690738754696e-16,1.4372119428344084e-17,0.03599999999999992,2.5927678656941018e-17,5.087528819872786e-17,9.8629308361143e-18,5.792062352035164e-19,5.624983323235996e-18,0.03599999999999997,0.3,9.130234244195768e-18,1.0560714083439342e-17,0.035999999999999956,0.035999999999999935,0.0,0.03599999999999992,0.035999999999999956,1.233608692133592e-18,4.193986867945725e-17,0.03599999999999997,9.079302297139628e-18,3.1312122069135326e-18,8.113394928816839e-18,1.5364338650291263e-17,4.698928031300439e-18,0.03599999999999991,2.574507721037343e-17,2.5108614515457978e-17,3.614201282904653e-18,2.418305995061896e-17,0.0,0.0,5.382124384142502e-17,0.03599999999999995,7.831520183904472e-18,1.914584028094822e-17,0.0,1.7974979718316684e-17,3.1480853062074516e-17,0.03599999999999991,7.452042960594183e-17,5.0621524444531223e-17,4.41957387716258e-17,0.0359999999999999,7.355329548733483e-19
2018-01-12,0.0,0.03599999999999992,5.793992303425543e-17,3.8366603108471854e-18,0.03599999999999992,0.0359999999999999,3.42379136901255e-17,0.03599999999999996,0.03594217608301882,0.02405782391698123,8.248702195477993e-18,0.0,1.6452680302382914e-17,0.0,7.831154782546422e-17,1.320530316820856e-17,0.1,2.6183433659314817e-17,3.3306690738754696e-16,1.4372119428344084e-17,0.03599999999999992,2.5927678656941018e-17,5.087528819872786e-17,9.8629308361143e-18,5.792062352035164e-19,5.624983323235996e-18,0.03599999999999997,0.3,9.130234244195768e-18,1.0560714083439342e-17,0.035999999999999956,0.035999999999999935,0.0,0.03599999999999992,0.035999999999999956,1.233608692133592e-18,4.193986867945725e-17,0.03599999999999997,9.079302297139628e-18,3.1312122069135326e-18,8.113394928816839e-18,1.5364338650291263e-17,4.698928031300439e-18,0.03599999999999991,2.574507721037343e-17,2.5108614515457978e-17,3.614201282904653e-18,2.418305995061896e-17,0.0,0.0,5.382124384142502e-17,0.03599999999999995,7.831520183904472e-18,1.914584028094822e-17,0.0,1.7974979718316684e-17,3.1480853062074516e-17,0.03599999999999991,7.452042960594183e-17,5.0621524444531223e-17,4.41957387716258e-17,0.0359999999999999,7.355329548733483e-19
