ticker,start_date,end_date,source_files
AMATA.BK,2005-01-01,2026-06-30,SET50_100_H1_2005.xls | SET100_2_2H_2005.xls | SET100_3_H1_2006.xls | SET100_4_H2_2006.xls | SET100_5_H1_2007.xls | SET100_6_H2_2007.xls | SET50_100_H1_2008.xls | SET50_100_H2_2008.xls | SET50_100_H1_2009.xls | SET50_100_H2_2009.xls | SET50_100_H1_2010b.xls | SET50_100_H2_2010.xls | SET50_100_H1_2011.xls | UpdateSET50_100_H2_2011.xls | SET50_100_H1_2012.xls | SET50_100_H2_2012-TH.xls | SET50_100_H1_2013-TH-v1.xls | SET50_100_H2_2013-TH-v3.xls | SET50_100_H1_2014-TH_v2.xls | SET50_100_H2_2014-TH_v2.xls | SET50_100_H1_2015.pdf | SET50_100_H2_2015.pdf | SET50_100_H1_2016.pdf | SET50_100_H2_2016.pdf | SET50_100_H1_2017_v2.pdf | SET50_100_H2_2017.pdf | SET50_100_H1_2018.pdf | SET50_100_H2_2018.pdf | SET50_100_H1_2019.pdf | SET50_100_H2_2019.pdf | SET50_100_H1_2020.pdf | SET50_100_H2_2020.pdf | SET50_100_H1_2021.pdf | SET50_100_H2_2021V2.pdf | SET50_100_H1_2022.pdf | SET50_SET100_H2_2022.pdf | SET50_100_H1_2023.pdf | SET50-SET100_H2_2023.pdf | SET50_100_H1_2024.pdf | SET50_100_H2_2024.pdf | SET50_100_H1_2025.pdf | SET50_100_H2_2025.pdf | SET50_100_H1_2026.pdf
ANAN.BK,2015-01-01,2016-12-31,SET50_100_H1_2015.pdf | SET50_100_H2_2015.pdf | SET50_100_H1_2016.pdf | SET50_100_H2_2016.pdf
ANAN.BK,2017-07-01,2018-06-30,SET50_100_H2_2017.pdf | SET50_100_H1_2018.pdf
ANAN.BK,2019-01-01,2019-12-31,SET50_100_H1_2019.pdf | SET50_100_H2_2019.pdf
AOT.BK,2005-01-01,2026-06-30,SET50_100_H1_2005.xls | SET100_2_2H_2005.xls | SET100_3_H1_2006.xls | SET100_4_H2_2006.xls | SET100_5_H1_2007.xls | SET100_6_H2_2007.xls | SET50_100_H1_2008.xls | SET50_100_H2_2008.xls | SET50_100_H1_2009.xls | SET50_100_H2_2009.xls | SET50_100_H1_2010b.xls | SET50_100_H2_2010.xls | SET50_100_H1_2011.xls | UpdateSET50_100_H2_2011.xls | SET50_100_H1_2012.xls | SET50_100_H2_2012-TH.xls | SET50_100_H1_2013-TH-v1.xls | SET50_100_H2_2013-TH-v3.xls | SET50_100_H1_2014-TH_v2.xls | SET50_100_H2_2014-TH_v2.xls | SET50_100_H1_2015.pdf | SET50_100_H2_2015.pdf | SET50_100_H1_2016.pdf | SET50_100_H2_2016.pdf | SET50_100_H1_2017_v2.pdf | SET50_100_H2_2017.pdf | SET50_100_H1_2018.pdf | SET50_100_H2_2018.pdf | SET50_100_H1_2019.pdf | SET50_100_H2_2019.pdf | SET50_100_H1_2020.pdf | SET50_100_H2_2020.pdf | SET50_100_H1_2021.pdf | SET50_100_H2_2021V2.pdf | SET50_100_H1_2022.pdf | SET50_SET100_H2_2022.pdf | SET50_100_H1_2023.pdf | SET50-SET100_H2_2023.pdf | SET50_100_H1_2024.pdf | SET50_100_H2_2024.pdf | SET50_100_H1_2025.pdf | SET50_100_H2_2025.pdf | SET50_100_H1_2026.pdf
AP.BK,2005-01-01,2026-06-30,SET50_100_H1_2005.xls | SET100_2_2H_2005.xls | SET100_3_H1_2006.xls | SET100_4_H2_2006.xls | SET100_5_H1_2007.xls | SET100_6_H2_2007.xls | SET50_100_H1_2008.xls | SET50_100_H2_2008.xls | SET50_100_H1_2009.xls | SET50_100_H2_2009.xls | SET50_100_H1_2010b.xls | SET50_100_H2_2010.xls | SET50_100_H1_2011.xls | UpdateSET50_100_H2_2011.xls | SET50_100_H1_2012.xls | SET50_100_H2_2012-TH.xls | SET50_100_H1_2013-TH-v1.xls | SET50_100_H2_2013-TH-v3.xls | SET50_100_H1_2014-TH_v2.xls | SET50_100_H2_2014-TH_v2.xls | SET50_100_H1_2015.pdf | SET50_100_H2_2015.pdf | SET50_100_H1_2016.pdf | SET50_100_H2_2016.pdf | SET50_100_H1_2017_v2.pdf | SET50_100_H2_2017.pdf | SET50_100_H1_2018.pdf | SET50_100_H2_2018.pdf | SET50_100_H1_2019.pdf | SET50_100_H2_2019.pdf | SET50_100_H1_2020.pdf | SET50_100_H2_2020.pdf | SET50_100_H1_2021.pdf | SET50_100_H2_2021V2.pdf | SET50_100_H1_2022.pdf | SET50_SET100_H2_2022.pdf | SET50_100_H1_2023.pdf | SET50-SET100_H2_2023.pdf | SET50_100_H1_2024.pdf | SET50_100_H2_2024.pdf | SET50_100_H1_2025.pdf | SET50_100_H2_2025.pdf | SET50_100_H1_2026.pdf
AREEYA.BK,2005-07-01,2005-12-31,SET100_2_2H_2005.xls
ASIAN.BK,2021-07-01,2021-12-31,SET50_100_H2_2021V2.pdf
ASIAN.BK,2022-07-01,2022-12-31,SET50_SET100_H2_2022.pdf
ASL.BK,2005-07-01,2005-12-31,SET100_2_2H_2005.xls
ASL.BK,2007-01-01,2009-06-30,SET100_5_H1_2007.xls | SET100_6_H2_2007.xls | SET50_100_H1_2008.xls | SET50_100_H2_2008.xls | SET50_100_H1_2009.xls
ASP.BK,2005-01-01,2012-12-31,SET50_100_H1_2005.xls | SET100_2_2H_2005.xls | SET100_3_H1_2006.xls | SET100_4_H2_2006.xls | SET100_5_H1_2007.xls | SET100_6_H2_2007.xls | SET50_100_H1_2008.xls | SET50_100_H2_2008.xls | SET50_100_H1_2009.xls | SET50_100_H2_2009.xls | SET50_100_H1_2010b.xls | SET50_100_H2_2010.xls | SET50_100_H1_2011.xls | UpdateSET50_100_H2_2011.xls | SET50_100_H1_2012.xls | SET50_100_H2_2012-TH.xls
ASP.BK,2014-01-01,2014-06-30,SET50_100_H1_2014-TH_v2.xls
ASP.BK,2015-07-01,2015-12-31,SET50_100_H2_2015.pdf
ATC.BK,2005-01-01,2008-06-30,SET50_100_H1_2005.xls | SET100_2_2H_2005.xls | SET100_3_H1_2006.xls | SET100_4_H2_2006.xls | SET100_5_H1_2007.xls | SET100_6_H2_2007.xls | SET50_100_H1_2008.xls
AURA.BK,2023-07-01,2024-06-30,SET50-SET100_H2_2023.pdf | SET50_100_H1_2024.pdf
AURA.BK,2025-07-01,2026-06-30,SET50_100_H2_2025.pdf | SET50_100_H1_2026.pdf
AWC.BK,2020-01-01,2021-06-30,SET50_100_H1_2020.pdf | SET50_100_H2_2020.pdf | SET50_100_H1_2021.pdf
AWC.BK,2022-01-01,2026-06-30,SET50_100_H1_2022.pdf | SET50_SET100_H2_2022.pdf | SET50_100_H1_2023.pdf | SET50-SET100_H2_2023.pdf | SET50_100_H1_2024.pdf | SET50_100_H2_2024.pdf | SET50_100_H1_2025.pdf | SET50_100_H2_2025.pdf | SET50_100_H1_2026.pdf
BA.BK,2015-07-01,2018-06-30,SET50_100_H2_2015.pdf | SET50_100_H1_2016.pdf | SET50_100_H2_2016.pdf | SET50_100_H1_2017_v2.pdf | SET50_100_H2_2017.pdf | SET50_100_H1_2018.pdf
