Date,US Equity,TH Equity,JP Equity,Gold,BTC,Cash / Reduced Exposure,Strategy,JP Sleeve Mode,JP Assets,JP Internal Cap
2024-07-29,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-07-30,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-07-31,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-08-01,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-08-02,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-08-05,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-08-06,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-08-07,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-08-08,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-08-09,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-08-12,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-08-13,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-08-14,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-08-15,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-08-16,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-08-19,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-08-20,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-08-21,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-08-22,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-08-23,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-08-26,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-08-27,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-08-28,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-08-29,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-08-30,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-09-02,0.0,0.0,0.6,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-09-03,0.0,0.0,0.6,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-09-04,0.0,0.0,0.6,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-09-05,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-09-06,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-09-09,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-09-10,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-09-11,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-09-12,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-09-13,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-09-16,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
