Sleeve,Effective Weight,Raw Optimizer Weight,Daily Exposure,Effective Weight %,Date,Strategy,Case
US Equity,0.69999999999999,0.69999999999999,1.0,69.99999999999899,2026-07-03,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50
Cash / Reduced Exposure,0.1499999999999998,0.0,1.0,14.99999999999998,2026-07-03,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50
Gold,0.14999999999999977,0.29999999999999954,0.5,14.999999999999977,2026-07-03,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50
