Date,Asset,Effective Weight,Strategy,Variant,Rebalance Date,Sleeve
2026-06-26,Cash / Reduced Exposure,0.19999999999999873,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,2026-05-31,Cash / Reduced Exposure
2026-06-26,GC=F,0.09999999999999953,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,2026-05-31,Gold
2026-06-26,ORCL,0.04999999999999982,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,2026-05-31,US Equity
2026-06-26,MU,0.04999999999999982,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,2026-05-31,US Equity
2026-06-26,GOOG,0.04999999999999982,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,2026-05-31,US Equity
2026-06-26,GS,0.04999999999999982,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,2026-05-31,US Equity
2026-06-26,BA,0.049999999999999815,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,2026-05-31,US Equity
2026-06-26,CRWD,0.049999999999999684,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,2026-05-31,US Equity
2026-06-26,LLY,0.049999999999999635,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,2026-05-31,US Equity
2026-06-26,UNH,0.049999999999999635,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,2026-05-31,US Equity
2026-06-26,AMZN,0.049999999999999496,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,2026-05-31,US Equity
2026-06-26,HOOD,0.04999999999999935,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,2026-05-31,US Equity
2026-06-26,INTC,0.0499999999999993,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,2026-05-31,US Equity
2026-06-26,QCOM,0.04999999999999912,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,2026-05-31,US Equity
2026-06-26,AMD,0.049999999999998844,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,2026-05-31,US Equity
2026-06-26,TSLA,0.028055017188309786,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,2026-05-31,US Equity
2026-06-26,META,0.02194498281169081,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,2026-05-31,US Equity
