Total Return,CAGR,Annual Vol,Sharpe,Sortino,Max Drawdown,Hit Rate,Strategy,Case,Start,End,US Group Cap,TH Group Cap,Stock Cap,Concentration Penalty,US Assets,TH Assets,Average US Stock Weight,Average TH Stock Weight,Average Gold Weight,Average BTC Weight,Average Cash / Reduced Exposure Weight,Latest US Stock Weight,Latest TH Stock Weight,Latest Gold Weight,Latest BTC Weight,Latest Cash / Reduced Exposure Weight,Latest Max Single Stock Weight,Latest Top 5 Stock Weight,Latest Top 10 Stock Weight,Latest Stock HHI,Latest Effective Stock Count,Average Max Single Stock Weight,Average Top 5 Stock Weight,Average Stock HHI,Sharpe Loss vs Baseline,Top 5 Reduction vs Baseline,HHI Reduction vs Baseline
32.79484412003103,0.2048199242432937,0.1631801220309655,1.0402867860376823,1.497053854004449,-0.1826464152592225,0.5384453781512605,One-model US cap 70% / TH cap 30% stockcap6 penalty0.05 assets40 + daily exposure,Stock cap 6% penalty 0.05 assets 40,2007-12-31,2026-04-29,0.7,0.3,0.06,0.05,40,40,0.600855607717797,0.1023079202670536,0.1286462037235629,0.0218299815268984,0.1463602867646879,0.4800000000000012,0.3000000000000032,0.1099999999999973,1.0121423052175445e-15,0.1099999999999973,0.0599999999999988,0.2999999999999923,0.582447864888505,0.043805195508859,22.828342354910003,0.0551880907180011,0.2757375146185297,0.0381157229632002,-0.02567014847219995,0.10000000000000525,0.0032011033033277
36.41580691596366,0.2113283915329999,0.170740261697621,1.0332011321995884,1.4902326826851535,-0.1865026692679532,0.5376050420168067,One-model US cap 70% / TH cap 30% stockcap8 penalty0.02 assets40 + daily exposure,Assets 40,2007-12-31,2026-04-29,0.7,0.3,0.08,0.02,40,40,0.6072586981359827,0.1021665693709851,0.1242992899686299,0.0214240705734088,0.1448513719509933,0.6399999999999999,0.300000000000001,0.0299999999999992,6.338217145399169e-16,0.0299999999999992,0.0799999999999993,0.3999999999999961,0.7427936696695981,0.0662068224270515,15.104183577180844,0.0733223466006739,0.365112584340299,0.0500752987502857,-0.018584494634106052,1.4432899320127035e-15,-0.019200523614864802
31.944882371918347,0.2031966189692831,0.1631444609142074,1.0322069478801292,1.4847937999643366,-0.1828771201602198,0.5376050420168067,One-model US cap 70% / TH cap 30% stockcap6 penalty0.02 assets40 + daily exposure,Stock cap 6% assets 40,2007-12-31,2026-04-29,0.7,0.3,0.06,0.02,40,40,0.5976985785619825,0.1020667926906117,0.1323130023554959,0.0216131064902329,0.146308519901677,0.4799999999999978,0.3000000000000062,0.109999999999997,1.7472013022653082e-15,0.1099999999999972,0.0599999999999963,0.2999999999999792,0.5825900454441565,0.0438057941368192,22.82803039425986,0.0552410830203544,0.2758791453018574,0.0382684388006058,-0.017590310314646862,0.1000000000000183,0.003200504675367505
36.45286204036045,0.2113918593889796,0.1727428553477829,1.0235298191800273,1.4837523727917068,-0.1940661386623702,0.5405462184873949,One-model US cap 70% / TH cap 30% stockcap8 penalty0.02 assets50 + daily exposure,Assets 50,2007-12-31,2026-04-29,0.7,0.3,0.08,0.02,50,50,0.6134022739996152,0.1023272421760121,0.1184347120609254,0.0214240705734087,0.1444117011900385,0.6999999999999904,0.3000000000000096,0.0,0.0,0.0,0.0799999999999984,0.399999999999992,0.7455840085965669,0.0676826871181107,14.774827102460254,0.073114027561007,0.364421494544501,0.0495249334166904,-0.008913181614544907,5.551115123125783e-15,-0.02067638830592399
33.32998120634183,0.2058222379358318,0.1676138113617239,1.0221226084609976,1.4647706188491123,-0.2229605766439919,0.5418067226890756,One-model US cap 70% / TH cap 30% stockcap7 penalty0.02 assets30 + daily exposure,Stock cap 7%,2007-12-31,2026-04-29,0.7,0.3,0.07,0.02,30,30,0.5931512048714951,0.1021886158370095,0.1372371339790639,0.0215563957151858,0.1458666495972456,0.4000000000000003,0.3000000000000028,0.1499999999999985,0.0,0.1499999999999983,0.0699999999999993,0.3499999999999966,0.6010409452390089,0.0420020545763105,23.80835914069801,0.0644856427866454,0.3213198343286949,0.0446974075107753,-0.0075059708955151905,0.05000000000000093,0.0050042442358761985
29.230004814828835,0.1977320714890236,0.1605493237221822,1.0178894922547168,1.4737061501368651,-0.1800956155458194,0.5426470588235294,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,Stock cap 5% assets 50,2007-12-31,2026-04-29,0.7,0.3,0.05,0.02,50,50,0.6012665111209684,0.1022894349926492,0.1290254910568997,0.0216131064902329,0.1458054563392497,0.5999999999999934,0.3000000000000073,0.0499999999999995,0.0,0.0499999999999994,0.0499999999999991,0.2499999999999959,0.499999999999992,0.0428579339914872,23.33290261258576,0.0460383587201691,0.2298094396409816,0.0323813022085006,-0.003272854689234439,0.15000000000000163,0.004148364820699503
34.55835197428347,0.2080681321342976,0.1713063170221416,1.0146166375654824,1.45478477014215,-0.2162590809210428,0.5422268907563025,One-model US cap 70% / TH cap 30% stockcap8 penalty0.02 assets30 + daily exposure,Baseline,2007-12-31,2026-04-29,0.7,0.3,0.08,0.02,30,30,0.5970273314589578,0.1025120772946865,0.1336317710440308,0.0214240705734088,0.145404749628916,0.3999999999999998,0.300000000000002,0.149999999999999,0.0,0.1499999999999992,0.0799999999999995,0.3999999999999975,0.6514111834605611,0.0470062988121867,21.273744695269254,0.073548312463981,0.3659974108272815,0.0503465886412621,0.0,0.0,0.0
34.40951892450513,0.2077999598959274,0.1716658204167887,1.0115597626145243,1.450476620291826,-0.2202216546968889,0.5432773109243697,One-model US cap 70% / TH cap 30% stockcap8 penalty0.05 assets30 + daily exposure,Penalty 0.05,2007-12-31,2026-04-29,0.7,0.3,0.08,0.05,30,30,0.5997794705113055,0.1024415975021787,0.130447060383299,0.0216548115662681,0.1456770600369486,0.4000000000000003,0.3000000000000024,0.1499999999999984,0.0,0.1499999999999987,0.0799999999999993,0.3999999999999966,0.651446636806963,0.0470064932849891,21.273656682646774,0.0734745161009499,0.3655939623373389,0.0499848346651289,0.0030568749509580773,9.43689570931383e-16,-1.9447280239642817e-07
33.42620058631962,0.2060008862406908,0.1721506378740586,1.000536276573885,1.432526851103213,-0.2218601648727128,0.5432773109243697,One-model US cap 70% / TH cap 30% stockcap8 penalty0.1 assets30 + daily exposure,Penalty 0.10,2007-12-31,2026-04-29,0.7,0.3,0.08,0.1,30,30,0.6035658677994953,0.1023679410450912,0.1260115101737671,0.0220377195203624,0.1460169614612838,0.4225776604850761,0.3000000000000019,0.1387111697574608,2.648435651532478e-16,0.138711169757461,0.0799999999999995,0.3999999999999964,0.6512599122041476,0.0475145420973377,21.04618830065564,0.0734226438326588,0.3653254468584909,0.0494446490236392,0.014080360991597374,1.1102230246251565e-15,-0.0005082432851509985
31.97169996463016,0.2032484396892895,0.1722150260876298,0.9869469435133852,1.4141477197150514,-0.2243454338413711,0.5426470588235294,One-model US cap 70% / TH cap 30% stockcap8 penalty0.2 assets30 + daily exposure,Penalty 0.20,2007-12-31,2026-04-29,0.7,0.3,0.08,0.2,30,30,0.6088653401561943,0.1023609313372227,0.1193345804999713,0.0230024342717411,0.1464367137348706,0.4799999999999973,0.3000000000000013,0.1100000000000007,0.0,0.1100000000000005,0.0799999999999995,0.3999999999999975,0.680538892831497,0.0534005447796623,18.726400716062567,0.0733517991861842,0.3650802580344814,0.0483148596765609,0.027669694052097182,0.0,-0.006394245967475599
24.60293784174321,0.1872463937125641,0.1583431885283489,0.9742784529211188,1.3912856839339451,-0.22104911435277,0.5430672268907563,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets30 + daily exposure,Stock cap 5%,2007-12-31,2026-04-29,0.7,0.3,0.05,0.02,30,30,0.5802986243645769,0.1028747817311262,0.1473345729263856,0.0222858036150604,0.1472062173628508,0.4000000000000021,0.3000000000000008,0.1499999999999985,0.0,0.1499999999999987,0.0499999999999997,0.2499999999999987,0.4999999999999974,0.0349999999999994,28.571428571428992,0.0461772736819995,0.2308439225200971,0.0324237411234785,0.04033818464436356,0.14999999999999883,0.012006298812187302
26.435743352785103,0.1915991539038661,0.1630453396229035,0.9732803285455396,1.3936708671696896,-0.2160261675996583,0.540126050420168,One-model US cap 70% / TH cap 30% stockcap6 penalty0.05 assets30 + daily exposure,Stock cap 6% penalty 0.05,2007-12-31,2026-04-29,0.7,0.3,0.06,0.05,30,30,0.5909039572251552,0.1023288408332155,0.138367938718406,0.021889411679151,0.1465098515440722,0.3999999999999976,0.3000000000000047,0.1499999999999988,0.0,0.149999999999999,0.0599999999999995,0.2999999999999977,0.562999629436531,0.0382163641394279,26.16680112089198,0.0552983962478237,0.2762501607695996,0.0382432156156536,0.041336309019942785,0.09999999999999981,0.0087899346727588
26.323520410782606,0.1913406660804406,0.162964377460031,0.9723510738215332,1.3923726263293346,-0.2138952568724363,0.540126050420168,One-model US cap 70% / TH cap 30% stockcap6 penalty0.02 assets30 + daily exposure,Stock cap 6%,2007-12-31,2026-04-29,0.7,0.3,0.06,0.02,30,30,0.5878538306925947,0.1023272421760138,0.1416506508039524,0.0216719176643561,0.1464963586630828,0.4000000000000009,0.2999999999999999,0.1499999999999994,4.966700260029128e-16,0.1499999999999994,0.0599999999999996,0.2999999999999969,0.5631293469606873,0.0382179633934101,26.16570615514348,0.0553418133080579,0.2764026346332662,0.0384216202556742,0.042265563743949186,0.10000000000000064,0.008788335418776605
