Total Return,CAGR,Annual Vol,Sharpe,Sortino,Max Drawdown,Hit Rate,Strategy,Universe,Bucket,Top N,Funding,Gold Boost,Start,End,Active Rate,Average Gold Exposure,Latest SPY Weight,Latest Gold Weight,Latest BTC Weight,Latest BIL Weight,Latest ETF Weight,Latest ETF Assets
4.8633387296886745,0.13589466721639054,0.08296135924083999,1.2166330532502045,1.481209190862597,-0.13768511975705156,0.4824134972833858,current_best country_only bucket8% top2 boost16,country_only,0.08,2,spy,0.16,2016-10-01,2026-04-29,0.9652173913043478,0.8724985706117782,0.2,0.16,0.1,0.3,0.08,"EWZ,NORW"
4.936145036286366,0.1369049742209678,0.0837729919715315,1.216278779808429,1.4765545019769972,-0.14142671806545837,0.4852730912210466,current_best country_only bucket10% top2 boost16,country_only,0.1,2,spy,0.16,2016-10-01,2026-04-29,0.9652173913043478,0.8724985706117782,0.2,0.15000000000000002,0.1,0.3,0.1,"EWZ,NORW"
4.746543063974504,0.13424935754534983,0.08193634730455765,1.2131104884961459,1.4819590869242192,-0.13324366888932515,0.4824134972833858,current_best country_only bucket5% top2 boost16,country_only,0.05,2,spy,0.16,2016-10-01,2026-04-29,0.9652173913043478,0.8724985706117782,0.2,0.17500000000000002,0.1,0.3,0.05,"EWZ,NORW"
5.081955214504524,0.138894217469685,0.08558066941610817,1.2128127342622206,1.4781456195451292,-0.1270969926278721,0.48269945667715186,current_best momentum_core bucket10% top1 boost16,momentum_core,0.1,1,spy,0.16,2016-10-01,2026-04-29,0.8347826086956521,0.8724985706117782,0.19999999999999996,0.15000000000000002,0.09999999999999999,0.3,0.09999999999999999,EWY
4.973415485600872,0.13741772121607543,0.08449343204953826,1.2119561251047641,1.479579400051973,-0.12671914629135972,0.4844152130397484,current_best momentum_core bucket8% top1 boost16,momentum_core,0.08,1,spy,0.16,2016-10-01,2026-04-29,0.8347826086956521,0.8724985706117782,0.2,0.16000000000000003,0.10000000000000002,0.30000000000000004,0.08000000000000002,EWY
4.897285877461833,0.13636717962184464,0.08383861537277625,1.209731720297915,1.4801645715911012,-0.12917571009731,0.48384329425221617,current_best momentum_core bucket10% top3 boost16,momentum_core,0.1,3,spy,0.16,2016-10-01,2026-04-29,0.8347826086956521,0.8724985706117782,0.19999999999999996,0.15000000000000002,0.09999999999999999,0.3,0.09999999999999999,EWY
4.813247523879715,0.13519278726276251,0.08298191309344398,1.208888045689284,1.4810789772973478,-0.1261545411944267,0.483271375464684,current_best momentum_core bucket5% top1 boost16,momentum_core,0.05,1,spy,0.16,2016-10-01,2026-04-29,0.8347826086956521,0.8724985706117782,0.2,0.17500000000000002,0.1,0.3,0.05,EWY
4.827429389546944,0.13539207189921565,0.08314992871812629,1.2087257251473935,1.4809381868982499,-0.12838362803877057,0.48412925364598225,current_best momentum_core bucket8% top3 boost16,momentum_core,0.08,3,spy,0.16,2016-10-01,2026-04-29,0.8347826086956521,0.8724985706117782,0.2,0.16000000000000003,0.10000000000000002,0.30000000000000004,0.08000000000000002,EWY
4.904254635095021,0.1364638658454218,0.08416904569593882,1.2063229930742105,1.4785921577251306,-0.12934193468481658,0.48498713182728054,current_best momentum_core bucket10% top2 boost16,momentum_core,0.1,2,spy,0.16,2016-10-01,2026-04-29,0.8347826086956521,0.8724985706117782,0.19999999999999996,0.15000000000000002,0.09999999999999999,0.3,0.09999999999999999,EWY
4.8330213999105,0.1354705275544028,0.08340412630024432,1.206123971664124,1.479956335414206,-0.12851671554774458,0.48470117243351446,current_best momentum_core bucket8% top2 boost16,momentum_core,0.08,2,spy,0.16,2016-10-01,2026-04-29,0.8347826086956521,0.8724985706117782,0.2,0.16000000000000003,0.10000000000000002,0.30000000000000004,0.08000000000000002,EWY
4.723635040659378,0.13392301415500052,0.08219142354489219,1.206090512069408,1.4807726634597547,-0.12737957152658852,0.4835573348584501,current_best momentum_core bucket5% top3 boost16,momentum_core,0.05,3,spy,0.16,2016-10-01,2026-04-29,0.8347826086956521,0.8724985706117782,0.2,0.17500000000000002,0.1,0.3,0.05,EWY
