,One-model US cap 70% / TH cap 30%,One-model US cap 70% / TH cap 30% + daily exposure,One-model US cap 70% / TH cap 40%,One-model US cap 70% / TH cap 40% + daily exposure,One-model US cap 80% / TH cap 30%,One-model US cap 80% / TH cap 30% + daily exposure,One-model US cap 80% / TH cap 40%,One-model US cap 80% / TH cap 40% + daily exposure
2007-02-08,9496.448954533207,9496.448954533207,9496.448954533207,9496.448954533207,9476.188689428162,9476.188689428162,9476.188689428162,9476.188689428162
2007-02-09,9272.050510392472,9272.050510392472,9272.050510392472,9272.050510392472,9223.003959380612,9223.003959380612,9223.003959380612,9223.003959380612
2007-02-12,9265.03935979931,9265.039359799312,9265.03935979931,9265.039359799312,9217.015560117678,9217.015560117678,9217.015560117678,9217.015560117678
2007-02-13,9245.179482541236,9245.179482541236,9245.179482541236,9245.179482541236,9197.975464335952,9197.975464335952,9197.975464335952,9197.975464335952
2007-02-14,9280.919255360333,9280.919255360335,9280.919255360333,9280.919255360335,9242.028234585505,9242.028234585505,9242.028234585505,9242.028234585505
2007-02-15,9256.354190658296,9256.354190658298,9256.354190658296,9256.354190658298,9211.40516995311,9211.40516995311,9211.40516995311,9211.40516995311
2007-02-16,9251.13911621571,9251.139116215712,9251.13911621571,9251.139116215712,9211.730583415232,9211.73058341523,9211.730583415232,9211.73058341523
2007-02-19,9347.138295518786,9347.138295518787,9347.138295518786,9347.138295518787,9307.320819910414,9307.320819910414,9307.320819910414,9307.320819910414
2007-02-20,9334.596856753762,9334.596856753764,9334.596856753762,9334.596856753764,9315.10074331275,9315.10074331275,9315.10074331275,9315.10074331275
2007-02-21,9499.889033398407,9499.889033398409,9499.889033398407,9499.889033398409,9456.839943935998,9456.839943935998,9456.839943935998,9456.839943935998
2007-02-22,9488.721940625712,9488.721940625714,9488.721940625712,9488.721940625714,9447.12343747309,9447.12343747309,9447.12343747309,9447.12343747309
2007-02-23,9447.233519870331,9447.233519870333,9447.233519870331,9447.233519870333,9389.088452520884,9389.088452520884,9389.088452520884,9389.088452520884
2007-02-26,9504.891209371423,9504.891209371423,9504.891209371423,9504.891209371423,9434.25474316452,9434.25474316452,9434.25474316452,9434.25474316452
2007-02-27,9243.628678987772,9243.628678987772,9243.628678987772,9243.628678987772,9144.035769333193,9144.035769333193,9144.035769333193,9144.035769333193
2007-02-28,9208.662166926646,9208.662166926648,9208.662166926646,9208.662166926648,9132.190848886969,9132.190848886969,9132.190848886969,9132.190848886969
2007-03-01,9057.257935166104,9057.257935166106,9057.257935166104,9057.257935166106,8982.043920407797,8982.043920407797,8982.043920407797,8982.043920407797
2007-03-02,8906.85992870155,8906.85992870155,8906.85992870155,8906.85992870155,8832.894861247032,8832.894861247032,8832.894861247032,8832.894861247032
