Sleeve,Effective Weight,Raw Optimizer Weight,Daily Exposure,Effective Weight %,Date,Strategy,Case
US Equity,0.6999999999999984,0.6999999999999984,1.0,69.99999999999984,2026-06-18,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 combined segment cap 25% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 combined segment cap 25%
Cash / Reduced Exposure,0.19999999999999973,0.0,1.0,19.99999999999997,2026-06-18,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 combined segment cap 25% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 combined segment cap 25%
Gold,0.09999999999999985,0.1999999999999997,0.5,9.999999999999986,2026-06-18,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 combined segment cap 25% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 combined segment cap 25%
