Asset,Effective Weight,Raw Optimizer Weight,Daily Exposure,Date,Strategy,Sleeve,Effective Weight %,Raw Optimizer Weight %
GOOGL,0.0799999999999984,0.0799999999999984,1.0,2026-05-29,Mean Covariance Gold30 stock cap 8 mom_63 + asset-level daily exposure,US Equity,7.99999999999984,7.99999999999984
APP,0.0799999999999982,0.0799999999999982,1.0,2026-05-29,Mean Covariance Gold30 stock cap 8 mom_63 + asset-level daily exposure,US Equity,7.99999999999982,7.99999999999982
UNH,0.0799999999999982,0.0799999999999982,1.0,2026-05-29,Mean Covariance Gold30 stock cap 8 mom_63 + asset-level daily exposure,US Equity,7.99999999999982,7.99999999999982
AMZN,0.0799999999999981,0.0799999999999981,1.0,2026-05-29,Mean Covariance Gold30 stock cap 8 mom_63 + asset-level daily exposure,US Equity,7.999999999999817,7.999999999999817
HOOD,0.0799999999999981,0.0799999999999981,1.0,2026-05-29,Mean Covariance Gold30 stock cap 8 mom_63 + asset-level daily exposure,US Equity,7.999999999999814,7.999999999999814
ORCL,0.079999999999998,0.079999999999998,1.0,2026-05-29,Mean Covariance Gold30 stock cap 8 mom_63 + asset-level daily exposure,US Equity,7.999999999999802,7.999999999999802
AMD,0.079999999999998,0.079999999999998,1.0,2026-05-29,Mean Covariance Gold30 stock cap 8 mom_63 + asset-level daily exposure,US Equity,7.999999999999802,7.999999999999802
AVGO,0.079999999999998,0.079999999999998,1.0,2026-05-29,Mean Covariance Gold30 stock cap 8 mom_63 + asset-level daily exposure,US Equity,7.999999999999802,7.999999999999802
INTC,0.0799999999999978,0.0799999999999978,1.0,2026-05-29,Mean Covariance Gold30 stock cap 8 mom_63 + asset-level daily exposure,US Equity,7.999999999999783,7.999999999999783
SMCI,0.0799999999999978,0.0799999999999978,1.0,2026-05-29,Mean Covariance Gold30 stock cap 8 mom_63 + asset-level daily exposure,US Equity,7.999999999999783,7.999999999999783
MU,0.0799999999999974,0.0799999999999974,1.0,2026-05-29,Mean Covariance Gold30 stock cap 8 mom_63 + asset-level daily exposure,US Equity,7.999999999999742,7.999999999999742
GOOG,0.0610008496422182,0.0610008496422182,1.0,2026-05-29,Mean Covariance Gold30 stock cap 8 mom_63 + asset-level daily exposure,US Equity,6.100084964221826,6.100084964221826
AAPL,0.0589991503577793,0.0589991503577793,1.0,2026-05-29,Mean Covariance Gold30 stock cap 8 mom_63 + asset-level daily exposure,US Equity,5.899915035777935,5.899915035777935
