Date,Mean Covariance Gold30 stock-cap sweep stockcap6 none + asset-level daily exposure,Mean Covariance Gold30 stock-cap sweep stockcap6 mom_63 + asset-level daily exposure,Mean Covariance Gold30 stock-cap sweep stockcap6 zscore_63 + asset-level daily exposure,Mean Covariance Gold30 stock-cap sweep stockcap8 none + asset-level daily exposure,Mean Covariance Gold30 stock-cap sweep stockcap8 mom_63 + asset-level daily exposure,Mean Covariance Gold30 stock-cap sweep stockcap8 zscore_63 + asset-level daily exposure,Mean Covariance Gold30 stock-cap sweep stockcap10 none + asset-level daily exposure,Mean Covariance Gold30 stock-cap sweep stockcap10 mom_63 + asset-level daily exposure,Mean Covariance Gold30 stock-cap sweep stockcap10 zscore_63 + asset-level daily exposure
2018-01-02,1.0146857041160748,1.0130871526549392,1.0130871526549392,1.014967976637945,1.0099740742311902,1.0099740742311902,1.0151491366146677,1.008793941597035,1.0087923875559148
2018-01-03,1.0224929841284878,1.0215258466505464,1.0215258466505464,1.0229486263242675,1.0129898272416145,1.0129898272416145,1.0232411035730442,1.0103416127738627,1.010341179525347
2018-01-04,1.027703616101084,1.0267561453896183,1.0267561453896183,1.0281298912380474,1.0184131020829614,1.0184131020829614,1.028403506351849,1.0151365456365615,1.0151372345465461
2018-01-05,1.0367285014059506,1.0437978334148301,1.04379783341483,1.036784937494763,1.0354578290692202,1.03545782906922,1.0368210303029626,1.0322202347161997,1.0322202676044105
2018-01-08,1.0344909207376927,1.0403210682067032,1.040321068206703,1.0353153890167193,1.030876402627282,1.0308764026272819,1.035844442185,1.0289770128231046,1.0289759353956622
2018-01-09,1.033576248612288,1.0384567209183184,1.0384567209183182,1.0347958642634778,1.0294066775426376,1.0294066775426374,1.0355788516770608,1.027413552864646,1.0274130101705836
2018-01-10,1.0365525420036645,1.0397898428623,1.0397898428622998,1.0375761873629676,1.030692196971397,1.0306921969713967,1.0382331557032134,1.0279062465938111,1.027907745333936
2018-01-11,1.0410961004127928,1.0423239463895018,1.0423239463895015,1.0428838376195144,1.0339731278925977,1.0339731278925977,1.0440319829148996,1.0328155538551222,1.0328159800267753
2018-01-12,1.050364691143145,1.0554375054200875,1.0554375054200873,1.0519236551397901,1.0483531755338216,1.0483531755338216,1.0529245406089958,1.0486500977311664,1.0486479541902927
2018-01-15,1.0500837396287614,1.0548305423803277,1.0548305423803275,1.0517036761259895,1.04775028656418,1.04775028656418,1.052743789003294,1.0480470380069338,1.0480448956987718
2018-01-16,1.044062651921274,1.0420261133669493,1.042026113366949,1.0464344214926276,1.0357114813345851,1.0357114813345853,1.0479582873424056,1.035696601335982,1.035695119381822
2018-01-17,1.05317625115225,1.0574382235328452,1.057438223532845,1.0558821535220548,1.0517984120682586,1.0517984120682589,1.0576212268850862,1.0519699407404015,1.051969250936579
2018-01-18,1.0498317452940187,1.0565325212899803,1.05653252128998,1.052731158207221,1.0511447947000176,1.0511447947000179,1.0545949636305578,1.0511735254617378,1.0511728663590387
2018-01-19,1.0519430611633944,1.06032857404018,1.0603285740401798,1.0547677918981195,1.0535989406090978,1.053598940609098,1.0565834389495434,1.053613692262661,1.0536143235328201
2018-01-22,1.0608247720290467,1.0719498281538304,1.0719498281538302,1.0640799613910827,1.0645482748596822,1.0645482748596824,1.066173045369869,1.0658028105604074,1.0658058529791965
2018-01-23,1.0665010550232552,1.077319047845693,1.0773190478456929,1.0698756629762995,1.0689680089574407,1.068968008957441,1.072045739187312,1.0704780933079245,1.0704805557937866
2018-01-24,1.070096841767278,1.0762348317978778,1.0762348317978776,1.0730474966348285,1.069064551206147,1.0690645512061472,1.0749440482899684,1.07103781834936,1.0710450204998188
2018-01-25,1.0728172148044204,1.0791992990634247,1.0791992990634243,1.0757040426169138,1.0714504621143566,1.0714504621143568,1.0775594309011298,1.074714418443141,1.0747247443805539
2018-01-26,1.0846378551663092,1.0959696928259683,1.095969692825968,1.088369407408675,1.0888633328114794,1.0888633328114796,1.0907692634468553,1.0955710194206474,1.0955818388028906
2018-01-29,1.0845140411914371,1.0948462681353879,1.0948462681353874,1.0882398966829447,1.0876378352079534,1.0876378352079537,1.0906360769480081,1.095847558221246,1.0958613307380876
2018-01-30,1.072316465432243,1.0837776917112396,1.0837776917112392,1.0759554701319485,1.0770394610766012,1.0770394610766014,1.0782956920748197,1.0846331356928922,1.0846464090540027
2018-01-31,1.0729765370552615,1.0885637998586397,1.0885637998586393,1.0765404047786096,1.0823399040259836,1.0823399040259838,1.0788321310941043,1.0899379904102051,1.0899520814827388
2018-02-01,1.0728580407845727,1.0814730887552817,1.0814730887552813,1.0771846695208454,1.0727238787555216,1.072723878755522,1.0795831352382348,1.0750411734498933,1.0750550719315366
2018-02-02,1.0513831156846367,1.059402099108159,1.0594020991081585,1.0553345150912148,1.0547747444387297,1.05477474443873,1.0575280752506222,1.0576417101477393,1.0576553836834663
2018-02-05,1.0106205061080225,1.0044168423635336,1.0044168423635331,1.014122456238281,0.9978808744856926,0.9978808744856932,1.016439001412141,1.0012412157107096,1.0012541600825162
2018-02-06,1.0292126027657913,1.0303906380356709,1.0303906380356704,1.0307034412193024,1.0237426154042342,1.0237426154042348,1.0316315022300016,1.028659113953112,1.0286724127924172
2018-02-07,1.0251621932380686,1.032774096279472,1.0327740962794718,1.0269467147471791,1.0284718964302002,1.0284718964302009,1.0277653088841732,1.0335906579622542,1.0336040205581627
2018-02-08,0.9904732297673773,0.9883658191481497,0.9883658191481495,0.9925757176926178,0.985363132916696,0.9853631329166964,0.9949708736523698,0.9903511708792161,0.990363974460984
2018-02-09,1.002768921000274,1.0044634161716848,1.0044634161716846,1.0043181074097352,0.9982576284418498,0.9982576284418503,1.0062680579859564,1.0021986564132224,1.0022116131631336
