Sleeve,Effective Weight,Raw Sleeve Weight,Daily Exposure,Date,Strategy,Effective Weight %
US Equity,0.42,0.42,1.0,2026-07-14,Tactical TH/Gold/BTC 60/30/10 asset-level daily exposure,42.0
TH Equity,0.18,0.18,1.0,2026-07-14,Tactical TH/Gold/BTC 60/30/10 asset-level daily exposure,18.0
Gold,0.3,0.3,1.0,2026-07-14,Tactical TH/Gold/BTC 60/30/10 asset-level daily exposure,30.0
BTC,0.0,0.1,0.0,2026-07-14,Tactical TH/Gold/BTC 60/30/10 asset-level daily exposure,0.0
Cash / Reduced Exposure,0.10000000000000009,0.0,1.0,2026-07-14,Tactical TH/Gold/BTC 60/30/10 asset-level daily exposure,10.000000000000009
