Asset,Ticker,Sleeve,Internal Weight,Raw Sleeve Weight,Target Weight,Effective Weight,Daily Exposure,Target Weight %,Effective Weight %,Date,Strategy,Last Exposure Date,Signal Source Close Date
AMD,AMD,US Equity,0.07999999999999995,0.19999999999999998,0.015999999999999986,0.015999999999999986,1.0,1.5999999999999988,1.5999999999999988,2026-06-30,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-30,2026-06-29
AVGO,AVGO,US Equity,0.07999999999999995,0.19999999999999998,0.015999999999999986,0.015999999999999986,1.0,1.5999999999999988,1.5999999999999988,2026-06-30,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-30,2026-06-29
GOOG,GOOG,US Equity,0.07999999999999995,0.19999999999999998,0.015999999999999986,0.015999999999999986,1.0,1.5999999999999988,1.5999999999999988,2026-06-30,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-30,2026-06-29
APP,APP,US Equity,0.07999999999999995,0.19999999999999998,0.015999999999999986,0.015999999999999986,1.0,1.5999999999999988,1.5999999999999988,2026-06-30,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-30,2026-06-29
MU,MU,US Equity,0.07999999999999995,0.19999999999999998,0.015999999999999986,0.015999999999999986,1.0,1.5999999999999988,1.5999999999999988,2026-06-30,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-30,2026-06-29
INTC,INTC,US Equity,0.07999999999999995,0.19999999999999998,0.015999999999999986,0.015999999999999986,1.0,1.5999999999999988,1.5999999999999988,2026-06-30,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-30,2026-06-29
KBANK.BK,KBANK.BK,TH Equity,0.07823441708925243,0.19999999999999998,0.015646883417850484,0.015646883417850484,1.0,1.5646883417850483,1.5646883417850483,2026-06-30,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-30,2026-06-29
TTB.BK,TTB.BK,TH Equity,0.07799382262566522,0.19999999999999998,0.015598764525133042,0.015598764525133042,1.0,1.5598764525133042,1.5598764525133042,2026-06-30,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-30,2026-06-29
PTT.BK,PTT.BK,TH Equity,0.07538902757860716,0.19999999999999998,0.01507780551572143,0.01507780551572143,1.0,1.507780551572143,1.507780551572143,2026-06-30,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-30,2026-06-29
BBL.BK,BBL.BK,TH Equity,0.0745098819920497,0.19999999999999998,0.01490197639840994,0.01490197639840994,1.0,1.490197639840994,1.490197639840994,2026-06-30,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-30,2026-06-29
ADVANC.BK,ADVANC.BK,TH Equity,0.06904645204564858,0.19999999999999998,0.013809290409129715,0.013809290409129715,1.0,1.3809290409129715,1.3809290409129715,2026-06-30,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-30,2026-06-29
PTTEP.BK,PTTEP.BK,TH Equity,0.06696633124633136,0.19999999999999998,0.013393266249266272,0.013393266249266272,1.0,1.3393266249266271,1.3393266249266271,2026-06-30,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-30,2026-06-29
