,Stocks+Gold+BTC+BIL one-model Static Copula [mean_variance] PIT reselect,Stocks+Gold+BTC+BIL one-model Dynamic HMM Copula [mean_variance] PIT reselect
2017-12-29,10000.0,10000.0
2018-01-02,10037.909565840522,10038.156856572938
2018-01-03,10092.695223930945,10085.74788865292
2018-01-04,10061.749730636555,10057.18476825862
2018-01-05,10285.455926870409,10288.15979439416
2018-01-08,10090.645610327045,10099.165625424908
2018-01-09,10021.87791758918,10032.100799965998
2018-01-10,9988.349575470129,9990.945390145549
2018-01-11,9942.732365482989,9939.812774658512
2018-01-12,10047.526090368365,10047.332507539957
2018-01-15,10051.700143829054,10054.086608490868
2018-01-16,9882.501952746547,9878.095292993423
2018-01-17,9930.790076877402,9926.581784925078
2018-01-18,9996.165206103995,9995.308536051614
2018-01-19,10022.172606538004,10016.279504457221
2018-01-22,10016.438505081382,10015.510265340692
2018-01-23,10048.626478446671,10048.9317894318
2018-01-24,10088.804613560844,10088.980194692525
2018-01-25,10038.34582080696,10039.282831797276
2018-01-26,10134.16266770332,10140.285007505887
2018-01-29,10166.511442650617,10172.696512439721
2018-01-30,10020.646640705267,10023.868208666256
2018-01-31,10073.297366804512,10084.793609827871
2018-02-01,9930.535718453188,9941.869033435798
2018-02-02,9860.806056308178,9872.059791674226
2018-02-05,9467.352613656138,9478.15731667157
2018-02-06,9641.726931041592,9652.730640346297
2018-02-07,9574.605245370773,9585.532351435988
2018-02-08,9498.863380939994,9509.70404590764
2018-02-09,9579.633461859712,9590.566306423118
2018-02-12,9758.811359797943,9769.94869278099
2018-02-13,9722.55709087716,9733.653048343236
2018-02-14,9785.681318032408,9796.84931660177
2018-02-15,10040.257081928874,10051.715617424034
2018-02-16,10025.040226847355,10036.481395967065
2018-02-19,10135.088934234725,10146.655697451233
2018-02-20,10147.500873933717,10159.08180239026
2018-02-21,10152.169701196473,10163.75595799496
2018-02-22,10102.611500045608,10114.141198092428
2018-02-23,10265.134321984133,10276.849500692331
2018-02-26,10537.101577046285,10549.127140879109
2018-02-27,10494.415520702358,10506.392368681814
2018-02-28,10498.920353008609,10510.902342169256
2018-03-01,10380.913914419596,10392.761227649718
2018-03-02,10342.345354131001,10354.1486506379
2018-03-05,10431.732762402567,10443.638073109118
2018-03-06,10472.079141384731,10484.030497766396
