,Stocks+Gold+BTC+BIL one-model Static Copula [mean_variance] PIT reselect,Stocks+Gold+BTC+BIL one-model Dynamic HMM Copula [mean_variance] PIT reselect
2018-03-07,10256.094478786832,10267.799340691055
2018-03-08,10257.701563163428,10269.408259167438
2018-03-09,10414.012160245953,10425.897247152738
2018-03-12,10470.36633107878,10482.31573269997
2018-03-13,10483.510825249286,10495.475228145026
2018-03-14,10464.59989695345,10476.542717578799
2018-03-15,10457.620037562649,10469.55489235944
2018-03-16,10453.850895689742,10465.781448918793
2018-03-19,10258.100139108139,10269.8072899906
2018-03-20,10347.23413081986,10359.043006688
2018-03-21,10319.128390142689,10330.905190076463
2018-03-22,10155.602219857377,10167.19239404927
2018-03-23,10063.124645762397,10074.609279074544
2018-03-26,10312.81467432083,10324.584268668508
2018-03-27,10051.153318907729,10062.624289833291
2018-03-28,9885.455246658357,9896.737113138997
2018-03-29,9940.233732656381,9951.578115586657
2018-03-30,9981.635934218457,9993.02756779105
2018-04-02,9912.418699869026,9923.731338637981
2018-04-03,9929.221009418407,9940.552823977265
2018-04-04,9880.706540261328,9891.982987237232
2018-04-05,9919.207982779422,9930.528369879778
2018-04-06,9848.440731345132,9859.680354670632
2018-04-09,9981.281078455113,9992.672307045312
2018-04-10,10015.070649859339,10026.500441107857
2018-04-11,10020.739951092299,10032.176212482855
2018-04-12,10119.995636187741,10131.545174039398
2018-04-13,10116.030706532327,10127.575719371642
2018-04-16,10096.71176468497,10108.234729604688
2018-04-17,10183.617433267695,10195.239580078878
2018-04-18,10326.28860932574,10338.073580925338
2018-04-19,10503.448758929246,10515.435916174689
2018-04-20,10565.212438287137,10577.270083898213
2018-04-23,10410.13456235419,10422.015223916811
2018-04-24,10336.284822218833,10348.081202088095
2018-04-25,10301.649928048082,10313.406780526662
2018-04-26,10333.559054716921,10345.352323779018
2018-04-27,10290.50731222421,10302.251448090265
2018-04-30,10196.442375645578,10208.079159039895
2018-05-01,10261.784596916934,10273.49595272067
2018-05-02,10294.449862026062,10306.198497363246
2018-05-03,10310.304626417133,10322.071356149614
2018-05-04,10373.996909336278,10385.8363284709
2018-05-07,10482.84318119071,10494.806822131544
2018-05-08,10347.162845877016,10358.97164039056
2018-05-09,10386.475033728613,10398.328693637155
2018-05-10,10351.169312889488,10362.982679820261
2018-05-11,10335.124195005048,10346.91925029785
2018-05-14,10348.148288668048,10359.958207827216
2018-05-15,10294.374911888151,10306.1234616878
2018-05-16,10267.175693288804,10278.893201730723
2018-05-17,10180.377564307742,10191.996013588754
2018-05-18,10203.795817294313,10215.440992871361
2018-05-21,10313.871608172458,10325.642408755582
2018-05-22,10272.400311189449,10284.123782274473
2018-05-23,10263.70152486198,10275.41506837731
2018-05-24,10150.906111789851,10162.490926505328
2018-05-25,10217.71453796288,10229.37559840757
2018-05-28,10097.93144810253,10109.455804997135
2018-05-29,10083.660234674438,10095.168304415805
2018-05-30,10155.603165086604,10167.193340357244
2018-05-31,10170.268279966975,10181.875191934496
2018-06-01,9935.146261604918,9946.484838412185
2018-06-04,10027.772281491674,10039.216568593805
2018-06-05,10012.256180375623,10023.682759585026
2018-06-06,10069.882081843054,10081.374427141114
2018-06-07,9925.72845857873,9937.056287231904
2018-06-08,9955.357523386823,9966.719166482
2018-06-11,10025.892898761938,10037.33504100129
2018-06-12,9997.780689573066,10009.190748495805
2018-06-13,10039.043659247702,10050.500809913092
2018-06-14,10029.010551605108,10040.456251894368
2018-06-15,9980.05145128044,9991.441276547346
2018-06-18,9871.401208990426,9882.667036171657
2018-06-19,9680.874259853808,9691.922646406612
2018-06-20,9879.324593898218,9890.59946371516
2018-06-21,9720.850611290067,9731.944621220655
2018-06-22,9518.226110208552,9529.088873068586
2018-06-25,9286.331365673499,9296.929476529136
2018-06-26,9365.090008232914,9375.778003111831
2018-06-27,9099.150797945342,9109.53528726103
2018-06-28,9112.019092073508,9122.418267447913
2018-06-29,9130.312514389369,9140.732567299798
2018-07-02,9100.703795019132,9111.090056706975
2018-07-03,9055.858447362916,9066.193528886373
2018-07-04,9056.779947674933,9067.116080869075
2018-07-05,9143.564285799108,9153.99946241522
2018-07-06,9265.77041438955,9276.345059870926
2018-07-09,9380.695284798247,9391.401089342195
2018-07-10,9414.476709946823,9425.2210678521
2018-07-11,9417.011611469728,9427.758862354623
2018-07-12,9539.694777397073,9550.58204157047
2018-07-13,9493.544371331645,9504.378965930777
2018-07-16,9520.270695087827,9531.135791349108
2018-07-17,9490.22426282054,9501.055068315378
2018-07-18,9487.217172112209,9498.04454573719
2018-07-19,9424.28070741808,9435.036254225402
2018-07-20,9467.373911283152,9478.178638604682
2018-07-23,9462.372524127077,9473.171543569639
2018-07-24,9510.400232219681,9521.254063724668
2018-07-25,9608.248131767947,9619.213633085865
2018-07-26,9700.782450717275,9711.853557675522
2018-07-27,9663.765484717547,9674.794345723785
2018-07-30,9532.514021728746,9543.393090798863
2018-07-31,9461.537145419972,9472.335211478923
2018-08-01,9423.493311440267,9434.247959624707
2018-08-02,9505.17382232181,9516.021689138559
2018-08-03,9592.5063530908,9603.453888959397
2018-08-06,9627.375486008512,9638.362816594909
2018-08-07,9729.231949431087,9740.335524640705
2018-08-08,9736.22986882161,9747.341430470926
2018-08-09,9707.483972335043,9718.562727466304
2018-08-10,9649.817482483051,9660.830425203785
2018-08-13,9688.172531442377,9699.229247214571
2018-08-14,9773.12375745001,9784.277424588152
2018-08-15,9598.090383809431,9609.044292504306
2018-08-16,9622.3927612929,9633.374405299006
2018-08-17,9618.877340639805,9629.854972639843
2018-08-20,9634.263354975197,9645.258546405237
2018-08-21,9569.485690544278,9580.406953870575
2018-08-22,9541.55710511665,9552.446494688636
2018-08-23,9600.354451719086,9611.310944302237
2018-08-24,9777.175920876287,9788.334212583117
2018-08-27,9863.81000040414,9875.067164048936
2018-08-28,9807.977138135791,9819.170582014363
2018-08-29,9936.44704571979,9947.787107058859
2018-08-30,9973.573974954868,9984.956407742498
2018-08-31,9987.939276079842,9999.338103399157
2018-09-03,10001.830271861689,10013.244952407365
2018-09-04,10019.758878575758,10031.194020308305
2018-09-05,10024.464200065706,10035.904711789568
2018-09-06,9888.07670408364,9899.361562326616
2018-09-07,9876.732650270442,9888.00456200794
2018-09-10,10003.829319149932,10015.246281126667
2018-09-11,10087.610120542653,10099.122698127507
2018-09-12,10157.663650254428,10169.256177072673
2018-09-13,10274.982907118352,10286.709325614678
2018-09-14,10324.090401532803,10335.872864407596
2018-09-17,10249.657403780515,10261.35491931384
2018-09-18,10301.536057190071,10313.292779712488
2018-09-19,10254.933163592024,10266.636700134626
2018-09-20,10197.509170003463,10209.147170886625
2018-09-21,10179.533794274897,10191.15128059562
2018-09-24,10189.52479632673,10201.153684970192
2018-09-25,10190.201106448732,10201.830766937328
2018-09-26,10203.838317251626,10215.483541332143
2018-09-27,10250.236683917163,10261.934860559255
2018-09-28,10351.66267135643,10363.47660133708
2018-10-01,10423.395243471256,10435.291038907844
2018-10-02,10305.174016042105,10316.934890418432
2018-10-03,10309.995883605556,10321.762260982472
2018-10-04,10165.242960387928,10176.844137163385
2018-10-05,10127.60453695403,10139.162758533483
2018-10-08,9931.933890864428,9943.268801524124
2018-10-09,9923.416654255097,9934.741844540384
2018-10-10,9987.900981689118,9999.29976530461
2018-10-11,9793.821382966393,9804.998671459527
2018-10-12,10033.37894233951,10044.829628094767
2018-10-15,10011.299744733904,10022.72523240236
2018-10-16,10104.046199620818,10115.577535031687
2018-10-17,10086.237274290701,10097.748285102172
2018-10-18,9913.433096900153,9924.746893359026
2018-10-19,9679.563195922827,9690.610086211891
2018-10-22,9664.506182963687,9675.535889298595
2018-10-23,9689.058699836301,9700.116426956314
2018-10-24,9351.296458048146,9361.968710911386
2018-10-25,9419.441669432264,9430.191693643097
2018-10-26,9237.845199689513,9248.387975263448
2018-10-29,9208.159478923513,9218.668375396312
2018-10-30,9362.566365694165,9373.251480442883
2018-10-31,9660.163990078117,9671.18874084556
2018-11-01,9641.567346207785,9652.570873384822
2018-11-02,9765.477937112717,9776.622878388269
2018-11-05,9824.410356302138,9835.622554741683
2018-11-06,9766.451897575835,9777.597950392701
2018-11-07,9893.105710756492,9904.396308399459
2018-11-08,9840.070315378603,9851.300385890096
2018-11-09,9774.275843654956,9785.430825622054
2018-11-12,9596.07572590474,9607.027335352806
2018-11-13,9703.899282700997,9714.973946772334
2018-11-14,9631.287149253056,9642.278944061016
2018-11-15,9574.959568703107,9585.887079143064
2018-11-16,9579.725698351493,9590.658648180632
2018-11-19,9573.974405399593,9584.900791512893
2018-11-20,9270.583493356638,9281.163631808531
2018-11-21,9422.546711078876,9433.30027894697
2018-11-22,9162.325237559407,9172.781825283806
2018-11-23,9294.003731841622,9304.610598855523
2018-11-26,9421.472489586382,9432.224831489344
2018-11-27,9489.541146363763,9500.371172245676
2018-11-28,9605.799407154314,9616.762113842802
2018-11-29,9588.957393511842,9599.900879097768
2018-11-30,9612.452398033403,9623.42269750876
2018-12-03,9759.621470903396,9770.759728433166
2018-12-04,9621.38161589968,9632.362105926835
2018-12-06,9583.926130800859,9594.863874412064
2018-12-07,9536.763900212614,9547.647819495533
2018-12-10,9572.618761185682,9583.543600157587
2018-12-11,9492.830274895414,9503.664054525429
2018-12-12,9534.840317929995,9545.722041906989
2018-12-13,9454.039074873843,9464.828583691
2018-12-14,9290.70601251298,9301.309115974445
2018-12-17,9134.35923546605,9144.783906734025
2018-12-18,9049.769011321816,9060.097143220532
2018-12-19,9155.815893531852,9166.265052407669
2018-12-20,9068.792210202371,9079.14205250131
2018-12-21,9057.232129050164,9067.568778300447
2018-12-24,8952.585428762859,8962.802649006504
2018-12-25,8736.277394610188,8746.247751325638
2018-12-26,8849.260941050548,8859.360241274784
2018-12-27,8885.477349562569,8895.617982095235
2018-12-28,8946.38110694166,8956.591246446113
2018-12-31,8968.910676398762,8979.146527981025
2019-01-02,8966.755822262141,8976.961476447672
2019-01-03,8880.195854252843,8890.108654497946
2019-01-04,8849.196597834767,8859.00454477606
2019-01-07,8911.656357103991,8921.446616957
2019-01-08,8908.983098922214,8918.958337467819
2019-01-09,8840.763616045086,8851.318854133555
2019-01-10,8814.762111890432,8825.064147097002
2019-01-11,8939.502092474262,8949.909776226728
2019-01-14,8966.462118215055,8976.735363833208
2019-01-15,8908.7280271967,8919.055686462714
2019-01-16,8907.563662528935,8917.731826358267
2019-01-17,8906.238804339866,8916.270479525447
2019-01-18,8894.225742016351,8904.48422767805
2019-01-21,8826.131639648152,8836.961458614538
2019-01-22,8962.987111512,8973.464051159675
2019-01-23,9014.693770396521,9025.365811401067
2019-01-24,9078.021603737905,9088.417661203252
2019-01-25,9107.944833232023,9117.922006694533
2019-01-28,9138.321833194621,9148.25429843601
2019-01-29,9111.12041782142,9120.888465518869
2019-01-30,9117.350130687397,9126.96817457048
2019-01-31,9103.721562117606,9113.479671998484
2019-02-01,9098.203261545583,9107.955456462678
2019-02-04,9119.35721928182,9129.132088732904
2019-02-05,9083.006337936451,9092.742243553681
2019-02-06,9172.307212238133,9182.138837802191
2019-02-07,9096.94294926259,9106.69379327438
2019-02-08,9082.737635995192,9092.473253595806
2019-02-11,9009.67513398702,9019.33243725015
2019-02-12,9097.79391796787,9107.545674117195
2019-02-13,9153.89267181525,9163.704559175805
2019-02-14,9151.393443204563,9161.202651688436
2019-02-15,9060.250332126694,9069.96184600439
2019-02-18,9021.602310572409,9031.272398354366
2019-02-19,9027.774575976919,9037.451279695404
2019-02-20,9084.095698727682,9093.832772010488
2019-02-21,9058.311300470388,9068.020735936101
2019-02-22,9148.733564472252,9158.539921881567
2019-02-25,9203.487684747419,9213.352732080237
2019-02-26,9126.616020361402,9136.398670386408
2019-02-27,9104.197389417499,9113.956009328816
2019-02-28,9085.490697260344,9095.229265816142
2019-03-01,9074.8117841271,9084.53890615446
2019-03-04,9070.916402936939,9080.639349577625
2019-03-05,9024.642982684963,9034.316329706824
2019-03-06,8869.110622363605,8878.617257140184
2019-03-07,8887.205546654655,8896.73157704415
2019-03-08,8908.87086030578,8918.420113342165
2019-03-11,8923.337058949195,8932.90181803494
2019-03-12,8852.568506533435,8862.057410123614
2019-03-13,8962.085257880204,8971.691550439955
2019-03-14,8938.83368095141,8948.415050578158
2019-03-15,9017.171110387893,9026.83644844876
2019-03-18,8993.923094130183,9003.563513074663
2019-03-19,9038.339203317919,9048.027231064027
2019-03-20,9067.564549300125,9077.283903151218
2019-03-21,9121.952898411535,9131.73055012282
2019-03-22,9011.092974341396,9020.751797361241
2019-03-25,8989.966290872057,8999.60246859269
2019-03-26,9009.188137094745,9018.844918354962
2019-03-27,8989.874101430885,8999.510180335374
2019-03-28,9047.464239206696,9057.162047909116
2019-03-29,9096.107074709375,9105.857022762775
2019-04-01,9264.241816497646,9274.171985054714
2019-04-02,9331.261814027086,9341.263820073429
2019-04-03,9480.698389705472,9490.860574038876
2019-04-04,9440.267384854378,9450.386231945398
2019-04-05,9475.084646979947,9485.2408140469
2019-04-08,9469.30862194449,9479.4585977976
2019-04-09,9332.651731601856,9342.655227475008
2019-04-10,9362.02053347821,9372.055509224054
2019-04-11,9349.95895571395,9359.981002878842
2019-04-12,9363.48244839676,9373.518991142024
2019-04-15,9284.130170618222,9294.081657132298
2019-04-16,9425.897964319682,9436.001409096
2019-04-17,9483.023259308235,9493.187935626147
2019-04-18,9513.058922510436,9523.255793497294
2019-04-19,9511.525202012208,9521.720429032579
2019-04-22,9574.789392741826,9585.052431471997
2019-04-23,9584.257098301689,9594.530285289418
2019-04-24,9623.637339843268,9633.952737779728
2019-04-25,9547.423856344209,9557.65756246471
2019-04-26,9567.911836280613,9578.167503085884
2019-04-29,9608.129247315504,9618.428022415917
2019-04-30,9613.900987496807,9624.205949218209
2019-05-01,9615.983937651199,9626.291132048143
2019-05-02,9581.743056897216,9592.013549130706
2019-05-03,9716.21236290757,9726.62699029004
2019-05-06,9653.86671138124,9664.214511619004
2019-05-07,9520.537782503545,9530.742669941372
2019-05-08,9546.468312055278,9556.700993945617
2019-05-09,9499.574890741087,9509.757308444989
2019-05-10,9535.927880416457,9546.149264214097
2019-05-13,9422.871887780215,9432.972088961345
2019-05-14,9598.896874618173,9609.18575370994
2019-05-15,9609.88423011279,9620.18488634663
2019-05-16,9617.196962555483,9627.505457171266
2019-05-17,9524.315218929758,9534.524155331459
2019-05-20,9490.155614800404,9500.327936157551
2019-05-21,9589.811250474806,9600.09039085498
2019-05-22,9522.312046737821,9532.518835976494
2019-05-23,9390.241827874117,9400.307053500712
2019-05-24,9366.556324113757,9376.596161689245
2019-05-27,9464.489314909128,9474.634125036626
2019-05-28,9471.114829993568,9481.266741887499
2019-05-29,9414.780009555197,9424.871537202509
2019-05-30,9383.987945235904,9394.046467441975
2019-05-31,9283.984912722875,9293.936243537708
2019-06-03,9230.664181529219,9240.558358843655
2019-06-04,9339.543641661063,9349.554524844465
2019-06-05,9416.408214010027,9426.50148689942
2019-06-06,9550.43673231168,9560.673667877909
2019-06-07,9560.7713687312,9571.01938180206
2019-06-10,9646.590426412824,9656.930427336014
2019-06-11,9621.924851977084,9632.238414329633
2019-06-12,9536.501797110375,9546.723796078646
2019-06-13,9573.387989276374,9583.64952586822
2019-06-14,9590.643668039947,9600.923700673033
2019-06-17,9666.707616509817,9677.069180675044
2019-06-18,9743.448295233067,9753.892116305013
2019-06-19,9890.568145438585,9901.16966154263
2019-06-20,9886.692307532841,9897.289669198295
2019-06-21,9823.863881232255,9834.393898275699
2019-06-24,9849.69815326127,9860.255861580577
2019-06-25,9927.251745474714,9937.892582047594
2019-06-26,10144.064450399184,10154.937684479368
2019-06-27,10111.580691179259,10122.419106521891
2019-06-28,10128.343823384515,10139.200206816891
2019-07-01,9984.57144003688,9995.273716524644
2019-07-02,9945.020054243729,9955.679936336423
2019-07-03,10076.166033927673,10086.966488957652
2019-07-04,9942.07639052152,9952.733117355801
2019-07-05,9965.928865629048,9976.611159487918
2019-07-08,10070.641659953515,10081.43619350974
2019-07-09,10040.117413830718,10050.879229015049
2019-07-10,10158.336985052221,10169.225517596939
2019-07-11,10067.281434153401,10078.072365946067
2019-07-12,10023.26510524439,10034.008856752474
2019-07-15,9940.70130641602,9951.356559323212
2019-07-16,9805.20513997432,9815.715157059924
2019-07-17,9787.206577228259,9797.697301989096
2019-07-18,10020.25780058998,10030.99832862412
2019-07-19,10135.419419494134,10146.283387126427
2019-07-22,10004.396802151583,10015.120329076391
2019-07-23,9940.565222950401,9951.220329992258
2019-07-24,9959.54555719111,9970.221008900346
2019-07-25,10098.554723737954,10109.379176788274
2019-07-26,10033.76542405404,10044.520430658627
2019-07-29,10003.734587016792,10014.457404125513
2019-07-30,9989.904309845497,10000.612302537258
2019-07-31,10104.881043777625,10115.712277892775
2019-08-01,10045.433351962083,10056.200865201661
2019-08-02,10048.708540814265,10059.479564667878
2019-08-05,10046.66614043613,10057.434975078751
2019-08-06,10253.846663861552,10264.837571455217
2019-08-07,10423.28243007722,10434.454952718446
2019-08-08,10380.285806247955,10391.412241607513
2019-08-09,10181.839583269317,10192.753307812089
2019-08-12,10149.659581823405,10160.538813220932
2019-08-13,9962.841027441866,9973.52001150439
2019-08-14,9858.1283894949,9868.695134027686
2019-08-15,9815.84097243788,9826.362389874554
2019-08-16,10078.374952197313,10089.177774925713
2019-08-19,10093.271259774401,10104.09004957793
2019-08-20,10032.02072730541,10042.773863801991
2019-08-21,10101.116114739942,10111.943313297654
2019-08-22,10089.658258550011,10100.473175644702
2019-08-23,10241.38687293745,10252.364425112879
2019-08-26,10246.485458897909,10257.468476152835
2019-08-27,10179.814506986808,10190.726060887966
2019-08-28,10118.802611068759,10129.64876745305
2019-08-29,10212.579015552781,10223.525689121494
2019-08-30,10261.862734973223,10272.862234844473
2019-09-02,10376.86412116724,10390.850857910053
2019-09-03,10325.333185473062,10344.69353400828
2019-09-04,10435.043406784904,10449.673670520717
2019-09-05,10579.280706000176,10586.127772816593
2019-09-06,10556.511386626336,10561.278265753292
2019-09-09,10527.39121116283,10528.634273624357
2019-09-10,10434.106450394915,10432.380274699035
2019-09-11,10471.305855955869,10454.652327490248
2019-09-12,10432.677844465816,10413.884109663199
2019-09-13,10428.251713321544,10420.49043158424
2019-09-16,10378.430270717652,10368.095011404144
2019-09-17,10444.570094139623,10435.403098523257
2019-09-18,10408.412225630009,10394.319892867014
2019-09-19,10274.92501695636,10257.351648361288
2019-09-20,10166.007120283979,10150.018992326231
2019-09-23,10047.074885225513,10030.961258853495
2019-09-24,9942.064580840039,9931.912004679543
2019-09-25,9997.967658565653,9983.966892049353
2019-09-26,10005.00167798541,9992.993925934421
2019-09-27,9920.465535097663,9912.226248820474
2019-09-30,9916.053246605692,9898.641888102684
2019-10-01,9803.543355883627,9786.329550781531
2019-10-02,9635.035032580776,9618.11710717545
2019-10-03,9757.387020868107,9740.254260560363
2019-10-04,9875.831080212476,9858.490346840397
2019-10-07,9849.34615520977,9832.051926078107
2019-10-08,9706.399038609952,9689.355806869306
2019-10-09,9783.479011636367,9766.300437031943
2019-10-10,9826.430020166676,9809.176028923293
2019-10-11,10013.845765409575,9996.262695383699
2019-10-14,9990.069777611121,9972.528455268224
2019-10-15,10157.164434551258,10139.329714734227
2019-10-16,10098.967776611951,10081.235242901615
2019-10-17,10071.164164171481,10053.480450152998
2019-10-18,9916.511244317635,9899.099081627499
2019-10-21,9972.448258147713,9954.93787700542
2019-10-22,9971.840590525575,9954.331276372188
2019-10-23,10014.10860423668,9996.525072698449
2019-10-24,10089.876722033227,10072.160151086147
2019-10-25,10197.169189607588,10179.264226406944
2019-10-28,10265.381262477711,10247.356527345084
2019-10-29,10219.648301526517,10201.703867795944
2019-10-30,10262.121281111562,10244.102270101515
2019-10-31,10228.88372210808,10210.923072125468
2019-11-01,10295.15048014981,10277.073473966559
2019-11-04,10458.659659140676,10440.295551137464
2019-11-05,10402.221275581776,10383.956266373722
2019-11-06,10402.897707802313,10384.631510863252
2019-11-07,10384.159437819013,10365.926142955841
2019-11-08,10456.352805945353,10437.992748489974
2019-11-11,10434.111792419548,10415.790787422877
2019-11-12,10443.498486652175,10425.160999785716
2019-11-13,10427.60527590863,10409.295695547222
2019-11-14,10455.321549469083,10436.96330277205
2019-11-15,10441.472345167333,10423.138415953788
2019-11-18,10576.761665511329,10558.190185046338
2019-11-19,10525.151422510524,10506.670563225247
2019-11-20,10470.461676832585,10452.076845951426
2019-11-21,10393.07184692436,10374.8229029772
2019-11-22,10395.63560617455,10377.382160584413
2019-11-25,10555.797823398636,10537.263152837904
2019-11-26,10453.892059966282,10435.536323275359
2019-11-27,10480.73442738844,10462.331558832588
2019-11-28,10431.834302989122,10413.517296981161
2019-11-29,10363.401937966984,10345.205090696674
2019-12-02,10251.28636916988,10233.286382920134
2019-12-03,10135.983189544584,10118.185661364298
2019-12-04,10220.335112014263,10202.389472329734
2019-12-05,10259.070251392406,10241.056597611781
2019-12-06,10433.985567817492,10415.66478445555
2019-12-09,10338.708333231656,10320.554844865746
2019-12-10,10373.371618587997,10355.15726579617
2019-12-11,10393.93413008827,10375.683672078916
2019-12-12,10657.105423192523,10638.392869063073
2019-12-13,10572.260411453142,10553.696834631482
2019-12-16,10674.587340294966,10655.844090089322
2019-12-17,10721.053506744249,10702.228667718722
2019-12-18,10700.107369848765,10681.319309639335
2019-12-19,10760.727073274418,10741.832572391218
2019-12-20,10813.535483996688,10794.548258099996
2019-12-23,10903.284693389998,10884.139879023254
2019-12-24,10921.815936952322,10902.638584022387
2019-12-25,10921.815936952322,10902.638584022387
2019-12-26,11010.412352414132,10991.079435177176
2019-12-27,10980.222976897317,10960.943068456001
2019-12-30,10898.034545019114,10878.898949261147
2019-12-31,10895.999421402961,10876.867399069419
2020-01-02,11185.263313968782,11165.623380149675
2020-01-03,11104.018180932204,11084.520903480781
2020-01-06,11101.529634746372,11082.036726873119
2020-01-07,11214.25918566939,11194.56833869918
2020-01-08,11297.24757532809,11277.41101104798
2020-01-09,11378.780384706943,11358.800658935204
2020-01-10,11295.186486980163,11275.35354171532
2020-01-13,11422.773442435091,11402.716470315363
2020-01-14,11382.163471830941,11362.177805778198
2020-01-15,11343.811230554587,11323.892906276405
2020-01-16,11446.135212783778,11426.0372202955
2020-01-17,11551.638950845958,11531.35570689108
2020-01-20,11561.244383899177,11540.944273996294
2020-01-21,11502.89416309683,11482.696508937966
2020-01-22,11565.518229134017,11545.210614889465
2020-01-23,11663.04230304696,11642.563448635443
2020-01-24,11546.02794909855,11525.754557366177
2020-01-27,11316.026025434425,11296.156488527118
2020-01-28,11536.950363249678,11516.692910631144
2020-01-29,11588.652312413125,11568.304077590241
2020-01-30,11746.593635625059,11725.968075445753
2020-01-31,11462.580947033783,11442.454077877765
2020-02-03,11584.26297039739,11563.922442714185
2020-02-04,11847.444605129094,11826.641963167174
2020-02-05,11803.160528232245,11782.435643611858
2020-02-06,11723.524325025966,11702.93927169222
2020-02-07,11748.439384565998,11727.810583480703
2020-02-10,11964.611628862558,11943.603256152317
2020-02-11,11977.136719166077,11956.106353952147
2020-02-12,12081.893519637606,12060.67921448676
2020-02-13,12034.451787387763,12013.32078402924
2020-02-14,11996.500562985906,11975.436197266095
2020-02-17,12017.796083443433,11996.694325433366
2020-02-18,12057.424828965983,12036.253487798367
2020-02-19,12093.596254505346,12072.361400804873
2020-02-20,12014.971386983467,11993.874588789717
2020-02-21,11938.060097050973,11917.098345534427
2020-02-24,11500.7040551116,11480.510246510477
2020-02-25,11249.637462670526,11229.884495837834
2020-02-26,11194.226593949477,11174.570921723443
2020-02-27,10842.86447569994,10823.825751734781
2020-02-28,10737.673825890635,10718.81980364797
2020-03-02,11067.105359900052,11047.672896779934
2020-03-03,10764.348555402485,10745.447695646251
2020-03-04,11186.292862369875,11166.651120791588
2020-03-05,10928.761693143342,10909.5721443278
2020-03-06,10820.938901377134,10801.938675998603
2020-03-09,9918.800819702778,9901.384636802499
2020-03-10,10404.721014841958,10386.451616402088
2020-03-11,10028.524019735425,10010.915176517141
2020-03-12,8797.751869948419,8782.304109834726
2020-03-13,9675.441512982377,9658.452638813607
2020-03-16,8447.306473195997,8432.474051694033
2020-03-17,9233.798377802746,9217.58497415292
2020-03-18,8914.300507925327,8898.648102871923
2020-03-19,9439.160617933923,9422.586623684498
2020-03-20,9335.9900429498,9319.597203422249
2020-03-23,9766.919943355288,9749.770444419095
2020-03-24,10470.375173857674,10451.990494865011
2020-03-25,10223.115016319414,10205.164495468029
2020-03-26,10685.64805983715,10666.885388381095
2020-03-27,10300.405769732377,10282.319535913022
2020-03-30,10584.363951471807,10565.779122336437
2020-03-31,10430.754968390927,10412.439857560532
2020-04-01,10156.44524767341,10138.611790659254
2020-04-02,10480.698483268821,10462.295677826387
2020-04-03,10217.803161701702,10199.861967807607
2020-04-06,10827.410601509593,10808.399012629043
2020-04-07,10732.946835448343,10714.101113214081
2020-04-08,10844.21064842739,10825.16956075004
2020-04-09,10888.034136904495,10868.916100621711
2020-04-10,10832.221873851939,10813.201836974435
2020-04-13,11065.865604403376,11046.435318140004
2020-04-14,11476.275988827354,11456.125072878074
2020-04-15,11339.096295154744,11319.186249717804
2020-04-16,11640.254174520183,11619.815333233399
2020-04-17,11538.876096281034,11518.615262314366
2020-04-20,11594.310403352976,11573.952233624812
2020-04-21,11253.195658385464,11233.436443802817
2020-04-22,11516.48740818545,11496.265885975701
2020-04-23,11528.913784478018,11508.670443094135
