,Stocks+Gold+BTC+BIL one-model capped Static Copula [mean_variance] PIT reselect,Stocks+Gold+BTC+BIL one-model capped Dynamic HMM Copula [mean_variance] PIT reselect
2017-12-29,10000.0,10000.0
2018-01-02,10029.223958802868,10029.329961542308
2018-01-03,10078.987854578876,10076.012495108287
2018-01-04,10039.342286527699,10037.389741916373
2018-01-05,10210.03148488371,10211.198860872952
2018-01-08,10083.192237752075,10086.841378242383
2018-01-09,10033.268254712182,10037.653240695474
2018-01-10,9984.417841736788,9985.524946014259
2018-01-11,9992.326588107364,9991.076717532564
2018-01-12,10084.889476299062,10084.815833361856
2018-01-15,10094.862197258843,10095.898595757684
2018-01-16,10002.94976630495,10001.0699940082
2018-01-17,10075.087254896916,10073.289361288595
2018-01-18,10128.25889991708,10127.921495892333
2018-01-19,10148.216363673759,10145.691721148787
2018-01-22,10180.964351239185,10180.585814501628
2018-01-23,10218.226369262073,10218.38523131698
2018-01-24,10235.617243933262,10235.719297000403
2018-01-25,10191.722960106646,10192.156096371877
2018-01-26,10302.504827819079,10305.195350569053
2018-01-29,10328.890540499298,10331.606767453952
2018-01-30,10228.718407914303,10230.156757854495
2018-01-31,10289.171360094042,10294.230793786346
2018-02-01,10192.76670412028,10197.778733318335
2018-02-02,10140.392408861695,10145.37868435571
2018-02-05,9823.15205492149,9827.982335682873
2018-02-06,9942.8049883327,9947.694105327006
2018-02-07,9874.320638724741,9879.176080312769
2018-02-08,9737.866188458784,9742.654532102868
2018-02-09,9813.015474196885,9817.840770557075
2018-02-12,9986.40627040019,9991.316827196379
2018-02-13,9969.336603345459,9974.238766574703
2018-02-14,9991.802364443975,9996.71557462974
2018-02-15,10228.307441930008,10233.336947365955
2018-02-16,10212.304623144357,10217.326259608379
2018-02-19,10272.515117140016,10277.566360555978
2018-02-20,10273.135230010777,10278.186778351197
2018-02-21,10286.511950813903,10291.570076810536
2018-02-22,10258.77261765595,10263.817103553503
2018-02-23,10425.046353895828,10430.172600599364
2018-02-26,10718.49434496152,10723.764887119081
2018-02-27,10654.061180349272,10659.300039165917
2018-02-28,10669.218799366845,10674.465111550304
2018-03-01,10549.298229374193,10554.485573721375
2018-03-02,10510.104065149708,10515.27213678113
2018-03-05,10600.941387911607,10606.154126445272
2018-03-06,10641.942208057795,10647.175107683504
2018-03-07,10422.454151659304,10427.57912371449
2018-03-08,10424.087303856524,10429.21307897203
2018-03-09,10582.933347531407,10588.137231077335
2018-03-12,10640.201614996642,10645.433658730772
2018-03-13,10653.559320322216,10658.79793236219
2018-03-14,10634.341646037297,10639.57080828337
2018-03-15,10627.248569366046,10632.47424377526
2018-03-16,10623.418289872934,10628.642080841353
2018-03-19,10424.492344929251,10429.618319213223
2018-03-20,10515.072140570885,10520.242655124805
2018-03-21,10486.510508829668,10491.666978940466
2018-03-22,10320.331851259747,10325.406607317038
2018-03-23,10226.35423843108,10231.382783429774
2018-03-26,10480.09438095409,10485.24769610008
2018-03-27,10214.188729860996,10219.211292785742
2018-03-28,10045.802940844582,10050.742704416063
2018-03-29,10101.469964972783,10106.437101362495
2018-03-30,10143.543733740316,10148.531558816789
2018-04-02,10073.20375656833,10078.156993781702
2018-04-03,10090.278609114064,10095.240242444212
2018-04-04,10040.977207734859,10045.914598376989
2018-04-05,10080.103165500514,10085.059795319641
2018-04-06,10008.188029086901,10013.109296499146
2018-04-09,10143.183122015107,10148.170769770095
2018-04-10,10177.520779443399,10182.525311852633
2018-04-11,10183.282039959735,10188.289405319703
2018-04-12,10284.147708595927,10289.204672037651
2018-04-13,10280.11846553137,10285.173447697107
2018-04-16,10260.486159483573,10265.531487970973
2018-04-17,10348.801487330464,10353.890242594389
2018-04-18,10493.786870831354,10498.946918904825
2018-04-19,10673.820658601418,10679.069233630045
2018-04-20,10736.586179889944,10741.865618239046
2018-04-23,10578.99285280126,10584.194798710903
2018-04-24,10503.945227970515,10509.110271153173
2018-04-25,10468.7485361607,10473.896272281187
2018-04-26,10501.175246972825,10506.338928089022
2018-04-27,10457.425180784627,10462.567348938199
2018-04-30,10361.834457551984,10366.929621441672
2018-05-01,10428.236566734666,10433.364382142798
2018-05-02,10461.431680981697,10466.575819228041
2018-05-03,10477.543618648913,10482.695679523564
2018-05-04,10542.269026542954,10547.45291446159
2018-05-07,10652.880846698112,10658.119125116244
2018-05-08,10514.999699345806,10520.17017827863
2018-05-09,10554.949553194378,10560.139676433771
2018-05-10,10519.071153526927,10524.243634491955
2018-05-11,10502.765774724652,10507.9302379417
2018-05-14,10516.001126578156,10521.172097936897
2018-05-15,10461.355515110012,10466.499615903755
2018-05-16,10433.715109749177,10438.845619089028
2018-05-17,10345.509065857319,10350.596202158202
2018-05-18,10369.307176197402,10374.406014603055
2018-05-21,10481.168458872598,10486.3223021686
2018-05-22,10439.024473917189,10444.15759399944
2018-05-23,10430.184588338847,10435.313361636176
2018-05-24,10315.559569654266,10320.6319790656
2018-05-25,10383.451666414214,10388.557460006816
2018-05-28,10261.72562685834,10266.771564821735
2018-05-29,10247.2229262494,10252.261732885157
2018-05-30,10320.332811821118,10325.407568350733
2018-05-31,10335.235803187436,10340.317887877309
2018-06-01,10096.29997225367,10101.264566433278
2018-06-04,10190.428438749095,10195.439318165687
2018-06-05,10174.660657667413,10179.663783685788
2018-06-06,10233.221283959865,10238.253205650442
2018-06-07,10086.729407117708,10091.68929521963
2018-06-08,10116.83907217175,10121.81376592211
2018-06-11,10188.518571364917,10193.528511653658
2018-06-12,10159.950366189069,10164.946258802369
2018-06-13,10201.882644648935,10206.8991563748
2018-06-14,10191.6867943065,10196.698292486868
2018-06-15,10141.933549589832,10146.920582899918
2018-06-18,10031.520938709875,10036.453679476474
2018-06-19,9837.90353433249,9842.741068752062
2018-06-20,10039.572845417466,10044.509545500774
2018-06-21,9878.528324875986,9883.38583548478
2018-06-22,9672.61713939569,9677.37339850881
2018-06-25,9436.960930501911,9441.60131177401
2018-06-26,9516.997082939883,9521.676819918295
2018-06-27,9246.744187738535,9251.291034850932
2018-06-28,9259.821212900335,9264.37449030137
2018-06-29,9278.41136490784,9282.97378353494
2018-07-02,9248.322375306203,9252.869998451491
2018-07-03,9202.749610660858,9207.274824578737
2018-07-04,9203.686058230898,9208.211732622627
2018-07-05,9291.87808757035,9296.447128109745
2018-07-06,9416.066468919613,9420.696575881057
2018-07-09,9532.855485947244,9537.543020884852
2018-07-10,9567.184864982994,9571.889280504167
2018-07-11,9569.760884047182,9574.46656625905
2018-07-12,9694.434040549675,9699.201027559226
2018-07-13,9647.535048707092,9652.278974351335
2018-07-16,9674.694888602033,9679.452169394537
2018-07-17,9644.161086151744,9648.903352737232
2018-07-18,9641.105218725572,9645.84598266735
2018-07-19,9577.147888857085,9581.857203437372
2018-07-20,9620.940088944631,9625.6709372058
2018-07-23,9615.857576450551,9620.585925517758
2018-07-24,9664.664321224576,9669.416669745218
2018-07-25,9764.099369233085,9768.900612364814
2018-07-26,9858.134647349836,9862.982129895578
2018-07-27,9820.517245154128,9825.346230316025
2018-07-30,9687.136808949253,9691.900207734057
2018-07-31,9615.008647426732,9619.736579055068
2018-08-01,9576.347720869655,9581.056641988052
2018-08-02,9659.353135992125,9664.102872874906
2018-08-03,9748.10224997219,9752.895626934596
2018-08-06,9783.536980014374,9788.347781088092
2018-08-07,9887.04561307813,9891.907311842946
2018-08-08,9894.15704269255,9899.02223831881
2018-08-09,9864.944871451415,9869.795702748592
