,Stocks+Gold+BTC+BIL one-model capped Static Copula [mean_variance] PIT reselect,Stocks+Gold+BTC+BIL one-model capped Dynamic HMM Copula [mean_variance] PIT reselect
2018-08-10,9806.342998407765,9811.165013750722
2018-08-13,9845.320188028047,9850.161369395119
2018-08-14,9931.649371132113,9936.533002640443
2018-08-15,9753.776856838062,9758.57302414152
2018-08-16,9778.47343267613,9783.281743881513
2018-08-17,9774.900989905007,9779.707544454128
2018-08-20,9790.536574124626,9795.350817067574
2018-08-21,9724.708179214727,9729.490052748373
2018-08-22,9696.326576281737,9701.094493896768
2018-08-23,9756.077649214092,9760.874947872646
2018-08-24,9935.767262948808,9940.652919323848
2018-08-27,10023.806596412229,10028.735543850695
2018-08-28,9967.068093432232,9971.969141180469
2018-08-29,10097.621855825078,10102.587100006735
2018-08-30,10135.351004922219,10140.334801436364
2018-08-31,10149.949319383879,10154.9402942413
2018-09-03,10164.065635000576,10169.063551190815
2018-09-04,10182.285053890193,10187.291929008083
2018-09-05,10187.066698365019,10192.075924732813
2018-09-06,10048.466919796985,10053.407993311172
2018-09-07,10036.93885899308,10041.874263881758
2018-09-10,10166.097107970314,10171.096023084805
2018-09-11,10251.236881507986,10256.277661902364
2018-09-12,10322.426719227697,10327.502505382103
2018-09-13,10441.648961017698,10446.783371623565
2018-09-14,10491.553006860497,10496.711956489195
2018-09-17,10415.912663643265,10421.034419091055
2018-09-18,10468.632818252732,10473.780497471947
2018-09-19,10421.273999272957,10426.398391018769
2018-09-20,10362.918555919754,10368.014252886764
2018-09-21,10344.651609395682,10349.73832406456
2018-09-24,10354.80467117078,10359.896378344984
2018-09-25,10355.491951426775,10360.583996553254
2018-09-26,10369.35036552813,10374.449225171034
2018-09-27,10416.501340032473,10421.623384946643
2018-09-28,10519.572514548174,10524.745242044526
2018-10-01,10592.468629691588,10597.677201965726
2018-10-02,10472.329786861917,10477.479283969755
2018-10-03,10477.2298678537,10482.381774449534
2018-10-04,10330.128970072887,10335.208543609784
2018-10-05,10291.880030050746,10296.940795661418
2018-10-08,10093.03549503671,10097.998483994159
2018-10-09,10084.380104015967,10089.338836908919
2018-10-10,10149.910403836404,10154.901359558115
2018-10-11,9952.682723880465,9957.57669799558
2018-10-12,10196.126042817701,10201.139723883638
2018-10-15,10173.688708096788,10178.691356184141
2018-10-16,10267.939563116423,10272.98855662215
2018-10-17,10249.841766910726,10254.88186129361
2018-10-18,10074.234607694965,10079.188351802706
2018-10-19,9836.571204200498,9841.408083481228
2018-10-22,9821.26995794617,9826.099313235112
2018-10-23,9846.220730576235,9851.062354761794
2018-10-24,9502.979793543143,9507.652637882335
2018-10-25,9572.230358928933,9576.937255441178
2018-10-26,9387.688291389315,9392.304444116515
2018-10-29,9357.521051385575,9362.122370153349
2018-10-30,9514.432505486951,9519.1109814008
2018-10-31,9816.857332227759,9821.68451772222
2018-11-01,9797.959040240086,9802.776932988625
2018-11-02,9923.879531249877,9928.759342140558
2018-11-05,9983.767867723232,9988.677127153229
2018-11-06,9924.869289904438,9929.749587483317
2018-11-07,10053.577499812072,10058.521086321702
2018-11-08,9999.681840223087,10004.598924937145
2018-11-09,9932.820144829124,9937.70435203511
2018-11-12,9751.729520038818,9756.524680617398
2018-11-13,9861.302036117155,9866.15107614435
2018-11-14,9787.512092656643,9792.324848389118
2018-11-15,9730.270846783762,9735.055455615206
2018-11-16,9735.114285759866,9739.90127622706
2018-11-19,9729.269703572376,9734.053820117557
2018-11-20,9420.957618758994,9425.59013081679
2018-11-21,9575.38576611319,9580.094214215243
2018-11-22,9310.943352615192,9315.521768005212
2018-11-23,9444.757746803403,9449.401961958125
2018-11-26,9574.294120138456,9579.00203145186
2018-11-27,9643.466889158348,9648.208814390453
2018-11-28,9761.610924916537,9766.410944420197
2018-11-29,9744.49572425479,9749.287327801534
2018-11-30,9768.371831083317,9773.175175087586
2018-12-03,9917.928069835045,9922.804954248619
2018-12-04,9777.445885930796,9782.253691866666
2018-12-06,9739.382851607346,9744.171941031309
2018-12-07,9691.455622873966,9696.221145323743
2018-12-10,9727.892070039976,9732.675509169529
2018-12-11,9646.809369221388,9651.552938031551
2018-12-12,9689.500838995073,9694.265400230475
2018-12-13,9607.388953921112,9612.113138762406
2018-12-14,9441.406536595763,9446.049103879612
2018-12-17,9282.523726096919,9287.088166871214
2018-12-18,9196.56140051135,9201.08357153708
2018-12-19,9304.328423333396,9308.903586003167
2018-12-20,9215.893166473583,9220.424843394843
2018-12-21,9204.145574244636,9208.671474591492
2018-12-24,9097.80144509072,9102.275053464668
2018-12-25,8877.984771867325,8882.350291081928
2018-12-26,8992.800975550133,8997.222952661006
2018-12-27,9029.604834761358,9034.04490921737
2018-12-28,9091.496485648571,9095.96699372191
2018-12-31,9114.391497508002,9118.87326361081
2019-01-02,9112.254663015143,9116.735378384898
2019-01-03,9040.484171559683,9044.929595647965
2019-01-04,8972.617450362508,8977.029502747298
2019-01-07,9016.427278362817,9020.860873096557
2019-01-08,9009.15044753526,9013.580464075792
2019-01-09,9012.986155693843,9017.418058344581
2019-01-10,8957.347267363439,8961.751811030992
2019-01-11,9087.877075946664,9092.345804268967
2019-01-14,9103.712534102315,9108.18904910128
2019-01-15,9023.783029782204,9028.220241516308
2019-01-16,9019.066579228615,9023.50147177024
2019-01-17,8998.276046380039,9002.700715715277
2019-01-18,8966.85054427443,8971.259760932422
2019-01-21,8951.67882526278,8956.08058162065
2019-01-22,9054.507879228815,9058.960199112353
2019-01-23,9096.136508099047,9100.609297783321
2019-01-24,9129.032825050246,9133.521790646899
2019-01-25,9187.931489455994,9192.44941694634
2019-01-28,9220.416322573124,9224.950223639322
2019-01-29,9201.051275193344,9205.575653998734
2019-01-30,9234.304983554262,9238.845714010004
2019-01-31,9233.862782191636,9238.403295206303
2019-02-01,9228.26559537905,9232.80335612198
2019-02-04,9249.721957121208,9254.27026847465
2019-02-05,9212.851425870385,9217.38160709444
2019-02-06,9303.428890702215,9308.003611050099
2019-02-07,9226.987266444617,9231.524398602382
2019-02-08,9212.578882730972,9217.10892993899
2019-02-11,9138.471924003848,9142.965531033089
2019-02-12,9227.850400076604,9232.38795665799
2019-02-13,9284.751107303216,9289.316643334569
2019-02-14,9282.216151253106,9286.780440785435
2019-02-15,9189.770114157995,9194.288945744447
2019-02-18,9150.56960419068,9155.06915994102
2019-02-19,9156.830104515919,9161.332738705245
2019-02-20,9213.956359495376,9218.487084041937
2019-02-21,9187.803363294352,9192.321227781973
2019-02-22,9279.518248525763,9284.081211434257
2019-02-25,9335.055100123285,9339.645371841043
2019-02-26,9257.084525569153,9261.636457275055
2019-02-27,9234.345411626786,9238.886161961986
2019-02-28,9215.3713000715,9219.902720378466
2019-03-01,9204.53972774556,9209.065821907197
2019-03-04,9200.588660574967,9205.112811901594
2019-03-05,9153.653743886893,9158.154816183098
2019-03-06,8995.897988331497,9000.321488318243
2019-03-07,9014.251586562465,9018.684111456078
2019-03-08,9036.226614250054,9040.669944794732
2019-03-11,9050.89961279705,9055.35015840897
2019-03-12,8979.119396558815,8983.534646107353
2019-03-13,9090.201732215428,9094.671603627277
2019-03-14,9066.617765003219,9071.076039609638
2019-03-15,9146.075058286016,9150.57240395974
2019-03-18,9122.494702646061,9126.980453290253
2019-03-19,9167.545757290027,9172.05366062424
2019-03-20,9197.188890894278,9201.711370472163
2019-03-21,9252.35474248782,9256.904348445318
2019-03-22,9139.910032934364,9144.404347116448
2019-03-25,9118.481335355293,9122.96511253
2019-03-26,9137.977965302685,9142.471329440521
2019-03-27,9118.387828030412,9122.871559225312
2019-03-28,9176.801239095419,9181.313693573244
2019-03-29,9226.139442741443,9230.676158003844
2019-04-01,9396.677735680074,9401.298308733829
2019-04-02,9464.655809990347,9469.309809502605
2019-04-03,9616.228639304105,9620.957170831878
2019-04-04,9575.219657604286,9579.928024026782
2019-04-05,9610.534645955526,9615.260377609453
2019-04-08,9604.67605040864,9609.398901249851
2019-04-09,9466.065596974322,9470.720289712839
2019-04-10,9495.854237230204,9500.52357776152
2019-04-11,9483.620234547678,9488.283559324836
2019-04-12,9497.337050787826,9502.007120454327
2019-04-15,9416.85040151349,9421.48089395352
2019-04-16,9560.644820646496,9565.346020270175
2019-04-17,9618.586743816852,9623.316434881484
2019-04-18,9649.051778439103,9653.796449895959
2019-04-19,9647.496132813272,9652.240039321658
2019-04-22,9711.664709613178,9716.440169358271
2019-04-23,9721.267759685114,9726.047941481513
2019-04-24,9761.210957007586,9766.010779837383
2019-04-25,9683.9079722907,9688.669783378667
2019-04-26,9704.688835822852,9709.460865362571
2019-04-29,9745.481170300269,9750.273258414602
2019-04-30,9751.335419739353,9756.130386529318
2019-05-01,9745.489537674322,9750.281629903096
2019-05-02,9695.89903393302,9700.666741315175
2019-05-03,9808.765895309762,9813.589102049564
2019-05-06,9744.529253424027,9749.320873457877
2019-05-07,9592.822034141174,9597.53905607672
2019-05-08,9606.530793531727,9611.254556394864
2019-05-09,9539.065259839172,9543.755848272389
2019-05-10,9563.752168362014,9568.454895943503
2019-05-13,9325.00552747987,9329.590857580402
2019-05-14,9495.029455877524,9499.69839084396
2019-05-15,9497.255446785624,9501.925476325472
2019-05-16,9554.667882149208,9559.366142768087
2019-05-17,9498.873163199794,9503.543988209818
2019-05-20,9420.668915493883,9425.301285589328
2019-05-21,9524.775633953377,9529.459195832935
2019-05-22,9467.680915888179,9472.336402917963
2019-05-23,9311.118013618076,9315.696514893129
2019-05-24,9282.954020673791,9287.518673034308
2019-05-27,9332.544662422346,9337.133699697344
2019-05-28,9339.84881979816,9344.441448703488
2019-05-29,9281.031566480267,9285.595273523695
2019-05-30,9272.268002148538,9276.827399936043
2019-05-31,9145.941816791705,9150.439096947375
2019-06-03,9096.101699291785,9100.574471859733
2019-06-04,9243.883091184493,9248.428531426742
2019-06-05,9326.105818458587,9330.691689598727
2019-06-06,9461.843435042558,9466.496051642234
2019-06-07,9473.28193614213,9477.940177328648
2019-06-10,9561.416132570532,9566.117711466884
2019-06-11,9536.923783697328,9541.61331911508
2019-06-12,9439.507954003446,9444.14958770845
2019-06-13,9466.34498588565,9470.999816006433
2019-06-14,9454.860736676095,9459.509919714586
2019-06-17,9494.12097367225,9498.789461916078
2019-06-18,9580.97276712963,9585.683962494826
2019-06-19,9717.518751019496,9722.297089337924
2019-06-20,9713.360116306088,9718.136409723538
2019-06-21,9616.300819346205,9621.029386366652
2019-06-24,9602.129580899478,9606.851179580226
2019-06-25,9633.877475198904,9638.614685084915
2019-06-26,9796.972135000635,9801.789542464074
2019-06-27,9834.245689413274,9839.08142518231
2019-06-28,9803.15651016171,9807.976958631558
2019-07-01,9729.879941939225,9734.664358553333
2019-07-02,9676.588362116916,9681.346573976041
2019-07-03,9763.257641762491,9768.05847099654
2019-07-04,9653.068195122016,9657.814841547815
2019-07-05,9690.558516935145,9695.3235982563
2019-07-08,9730.193691365299,9734.978262257568
2019-07-09,9682.87229224515,9687.633594064264
2019-07-10,9818.651636444449,9823.479704241572
2019-07-11,9777.418144623929,9782.225936918734
2019-07-12,9704.01450628532,9708.786204240945
2019-07-15,9655.52335602004,9660.271209707662
2019-07-16,9586.940783300084,9591.654913282757
2019-07-17,9551.796514163494,9556.49336286149
2019-07-18,9734.117731040515,9738.904231477723
2019-07-19,9863.601614143201,9868.451784928377
2019-07-22,9743.841976023832,9748.63325810681
2019-07-23,9707.095330896342,9711.868543767725
2019-07-24,9726.958099298694,9731.741079172314
2019-07-25,9859.778175910904,9864.626466619295
2019-07-26,9791.388261018152,9796.202922756092
2019-07-29,9781.024906618735,9785.834472445395
2019-07-30,9757.1258778683,9761.92369196617
2019-07-31,9854.818818302434,9859.664670375087
2019-08-01,9779.753018781728,9784.561959190465
2019-08-02,9785.893965879539,9790.705925940058
2019-08-05,9730.75488877263,9735.539735619197
2019-08-06,9947.543337326497,9952.43478428131
2019-08-07,10103.637137539716,10108.605339580465
2019-08-08,10057.696634643875,10062.642246631445
2019-08-09,9869.387227481324,9874.240243192104
2019-08-12,9861.079247722419,9865.928178199194
2019-08-13,9699.675428167495,9704.444992493767
2019-08-14,9639.667420988319,9644.407477930303
2019-08-15,9587.01493583457,9591.729102279833
2019-08-16,9838.268374518168,9843.106088338482
2019-08-19,9823.148965893193,9827.979245135662
2019-08-20,9771.786426463363,9776.591449506532
2019-08-21,9867.392881393529,9872.24491643624
2019-08-22,9854.147878221664,9858.993400376901
2019-08-23,9998.51051976658,10003.427028514125
2019-08-26,10005.170244463146,10010.090027957933
2019-08-27,9953.784688956765,9958.67920493469
2019-08-28,9914.154255682442,9919.029284420596
2019-08-29,10014.809777327331,10019.734300812896
2019-08-30,10056.076820327176,10061.021635812982
2019-09-02,10131.536321600826,10137.262224434593
2019-09-03,10069.949435660264,10075.931036524102
2019-09-04,10181.312250112562,10186.494660868017
2019-09-05,10321.885122350626,10326.118495731098
2019-09-06,10304.923143399661,10309.401633906946
2019-09-09,10273.308232644016,10277.596599965536
2019-09-10,10195.42199313813,10199.245464679056
2019-09-11,10220.68191165648,10223.26512509011
2019-09-12,10167.624457936246,10169.82851065449
2019-09-13,10177.369447232571,10179.80663055907
2019-09-16,10131.449010720205,10133.630806965146
2019-09-17,10202.844546721406,10204.913704351764
2019-09-18,10161.820187949414,10164.329029392864
2019-09-19,10015.081350024826,10017.801187815934
2019-09-20,9910.75394770474,9913.044906444979
2019-09-23,9820.402568826388,9822.295423322996
2019-09-24,9782.496221834746,9784.530008924594
2019-09-25,9843.006612038746,9845.384189806866
2019-09-26,9871.21928447597,9873.924789676284
2019-09-27,9784.976868969585,9787.65728254442
2019-09-30,9771.944254813965,9774.350791795014
2019-10-01,9661.069458873595,9663.448690715592
2019-10-02,9495.010049869185,9497.348386255944
2019-10-03,9615.58390917341,9617.951939287828
2019-10-04,9732.306633067945,9734.703408490792
2019-10-07,9706.206610782572,9708.59695855221
2019-10-08,9565.33693006782,9567.692585857307
2019-10-09,9641.296707697546,9643.671070103563
2019-10-10,9683.623513595838,9686.008299825511
2019-10-11,9868.315564903141,9870.74583524938
2019-10-14,9844.88511111356,9847.309611241297
2019-10-15,10009.551398424512,10012.016450923367
2019-10-16,9952.20050658717,9954.651435280311
2019-10-17,9924.800961214247,9927.245142220592
2019-10-18,9772.395596491811,9774.802244624783
2019-10-21,9827.519683397595,9829.93990694097
2019-10-22,9826.920846947112,9829.340923015016
2019-10-23,9868.57458392034,9871.004918055196
2019-10-24,9943.241571378627,9945.690293754546
2019-10-25,10048.974768450455,10051.449529743732
2019-10-28,10116.195522213578,10118.686837963742
2019-10-29,10071.127193725566,10073.60741049723
2019-10-30,10112.982917824569,10115.473442406557
2019-10-31,10080.228396880533,10082.710855005746
2019-11-01,10145.532106877521,10148.030647349195
2019-11-04,10306.665023625028,10309.20324630455
2019-11-05,10251.04685334562,10253.571378936815
2019-11-06,10251.713455045592,10254.23814480081
2019-11-07,10233.247506431298,10235.76764857684
2019-11-08,10304.391695692215,10306.92935851921
2019-11-11,10282.473908550526,10285.00617368348
2019-11-12,10291.724186911995,10294.258730111254
2019-11-13,10276.06195058132,10278.592636641204
2019-11-14,10303.375426361272,10305.91283891159
2019-11-15,10289.72749113497,10292.261542607903
2019-11-18,10423.050665566869,10425.617550541647
2019-11-19,10372.190468970617,10374.744828603374
2019-11-20,10318.295523795961,10320.836610719087
2019-11-21,10242.030392402929,10244.55269751004
2019-11-22,10244.556892801078,10247.079820109513
2019-11-25,10402.39148883624,10404.953286074993
2019-11-26,10301.966711483808,10304.503777109874
2019-11-27,10328.418981514362,10330.962561541697
2019-11-28,10280.229517642014,10282.761230048754
2019-11-29,10212.791673210277,10215.306777697208
2019-12-02,10102.3054685545,10104.793363600766
2019-12-03,9988.677978294008,9991.137890295113
2019-12-04,10071.804022866456,10074.28440632085
2019-12-05,10109.976228409545,10112.466012534052
2019-12-06,10282.349518357756,10284.881752857133
2019-12-09,10188.456938117293,10190.966049688348
2019-12-10,10222.616465478326,10225.133989517126
2019-12-11,10242.880144093448,10245.402658468938
2019-12-12,10502.226795601431,10504.813179283941
2019-12-13,10418.614827775413,10421.180620336301
2019-12-16,10519.454649783314,10522.04527616995
2019-12-17,10565.245528168596,10567.847431476117
2019-12-18,10544.603799347062,10547.200619215453
2019-12-19,10604.342522797502,10606.95405452297
2019-12-20,10656.383474265765,10659.007822117785
2019-12-23,10744.828367540746,10747.47449671907
2019-12-24,10763.090298427955,10765.740924972502
2019-12-25,10763.090298427955,10765.740924972502
2019-12-26,10850.39915120822,10853.071279306349
2019-12-27,10820.648514810724,10823.31331621881
2019-12-30,10739.654519041362,10742.299374055874
2019-12-31,10737.648971669425,10740.293332777734
2020-01-02,11022.709021548773,11025.423584403427
2020-01-03,10942.64461575505,10945.33946114628
2020-01-06,10940.192235357457,10942.886476800897
2020-01-07,11051.283499199451,11054.005099091502
2020-01-08,11133.065827044373,11135.807567472557
2020-01-09,11213.413728409389,11216.175256117458
2020-01-10,11131.034692283463,11133.775932504033
2020-01-13,11256.767439510671,11259.539643938368
2020-01-14,11216.747649472814,11219.509998225714
2020-01-15,11178.952777412402,11181.705818421116
2020-01-16,11279.789695630496,11282.567569749841
2020-01-17,11383.76015861394,11386.563637542073
2020-01-20,11393.225996887,11396.031806967383
2020-01-21,11335.723773900067,11338.51542290641
2020-01-22,11397.437730764372,11400.24457806857
2020-01-23,11493.544497244862,11496.375012765093
2020-01-24,11378.230700983393,11381.032818171843
2020-01-27,11151.571371848066,11154.317669637281
2020-01-28,11369.285038765027,11372.084952904996
2020-01-29,11420.2356087676,11423.048070505847
2020-01-30,11575.88158681707,11578.732379494624
2020-01-31,11295.996425699788,11298.778291051
2020-02-03,11415.910056612283,11418.721453096685
2020-02-04,11675.266899453902,11678.142167755139
2020-02-05,11631.626398535856,11634.49091948973
2020-02-06,11553.147540159092,11555.992734122356
2020-02-07,11577.700511676658,11580.551752300891
2020-02-10,11790.731146765987,11793.634850450597
2020-02-11,11803.07421120792,11805.980954619346
2020-02-12,11906.30859176864,11909.240758713815
2020-02-13,11859.556325381207,11862.476978644452
2020-02-14,11822.1566422579,11825.06808510015
2020-02-17,11843.142677085763,11846.05928815939
2020-02-18,11882.195502086186,11885.1217307001
2020-02-19,11917.841251982574,11920.7762590763
2020-02-20,11840.359031651726,11843.274957196914
2020-02-21,11764.565485661698,11767.462745528226
2020-02-24,11333.5654945311,11336.356612017928
2020-02-25,11086.147627304528,11088.877813186371
2020-02-26,11031.542039094495,11034.258777256622
2020-02-27,10685.286230720018,10687.917696454671
2020-02-28,10581.624305909756,10584.230242819329
2020-03-02,10863.243138460064,10865.918429647285
2020-03-03,10726.20989724892,10728.85144125606
2020-03-04,11069.485913879016,11072.21199648023
2020-03-05,10904.018603792765,10906.703936754966
2020-03-06,10849.908468376503,10852.580475634162
2020-03-09,10163.708217733187,10166.211234436194
2020-03-10,10519.25960302066,10521.85018137312
2020-03-11,10194.346947916543,10196.857510020474
2020-03-12,9225.288317289725,9227.560229297971
2020-03-13,9875.109389136702,9877.541332598215
2020-03-16,8831.011925398187,8833.186738948525
2020-03-17,9549.747954195096,9552.09977088704
2020-03-18,9154.282078958784,9156.536504258744
2020-03-19,9535.134826766589,9537.483044683233
2020-03-20,9457.515384459528,9459.844487033994
2020-03-23,9973.253288868584,9975.709402230945
2020-03-24,10702.45289727948,10705.088590649495
2020-03-25,10484.751979731764,10487.334059890838
2020-03-26,10891.495983037878,10894.178232053855
2020-03-27,10567.558818155418,10570.161291156879
2020-03-30,10795.856901017334,10798.515596993942
2020-03-31,10624.262125027759,10626.87856235417
2020-04-01,10353.430455773147,10357.010697812308
2020-04-02,10744.44589164145,10748.303910254355
2020-04-03,10549.27012307586,10553.588577958331
2020-04-06,11172.446289818918,11176.465304670484
2020-04-07,10976.151484193057,10979.872512060076
2020-04-08,11078.01509781531,11081.708148208601
2020-04-09,11242.302349405281,11246.115751191248
2020-04-10,11209.913763030561,11212.732347701329
2020-04-13,11466.086067962415,11468.050482887102
2020-04-14,11878.58140085432,11879.29228773387
2020-04-15,11764.448484673994,11764.624921758705
2020-04-16,12032.376983115282,12033.17628846351
2020-04-17,11847.305422632588,11848.14955316185
2020-04-20,11832.791947976402,11833.000302772776
2020-04-21,11493.946926323939,11495.379470449034
2020-04-22,11823.06783154805,11824.166065520583
2020-04-23,11798.190936101237,11800.050690789132
