Asset,Effective Weight,Raw Optimizer Weight,Daily Exposure,Date,Strategy,Sleeve,Effective Weight %,Raw Optimizer Weight %,Last Exposure Date,Signal Source Close Date,Latest Cache Trading Date,Daily Exposure Variant
NVDA,0.09999999999999983,0.09999999999999983,1.0,2026-05-29,Mean Covariance + Gold/BTC/BIL capped Gold 40 + asset-level daily exposure,US Equity,9.999999999999982,9.999999999999982,2026-05-29,2026-05-28,2026-05-29,Asset-level SPY/Gold/BTC trend
AMD,0.09999999999999983,0.09999999999999983,1.0,2026-05-29,Mean Covariance + Gold/BTC/BIL capped Gold 40 + asset-level daily exposure,US Equity,9.999999999999982,9.999999999999982,2026-05-29,2026-05-28,2026-05-29,Asset-level SPY/Gold/BTC trend
INTC,0.09999999999999983,0.09999999999999983,1.0,2026-05-29,Mean Covariance + Gold/BTC/BIL capped Gold 40 + asset-level daily exposure,US Equity,9.999999999999982,9.999999999999982,2026-05-29,2026-05-28,2026-05-29,Asset-level SPY/Gold/BTC trend
UNH,0.09999999999999983,0.09999999999999983,1.0,2026-05-29,Mean Covariance + Gold/BTC/BIL capped Gold 40 + asset-level daily exposure,US Equity,9.999999999999982,9.999999999999982,2026-05-29,2026-05-28,2026-05-29,Asset-level SPY/Gold/BTC trend
MU,0.09999999999999983,0.09999999999999983,1.0,2026-05-29,Mean Covariance + Gold/BTC/BIL capped Gold 40 + asset-level daily exposure,US Equity,9.999999999999982,9.999999999999982,2026-05-29,2026-05-28,2026-05-29,Asset-level SPY/Gold/BTC trend
AVGO,0.09999999999999983,0.09999999999999983,1.0,2026-05-29,Mean Covariance + Gold/BTC/BIL capped Gold 40 + asset-level daily exposure,US Equity,9.999999999999982,9.999999999999982,2026-05-29,2026-05-28,2026-05-29,Asset-level SPY/Gold/BTC trend
GOOGL,0.09999999999999983,0.09999999999999983,1.0,2026-05-29,Mean Covariance + Gold/BTC/BIL capped Gold 40 + asset-level daily exposure,US Equity,9.999999999999982,9.999999999999982,2026-05-29,2026-05-28,2026-05-29,Asset-level SPY/Gold/BTC trend
GOOG,0.09999999999999983,0.09999999999999983,1.0,2026-05-29,Mean Covariance + Gold/BTC/BIL capped Gold 40 + asset-level daily exposure,US Equity,9.999999999999982,9.999999999999982,2026-05-29,2026-05-28,2026-05-29,Asset-level SPY/Gold/BTC trend
AMZN,0.09999999999999983,0.09999999999999983,1.0,2026-05-29,Mean Covariance + Gold/BTC/BIL capped Gold 40 + asset-level daily exposure,US Equity,9.999999999999982,9.999999999999982,2026-05-29,2026-05-28,2026-05-29,Asset-level SPY/Gold/BTC trend
AAPL,0.09999999999999983,0.09999999999999983,1.0,2026-05-29,Mean Covariance + Gold/BTC/BIL capped Gold 40 + asset-level daily exposure,US Equity,9.999999999999982,9.999999999999982,2026-05-29,2026-05-28,2026-05-29,Asset-level SPY/Gold/BTC trend
