Asset,Effective Weight,Date,Strategy,Case
AMD,0.049999999999999746,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets30 + daily exposure,Stock cap 5%
BRK-B,0.049999999999999746,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets30 + daily exposure,Stock cap 5%
MU,0.049999999999999746,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets30 + daily exposure,Stock cap 5%
NFLX,0.049999999999999746,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets30 + daily exposure,Stock cap 5%
WMT,0.049999999999999746,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets30 + daily exposure,Stock cap 5%
XOM,0.049999999999999746,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets30 + daily exposure,Stock cap 5%
IVL.BK,0.049999999999999746,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets30 + daily exposure,Stock cap 5%
PTTGC.BK,0.049999999999999746,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets30 + daily exposure,Stock cap 5%
COST,0.04999999999999972,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets30 + daily exposure,Stock cap 5%
PTTEP.BK,0.049999999999999684,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets30 + daily exposure,Stock cap 5%
TOP.BK,0.04999999999999951,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets30 + daily exposure,Stock cap 5%
DELTA.BK,0.04999999999999943,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets30 + daily exposure,Stock cap 5%
INTC,0.049999999999999316,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets30 + daily exposure,Stock cap 5%
HANA.BK,0.0499999999999992,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets30 + daily exposure,Stock cap 5%
Cash / Reduced Exposure,0.1499999999999987,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.05 assets30 + daily exposure,Penalty 0.05
GC=F,0.14999999999999847,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.05 assets30 + daily exposure,Penalty 0.05
COST,0.07999999999999932,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.05 assets30 + daily exposure,Penalty 0.05
INTC,0.07999999999999932,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.05 assets30 + daily exposure,Penalty 0.05
MU,0.07999999999999932,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.05 assets30 + daily exposure,Penalty 0.05
WMT,0.07999999999999932,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.05 assets30 + daily exposure,Penalty 0.05
XOM,0.07999999999999932,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.05 assets30 + daily exposure,Penalty 0.05
PTTEP.BK,0.05196321178640714,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.05 assets30 + daily exposure,Penalty 0.05
TOP.BK,0.05044834758704431,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.05 assets30 + daily exposure,Penalty 0.05
HANA.BK,0.04975705674934303,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.05 assets30 + daily exposure,Penalty 0.05
IVL.BK,0.04975228516703302,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.05 assets30 + daily exposure,Penalty 0.05
DELTA.BK,0.04952573551713888,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.05 assets30 + daily exposure,Penalty 0.05
PTTGC.BK,0.048553363193034736,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.05 assets30 + daily exposure,Penalty 0.05
Cash / Reduced Exposure,0.138711169757461,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.1 assets30 + daily exposure,Penalty 0.10
GC=F,0.13871116975746084,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.1 assets30 + daily exposure,Penalty 0.10
WMT,0.07999999999999956,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.1 assets30 + daily exposure,Penalty 0.10
MU,0.07999999999999952,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.1 assets30 + daily exposure,Penalty 0.10
INTC,0.0799999999999994,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.1 assets30 + daily exposure,Penalty 0.10
COST,0.07999999999999922,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.1 assets30 + daily exposure,Penalty 0.10
XOM,0.07999999999999874,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.1 assets30 + daily exposure,Penalty 0.10
PTTEP.BK,0.05168188787939776,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.1 assets30 + daily exposure,Penalty 0.10
TOP.BK,0.05036941193843099,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.1 assets30 + daily exposure,Penalty 0.10
HANA.BK,0.04981440926929911,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.1 assets30 + daily exposure,Penalty 0.10
IVL.BK,0.04979911804439011,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.1 assets30 + daily exposure,Penalty 0.10
DELTA.BK,0.04959508507263307,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.1 assets30 + daily exposure,Penalty 0.10
PTTGC.BK,0.04874008779584794,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.1 assets30 + daily exposure,Penalty 0.10
NFLX,0.022577660485075403,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.1 assets30 + daily exposure,Penalty 0.10
GC=F,0.11000000000000072,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.2 assets30 + daily exposure,Penalty 0.20
Cash / Reduced Exposure,0.11000000000000054,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.2 assets30 + daily exposure,Penalty 0.20
COST,0.0799999999999995,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.2 assets30 + daily exposure,Penalty 0.20
INTC,0.0799999999999995,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.2 assets30 + daily exposure,Penalty 0.20
MU,0.0799999999999995,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.2 assets30 + daily exposure,Penalty 0.20
NFLX,0.0799999999999995,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.2 assets30 + daily exposure,Penalty 0.20
WMT,0.0799999999999995,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.2 assets30 + daily exposure,Penalty 0.20
XOM,0.0799999999999995,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.2 assets30 + daily exposure,Penalty 0.20
PTTEP.BK,0.05056747354584218,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.2 assets30 + daily exposure,Penalty 0.20
TOP.BK,0.05015863266670198,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.2 assets30 + daily exposure,Penalty 0.20
IVL.BK,0.0499130077353821,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.2 assets30 + daily exposure,Penalty 0.20
HANA.BK,0.04989977888357373,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.2 assets30 + daily exposure,Penalty 0.20
DELTA.BK,0.049862414204604834,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.2 assets30 + daily exposure,Penalty 0.20
PTTGC.BK,0.04959869296389552,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.2 assets30 + daily exposure,Penalty 0.20
WMT,0.07999999999999939,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.02 assets40 + daily exposure,Assets 40
XOM,0.07999999999999939,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.02 assets40 + daily exposure,Assets 40
JNJ,0.07999999999999931,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.02 assets40 + daily exposure,Assets 40
INTC,0.0799999999999991,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.02 assets40 + daily exposure,Assets 40
MU,0.07999999999999892,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.02 assets40 + daily exposure,Assets 40
AMAT,0.07999999999999875,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.02 assets40 + daily exposure,Assets 40
COST,0.07999999999999863,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.02 assets40 + daily exposure,Assets 40
GEV,0.07999999999999839,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.02 assets40 + daily exposure,Assets 40
PTTEP.BK,0.05167696706761507,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.02 assets40 + daily exposure,Assets 40
BCP.BK,0.05111670260199126,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.02 assets40 + daily exposure,Assets 40
IVL.BK,0.049774202316969,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.02 assets40 + daily exposure,Assets 40
HANA.BK,0.049611555021147585,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.02 assets40 + daily exposure,Assets 40
DELTA.BK,0.0492155393991917,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.02 assets40 + daily exposure,Assets 40
PTTGC.BK,0.048605033593082984,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.02 assets40 + daily exposure,Assets 40
Cash / Reduced Exposure,0.02999999999999925,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.02 assets40 + daily exposure,Assets 40
GC=F,0.029999999999999236,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.02 assets40 + daily exposure,Assets 40
AMAT,0.0799999999999984,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.02 assets50 + daily exposure,Assets 50
CVX,0.0799999999999984,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.02 assets50 + daily exposure,Assets 50
GEV,0.0799999999999984,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.02 assets50 + daily exposure,Assets 50
INTC,0.0799999999999984,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.02 assets50 + daily exposure,Assets 50
JNJ,0.0799999999999984,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.02 assets50 + daily exposure,Assets 50
LRCX,0.0799999999999984,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.02 assets50 + daily exposure,Assets 50
MU,0.0799999999999984,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.02 assets50 + daily exposure,Assets 50
XOM,0.0799999999999984,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.02 assets50 + daily exposure,Assets 50
COST,0.05999999999999966,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.02 assets50 + daily exposure,Assets 50
PTTEP.BK,0.04558400859658005,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.02 assets50 + daily exposure,Assets 50
BCP.BK,0.04484525030385073,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.02 assets50 + daily exposure,Assets 50
TOP.BK,0.044071238573442195,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.02 assets50 + daily exposure,Assets 50
IVL.BK,0.042394013498173094,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.02 assets50 + daily exposure,Assets 50
HANA.BK,0.04221633918365162,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.02 assets50 + daily exposure,Assets 50
DELTA.BK,0.040900523574654894,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.02 assets50 + daily exposure,Assets 50
PTTGC.BK,0.03998862626965489,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.02 assets50 + daily exposure,Assets 50
Cash / Reduced Exposure,0.14999999999999902,2026-04-29,One-model US cap 70% / TH cap 30% stockcap6 penalty0.05 assets30 + daily exposure,Stock cap 6% penalty 0.05
GC=F,0.14999999999999886,2026-04-29,One-model US cap 70% / TH cap 30% stockcap6 penalty0.05 assets30 + daily exposure,Stock cap 6% penalty 0.05
COST,0.05999999999999955,2026-04-29,One-model US cap 70% / TH cap 30% stockcap6 penalty0.05 assets30 + daily exposure,Stock cap 6% penalty 0.05
INTC,0.05999999999999955,2026-04-29,One-model US cap 70% / TH cap 30% stockcap6 penalty0.05 assets30 + daily exposure,Stock cap 6% penalty 0.05
MU,0.05999999999999955,2026-04-29,One-model US cap 70% / TH cap 30% stockcap6 penalty0.05 assets30 + daily exposure,Stock cap 6% penalty 0.05
WMT,0.05999999999999955,2026-04-29,One-model US cap 70% / TH cap 30% stockcap6 penalty0.05 assets30 + daily exposure,Stock cap 6% penalty 0.05
XOM,0.05999999999999955,2026-04-29,One-model US cap 70% / TH cap 30% stockcap6 penalty0.05 assets30 + daily exposure,Stock cap 6% penalty 0.05
NFLX,0.05999999999999947,2026-04-29,One-model US cap 70% / TH cap 30% stockcap6 penalty0.05 assets30 + daily exposure,Stock cap 6% penalty 0.05
PTTEP.BK,0.053191845376669565,2026-04-29,One-model US cap 70% / TH cap 30% stockcap6 penalty0.05 assets30 + daily exposure,Stock cap 6% penalty 0.05
TOP.BK,0.050599540803603994,2026-04-29,One-model US cap 70% / TH cap 30% stockcap6 penalty0.05 assets30 + daily exposure,Stock cap 6% penalty 0.05
IVL.BK,0.0497066589522607,2026-04-29,One-model US cap 70% / TH cap 30% stockcap6 penalty0.05 assets30 + daily exposure,Stock cap 6% penalty 0.05
HANA.BK,0.049501584303999514,2026-04-29,One-model US cap 70% / TH cap 30% stockcap6 penalty0.05 assets30 + daily exposure,Stock cap 6% penalty 0.05
DELTA.BK,0.049201419119194574,2026-04-29,One-model US cap 70% / TH cap 30% stockcap6 penalty0.05 assets30 + daily exposure,Stock cap 6% penalty 0.05
PTTGC.BK,0.04779895144427619,2026-04-29,One-model US cap 70% / TH cap 30% stockcap6 penalty0.05 assets30 + daily exposure,Stock cap 6% penalty 0.05
BRK-B,0.03999999999999944,2026-04-29,One-model US cap 70% / TH cap 30% stockcap6 penalty0.05 assets30 + daily exposure,Stock cap 6% penalty 0.05
Cash / Reduced Exposure,0.10999999999999721,2026-04-29,One-model US cap 70% / TH cap 30% stockcap6 penalty0.02 assets40 + daily exposure,Stock cap 6% assets 40
GC=F,0.10999999999999702,2026-04-29,One-model US cap 70% / TH cap 30% stockcap6 penalty0.02 assets40 + daily exposure,Stock cap 6% assets 40
INTC,0.05999999999999631,2026-04-29,One-model US cap 70% / TH cap 30% stockcap6 penalty0.02 assets40 + daily exposure,Stock cap 6% assets 40
WMT,0.059999999999996195,2026-04-29,One-model US cap 70% / TH cap 30% stockcap6 penalty0.02 assets40 + daily exposure,Stock cap 6% assets 40
COST,0.05999999999999604,2026-04-29,One-model US cap 70% / TH cap 30% stockcap6 penalty0.02 assets40 + daily exposure,Stock cap 6% assets 40
JNJ,0.05999999999999552,2026-04-29,One-model US cap 70% / TH cap 30% stockcap6 penalty0.02 assets40 + daily exposure,Stock cap 6% assets 40
MU,0.05999999999999512,2026-04-29,One-model US cap 70% / TH cap 30% stockcap6 penalty0.02 assets40 + daily exposure,Stock cap 6% assets 40
AMAT,0.05999999999999499,2026-04-29,One-model US cap 70% / TH cap 30% stockcap6 penalty0.02 assets40 + daily exposure,Stock cap 6% assets 40
GEV,0.0599999999999947,2026-04-29,One-model US cap 70% / TH cap 30% stockcap6 penalty0.02 assets40 + daily exposure,Stock cap 6% assets 40
XOM,0.05999999999999366,2026-04-29,One-model US cap 70% / TH cap 30% stockcap6 penalty0.02 assets40 + daily exposure,Stock cap 6% assets 40
PTTEP.BK,0.05156741528583614,2026-04-29,One-model US cap 70% / TH cap 30% stockcap6 penalty0.02 assets40 + daily exposure,Stock cap 6% assets 40
BCP.BK,0.051022630158357715,2026-04-29,One-model US cap 70% / TH cap 30% stockcap6 penalty0.02 assets40 + daily exposure,Stock cap 6% assets 40
IVL.BK,0.04973758463326648,2026-04-29,One-model US cap 70% / TH cap 30% stockcap6 penalty0.02 assets40 + daily exposure,Stock cap 6% assets 40
HANA.BK,0.04959090849187019,2026-04-29,One-model US cap 70% / TH cap 30% stockcap6 penalty0.02 assets40 + daily exposure,Stock cap 6% assets 40
DELTA.BK,0.04936857282580624,2026-04-29,One-model US cap 70% / TH cap 30% stockcap6 penalty0.02 assets40 + daily exposure,Stock cap 6% assets 40
PTTGC.BK,0.04871288860484432,2026-04-29,One-model US cap 70% / TH cap 30% stockcap6 penalty0.02 assets40 + daily exposure,Stock cap 6% assets 40
GC=F,0.04999999999999957,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,Stock cap 5% assets 50
Cash / Reduced Exposure,0.04999999999999949,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,Stock cap 5% assets 50
MRK,0.04999999999999919,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,Stock cap 5% assets 50
XOM,0.04999999999999919,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,Stock cap 5% assets 50
COST,0.04999999999999919,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,Stock cap 5% assets 50
TXN,0.04999999999999919,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,Stock cap 5% assets 50
MU,0.04999999999999919,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,Stock cap 5% assets 50
AMAT,0.04999999999999919,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,Stock cap 5% assets 50
LRCX,0.04999999999999919,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,Stock cap 5% assets 50
JNJ,0.04999999999999919,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,Stock cap 5% assets 50
INTC,0.04999999999999919,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,Stock cap 5% assets 50
GEV,0.04999999999999919,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,Stock cap 5% assets 50
CVX,0.04999999999999919,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,Stock cap 5% assets 50
WMT,0.04999999999999919,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,Stock cap 5% assets 50
PTTEP.BK,0.043426048869313866,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,Stock cap 5% assets 50
BCP.BK,0.043182126931276654,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,Stock cap 5% assets 50
TOP.BK,0.042983136001881535,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,Stock cap 5% assets 50
HANA.BK,0.04270822681171579,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,Stock cap 5% assets 50
DELTA.BK,0.04268297533146539,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,Stock cap 5% assets 50
IVL.BK,0.042667985255470296,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,Stock cap 5% assets 50
PTTGC.BK,0.04234950079888244,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,Stock cap 5% assets 50
GC=F,0.10999999999999732,2026-04-29,One-model US cap 70% / TH cap 30% stockcap6 penalty0.05 assets40 + daily exposure,Stock cap 6% penalty 0.05 assets 40
Cash / Reduced Exposure,0.10999999999999732,2026-04-29,One-model US cap 70% / TH cap 30% stockcap6 penalty0.05 assets40 + daily exposure,Stock cap 6% penalty 0.05 assets 40
JNJ,0.059999999999998894,2026-04-29,One-model US cap 70% / TH cap 30% stockcap6 penalty0.05 assets40 + daily exposure,Stock cap 6% penalty 0.05 assets 40
GEV,0.059999999999998666,2026-04-29,One-model US cap 70% / TH cap 30% stockcap6 penalty0.05 assets40 + daily exposure,Stock cap 6% penalty 0.05 assets 40
WMT,0.059999999999998326,2026-04-29,One-model US cap 70% / TH cap 30% stockcap6 penalty0.05 assets40 + daily exposure,Stock cap 6% penalty 0.05 assets 40
