Total Return,CAGR,Annual Vol,Sharpe,Sortino,Max Drawdown,Hit Rate,Strategy,Model Type,Allocation Profile,Equity Budget,Gold Budget,BTC Budget,Start,End,Average US Weight,Average TH Weight,Average JP Weight,Average Gold Weight,Average BTC Weight,Average Cash Weight,JP Sleeve Mode,JP Assets,JP Internal Cap,JP Objective,Latest JP Internal Max Weight,Average JP Internal Max Weight
0.5895835229095014,0.32683512742373866,0.11565671717217386,2.2508894958169723,3.1569568759728335,-0.0696705625733055,0.5849514563106796,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,Index signal assignment + exposure,Stock60/Gold30/BTC10,0.6,0.3,0.1,2024-07-01,2026-01-30,0.13232445520581113,0.07869249394673124,0.11452784503631959,0.29999999999999993,0.05641646489104116,0.31803874092009693,JP optimized mean_variance top10 cap20%,10,0.2,mean_variance,0.19999999999999996,0.19999999999999998
0.592747797177753,0.3284461062469817,0.11643814922569876,2.247011355082293,3.233641188707831,-0.06967056257330562,0.5849514563106796,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + daily exposure all assets + gold drawdown 252d warn10 crash20,Index signal assignment + exposure,Stock60/Gold30/BTC10,0.6,0.3,0.1,2024-07-01,2026-01-30,0.13292978208232442,0.0791767554479419,0.12082324455205809,0.29999999999999993,0.05641646489104116,0.3106537530266344,JP optimized mean_variance top10 cap20%,10,0.2,mean_variance,0.19999999999999996,0.19999999999999998
0.5843425390538362,0.32416411224194297,0.11547852870020414,2.236673867160075,3.1275274065551932,-0.0697338099070941,0.5849514563106796,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,Index signal assignment + exposure,Stock60/Gold30/BTC10,0.6,0.3,0.1,2024-07-01,2026-01-30,0.13232445520581113,0.07869249394673124,0.11452784503631959,0.29999999999999993,0.05641646489104116,0.31803874092009693,JP optimized min_vol_mom_tilt top10 cap20%,10,0.2,min_vol_mom_tilt,0.20000000000000007,0.20000000000000007
0.5874727009182836,0.32575978155587904,0.11626846482154495,2.2326504958300544,3.202455419243882,-0.06973380990709366,0.5849514563106796,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + daily exposure all assets + gold drawdown 252d warn10 crash20,Index signal assignment + exposure,Stock60/Gold30/BTC10,0.6,0.3,0.1,2024-07-01,2026-01-30,0.13292978208232442,0.0791767554479419,0.12082324455205809,0.29999999999999993,0.05641646489104116,0.3106537530266344,JP optimized min_vol_mom_tilt top10 cap20%,10,0.2,min_vol_mom_tilt,0.20000000000000007,0.20000000000000007
0.5452870581302494,0.30415024575842486,0.11322481278370229,2.1439366345491204,3.0665892349505866,-0.07032880612504466,0.5655339805825242,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + daily exposure all assets + gold drawdown 252d warn10 crash20,Index signal assignment + exposure,Stock60/Gold30/BTC10,0.6,0.3,0.1,2024-07-01,2026-01-30,0.13292978208232442,0.0791767554479419,0.12082324455205809,0.29999999999999993,0.05641646489104116,0.3106537530266344,JP optimized min_vol_mom_tilt top10 cap15%,10,0.15,min_vol_mom_tilt,0.15,0.15
0.5434304886728034,0.30319397274870763,0.11319373469454111,2.1379925724170605,3.0577329103703943,-0.07033709204988525,0.5655339805825242,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + daily exposure all assets + gold drawdown 252d warn10 crash20,Index signal assignment + exposure,Stock60/Gold30/BTC10,0.6,0.3,0.1,2024-07-01,2026-01-30,0.13292978208232442,0.0791767554479419,0.12082324455205809,0.29999999999999993,0.05641646489104116,0.3106537530266344,JP optimized mean_variance top10 cap15%,10,0.15,mean_variance,0.15,0.15
0.5378879635599256,0.30033648399027757,0.11257625885199822,2.1295439297090346,2.969945248770537,-0.06920835887884125,0.5679611650485437,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,Index signal assignment + exposure,Stock60/Gold30/BTC10,0.6,0.3,0.1,2024-07-01,2026-01-30,0.13232445520581113,0.07869249394673124,0.11452784503631959,0.29999999999999993,0.05641646489104116,0.31803874092009693,JP optimized min_vol_mom_tilt top10 cap15%,10,0.15,min_vol_mom_tilt,0.15,0.15
0.5357027983234544,0.2992088032493656,0.112527099603249,2.1226894030799044,2.958964574713498,-0.06921665583973635,0.5679611650485437,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,Index signal assignment + exposure,Stock60/Gold30/BTC10,0.6,0.3,0.1,2024-07-01,2026-01-30,0.13232445520581113,0.07869249394673124,0.11452784503631959,0.29999999999999993,0.05641646489104116,0.31803874092009693,JP optimized mean_variance top10 cap15%,10,0.15,mean_variance,0.15,0.15
0.5300793409599875,0.2963038706139596,0.11398590691228526,2.0772564090902432,2.8861306563789135,-0.0710762616227355,0.5776699029126213,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,Index signal assignment + exposure,Stock60/Gold30/BTC10,0.6,0.3,0.1,2024-07-01,2026-01-30,0.13232445520581113,0.07869249394673124,0.11452784503631959,0.29999999999999993,0.05641646489104116,0.31803874092009693,JP optimized mean_variance top15 cap15%,15,0.15,mean_variance,0.14999999999999952,0.1499999999999999
0.528285332276498,0.29537625683461877,0.11467321936082756,2.059216875483707,2.9398188160041596,-0.0710762616227355,0.5776699029126213,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + daily exposure all assets + gold drawdown 252d warn10 crash20,Index signal assignment + exposure,Stock60/Gold30/BTC10,0.6,0.3,0.1,2024-07-01,2026-01-30,0.13292978208232442,0.0791767554479419,0.12082324455205809,0.29999999999999993,0.05641646489104116,0.3106537530266344,JP optimized mean_variance top15 cap15%,15,0.15,mean_variance,0.14999999999999952,0.1499999999999999
