Sleeve,Target Weight,Target Weight %,Effective Weight,Effective Weight %,Daily Exposure,Date,Strategy
Cash / Reduced Exposure,0.0,0.0,0.6,60.0,1.0,2026-07-10,QQQ + global rotation + defensive GTAA 40/30/30
Core,0.4,40.0,0.4,40.0,1.0,2026-07-10,QQQ + global rotation + defensive GTAA 40/30/30
