Strategy,Start,End,Total Return,CAGR,Annual Vol,Sharpe,Sortino,Max Drawdown,Hit Rate
"Side trigger realloc to active stock side, no cost",2017-12-29,2026-04-29,15.648652688612295,0.3879135333412691,0.13156998852761642,2.7203280728883192,4.07536097301157,-0.1003267254863236,0.580018501387604
"Side trigger realloc to active stock side, fee+slippage",2017-12-29,2026-04-29,11.842622815026767,0.3465524787646974,0.13157326538298542,2.405902732924289,3.5917011733285644,-0.10244505469403775,0.5712303422756707
"Side trigger cash drag, no cost",2017-12-29,2026-04-29,8.00460574634551,0.2919663576487914,0.11203061384731189,2.3383461774638588,3.461782741846455,-0.09207725052787297,0.574468085106383
"Best asset sweep US30/TH30/max6 dynamic cash drag, no cost",2017-12-29,2026-04-29,9.068760384543758,0.3088974493087435,0.11971261457496178,2.3297248188836703,3.525528164588981,-0.09422232131376873,0.5698427382053654
Joint US+TH Dynamic HMM Copula/Gold/BTC 60/30/10,2017-12-29,2026-04-29,12.498570018043067,0.3543936836058814,0.1410083618055934,2.3005279931775906,3.3621462449328363,-0.1588532855460224,0.5689176688251619
Joint US+TH Static Copula/Gold/BTC 60/30/10,2017-12-29,2026-04-29,12.385680195943111,0.3530685287482298,0.14093020681199375,2.2924008703060763,3.352408567681426,-0.15909750971315384,0.5684551341350601
"Best asset sweep US30/TH30/max6 dynamic realloc idle exposure, no cost",2017-12-29,2026-04-29,13.501093668602197,0.3657506352279092,0.1494082045678711,2.247203466496306,3.3094191625790326,-0.12701159978493803,0.5703052728954672
"Best asset sweep US30/TH30/max6 dynamic cash drag, fee+slippage",2017-12-29,2026-04-29,8.061764957591672,0.2929195992283673,0.11970654716553163,2.196367746409049,3.3175773715241026,-0.09652329760834844,0.5661424606845513
"Side trigger cash drag, fee+slippage",2017-12-29,2026-04-29,6.356254869738234,0.26187525051169636,0.11200881166722737,2.0701518662708986,3.054244792199896,-0.09378909946453584,0.5670675300647549
"Best asset sweep US30/TH30/max6 dynamic realloc idle exposure, fee+slippage",2017-12-29,2026-04-29,10.438026910121456,0.32849545922910206,0.14948854693481442,1.9967781167828407,2.91611930934407,-0.1409954329014116,0.5689176688251619
Static HMM/Gold/BTC 60/30/10 daily exposure,2016-04-29,2026-04-29,25.30504962030328,0.25310471969472337,0.12012063707157004,1.8573387981766494,2.560448097247296,-0.12210458197239327,0.4945235487404162
S&P Gold BTC daily exposure 70/20/10,2016-04-29,2026-04-29,15.641650298267923,0.21413383972982714,0.10979846140847775,1.6770165753489312,2.3294077675197666,-0.1404508046053934,0.49644030668127054
S&P Gold BTC daily exposure 60/30/10,2016-04-29,2026-04-29,15.131237000810586,0.21152683364360536,0.10827986328642604,1.6764597602365237,2.293659984119821,-0.13588432362361713,0.49698795180722893
S&P/Gold/BTC 60/30/10 daily exposure,2016-04-29,2026-04-29,12.21819744960463,0.19499081785646188,0.10042413487609814,1.642939897466134,2.269590985119921,-0.10013365603008151,0.4953450164293538
S&P overlay + Gold/BTC 80/10/10,2016-04-29,2026-04-29,10.98417266383886,0.18693654076013844,0.10482789629179386,1.4970875722173942,2.038818747521539,-0.15064785585039286,0.5501095290251917
Static HMM daily exposure,2016-04-29,2026-04-29,20.59885027267813,0.2361754047241469,0.1506108578706683,1.3689278956314868,1.6681931118179452,-0.1732838786070875,0.37924424972617743
All assets in one Dynamic HMM Copula model,2017-12-29,2026-04-29,11.05648703610066,0.3366747192533195,0.23030410960117065,1.3316076720663113,1.7255304462227825,-0.3072759719160112,0.5513413506012951
All assets in one Static Copula model,2017-12-29,2026-04-29,10.891319561488995,0.33452729840848217,0.2302215566925574,1.3227575331494876,1.7147659847218846,-0.3072725991640801,0.5508788159111934
S&P 500 daily overlay,2016-04-29,2026-04-29,6.595379825782682,0.15016675041484806,0.09450634006077858,1.2715205174337176,1.5123399538767222,-0.12926237114759898,0.38116100766703176
S&P daily exposure,2016-04-29,2026-04-29,6.8748187788866115,0.153037797748119,0.10668662590845228,1.1532635576430885,1.5070034109493233,-0.10732207134926286,0.38691128148959475
S&P 500 daily exposure,2016-04-29,2026-04-29,5.966988748993505,0.1433333790051372,0.1068643625692303,1.060534833880809,1.3301951094369189,-0.10732207134926253,0.38691128148959475
S&P Gold BTC 60/30/10,2016-04-29,2026-04-29,5.8411070102673275,0.14189577112541096,0.14443467902958437,0.7747154068344728,0.9754867995990565,-0.2440925950036853,0.5465498357064622
S&P Gold BTC 70/20/10,2016-04-29,2026-04-29,5.85052114303279,0.14200413190706396,0.15199743224297038,0.7368817371073975,0.9170891506359182,-0.26258251734771043,0.5460021905805038
Top liquidity US 30 PIT,2017-06-01,2026-04-29,3.337504791782086,0.17956401456775195,0.2417133331322284,0.6187660921705693,0.7840181443795302,-0.33343994835183444,0.5207682000893256
Top liquidity US 50 PIT,2017-06-01,2026-04-29,2.788595102925137,0.16173711081058362,0.2176751994694057,0.6052003679413157,0.7661226025788431,-0.3150548218097806,0.5203215721304154
Top liquidity US 20 PIT,2017-06-01,2026-04-29,3.1922746760436045,0.17505141545878455,0.262704427464599,0.5521468246983813,0.7017880890263983,-0.37801734512844876,0.5270209915140688
S&P 500 buy & hold,2016-04-29,2026-04-29,3.05931032621777,0.10150178378649866,0.14886762291598205,0.48030446369693736,0.4788702884350993,-0.3371727136342999,0.38116100766703176
S&P 500,2016-04-29,2026-04-29,3.0593099728712634,0.10150177717037612,0.14886767578689783,0.480304248672022,0.4788702256964176,-0.33717259886422923,0.38116100766703176
S&P buy & hold,2016-04-29,2026-04-29,2.7729426420665897,0.0959552688809191,0.16131328785574164,0.40886445101721075,0.43375480183419934,-0.30253205854846454,0.38691128148959475
Top liquidity SET 20 PIT,2017-06-01,2026-04-29,0.047555038550087136,0.005085524684929288,0.17621734507621936,-0.14138492044749876,-0.16831936178433576,-0.4935619695900867,0.45233968804159447
Top liquidity SET 30 PIT,2017-06-01,2026-04-29,-0.08337146108905147,-0.009459888247951853,0.17876063970686465,-0.22074148041011143,-0.26093471316776895,-0.4975622023192332,0.45363951473136915
Top liquidity SET 50 PIT,2017-06-01,2026-04-29,-0.08328110990827697,-0.009449228223647355,0.1764866477602341,-0.22352528491130444,-0.260028489651003,-0.4538463782271014,0.45233968804159447
