,Raw,S&P trend MA300 below0.50,S&P trend + VIX 28/35 cap 50/25,S&P trend + VIX 25/35 cap 65/35,S&P trend + VIX 20/30 cap 80/50
2018-04-13,9703.554574868172,9703.55457486818,9251.628587855572,9418.973959560633,9294.956038590486
2018-04-16,9727.611739481754,9727.611739481761,9274.565332340753,9442.325588624795,9318.00020099212
2018-04-17,10031.85653284297,10031.85653284298,9564.640459578864,9737.647654769835,9609.433815081004
2018-04-18,10104.750525900412,10104.750525900421,9634.139543120871,9808.403852111649,9679.25837841175
2018-04-19,9992.124703359736,9992.124703359745,9526.759070170605,9699.081058953747,9571.37501863378
2018-04-20,9902.560186046365,9902.560186046374,9441.36586271857,9612.143241500733,9485.581895647541
2018-04-23,9852.31165580538,9852.31165580539,9393.45756939282,9563.368373054913,9437.449237043922
2018-04-24,9680.69272233304,9680.69272233305,9229.83148589119,9396.782587106933,9273.056855911065
2018-04-25,9662.157747505686,9662.157747505695,9212.15974491577,9378.79119602514,9255.302354210951
2018-04-26,9974.0640415972,9974.064041597208,9509.539551963266,9681.550070539013,9554.074857562351
2018-04-27,9996.664011351892,9996.664011351902,9531.086967877092,9703.487240569222,9575.723184855466
2018-04-30,9880.80219896902,9880.802198969031,9420.621215619838,9591.023360934003,9464.740096715846
2018-05-01,9971.70121545901,9971.70121545902,9507.286770296554,9679.2565400915,9551.811525614057
2018-05-02,9929.72383972971,9929.723839729719,9467.264417009008,9638.510254198594,9511.601738673735
2018-05-03,9986.844613587951,9986.84461358796,9521.72489129294,9693.955820807163,9566.317263567853
2018-05-04,10042.123040893728,10042.123040893737,9574.428823074637,9747.613072209353,9619.268019677409
2018-05-07,10173.433491171556,10173.433491171567,9699.62372008907,9875.072520419017,9745.04923246113
2018-05-08,10195.73437209136,10195.73437209137,9720.885976704432,9896.719373130383,9766.411064990858
2018-05-09,10345.048621968042,10345.048621968053,9863.246178017785,10041.65461521397,9909.4379710417
2018-05-10,10419.457214007649,10419.45721400766,9934.189320758347,10113.880992195845,9980.713356423963
2018-05-11,10303.35019631356,10303.35019631357,9823.48978319596,10001.179098498531,9869.495388110217
2018-05-14,10309.42941389064,10309.42941389065,9829.285871906955,10007.08002806112,9875.318621204031
2018-05-15,10281.11464044884,10281.11464044885,9802.289809236141,9979.595655024263,9848.19612991967
2018-05-16,10415.453964530385,10415.453964530394,9930.372515584284,10109.99514786024,9976.878676295608
2018-05-17,10297.8593540936,10297.85935409361,9818.254667294706,9995.849288737909,9864.235754987572
2018-05-18,10254.680586914385,10254.680586914395,9777.086875250932,9953.936845155606,9822.875164944538
2018-05-21,10386.683637318703,10386.683637318714,9902.94211575916,10082.06858128878,9949.319813758673
2018-05-22,10452.540529994343,10452.540529994356,9965.731839492288,10145.994058533584,10012.403595844433
2018-05-23,10507.762371707204,10507.762371707217,10018.381821055533,10199.596383854612,10065.30014907457
2018-05-24,10560.425628664329,10560.425628664343,10068.592379447817,10250.715161213739,10115.745854768158
2018-05-25,10557.532920976411,10557.532920976424,10065.83439453256,10247.907289296816,10112.974953591252
2018-05-28,10521.571571141309,10521.571571141321,10031.547881314611,10213.000594535213,10078.527868945448
2018-05-29,10530.445940066724,10530.445940066737,10040.008942116205,10221.614700754855,10087.028554791601
2018-05-30,10611.016127204191,10611.016127204204,10116.826714500405,10299.821968896596,10164.206082025115
2018-05-31,10495.146665877695,10495.146665877708,10006.353669535622,10187.350664641843,10053.215667024582
2018-06-01,10711.751380524436,10711.751380524447,10212.870400577689,10397.60291303541,10260.699562215665
2018-06-04,10802.492610137528,10802.49261013754,10299.385517023773,10485.682932804439,10347.619848347285
2018-06-05,10835.646828147032,10835.646828147042,10330.995635643516,10517.864821788698,10379.378004238975
2018-06-06,10945.40781086713,10945.40781086714,10435.64469364896,10624.406793603232,10484.517157243601
2018-06-07,10809.087146187,10809.08714618701,10305.672924155686,10492.084067857179,10353.936700816326
2018-06-08,10905.04160705335,10905.041607053361,10397.158474778817,10585.22442804484,10445.850698782531
2018-06-11,10930.410415904757,10930.410415904767,10421.34577597846,10609.849234152009,10470.151274536074
2018-06-12,10945.97327834563,10945.97327834564,10436.183825474232,10624.955677356487,10485.058813944077
2018-06-13,11024.811324797312,11024.811324797322,10511.350128578471,10701.481604100307,10560.577137696762
2018-06-14,11108.331455006766,11108.331455006775,10590.98045562465,10782.552300974563,10640.580391416266
2018-06-15,11079.980764722026,11079.980764722035,10563.950148874681,10755.033064444566,10613.423495680052
2018-06-18,11276.530390152191,11276.5303901522,10751.345821206098,10945.818388462107,10801.696783955924
2018-06-19,11250.974803134755,11250.974803134763,10726.980440704987,10921.01228191823,10777.217294915621
2018-06-20,11323.941460053758,11323.941460053768,10796.54880391701,10991.839012075063,10847.11146236861
2018-06-21,11211.005205773525,11211.005205773534,10688.872357039445,10882.21489135224,10738.930742551087
2018-06-22,11185.56155128005,11185.561551280061,10664.61369600187,10857.517434635629,10714.558472765491
2018-06-25,10777.59738911864,10777.59738911865,10275.649747136324,10461.517825401244,10323.772918528297
2018-06-26,10925.42450745619,10925.424507456199,10416.592077446303,10605.009549737446,10465.375313367995
2018-06-27,10755.105346791828,10755.105346791835,10254.205232120255,10439.685417561515,10302.227974040914
2018-06-28,10901.376494212298,10901.376494212305,10393.664058121863,10581.666803656535,10442.339916988987
2018-06-29,10897.82541892782,10897.825418927827,10390.278367922872,10578.219872392856,10438.93837084378
2018-07-02,10932.152124446156,10932.152124446164,10423.006367507978,10611.53986280463,10471.819642988008
2018-07-03,10846.226375799828,10846.226375799835,10341.082459472445,10528.134098173628,10389.512066925197
2018-07-04,10842.95604832015,10842.956048320157,10337.964441743046,10524.95968109454,10386.379446819763
2018-07-05,10983.665094803042,10983.66509480305,10472.120211875223,10661.542088548564,10521.16349849891
2018-07-06,11169.074962429317,11169.074962429326,10648.894941029057,10841.51435557126,10698.766103339265
2018-07-09,11284.11420660254,11284.11420660255,10758.576434744236,10953.179790833663,10808.96126007824
2018-07-10,11283.76738333516,11283.767383335167,10758.245764160516,10952.84313901202,10808.629040890046
2018-07-11,11313.196446631566,11313.196446631573,10786.304220595852,10981.409122611578,10836.818901367096
2018-07-12,11510.412355278706,11510.412355278711,10974.33514517532,11172.841189451243,11025.730416919709
2018-07-13,11442.875249261857,11442.875249261864,10909.94346108207,11107.284775255941,10961.037172134329
2018-07-16,11477.72796453138,11477.727964531387,10943.172972439383,11141.115348888601,10994.422304742822
2018-07-17,11496.509404481672,11496.509404481681,10961.079699858145,11159.34597689713,11012.412893380468
2018-07-18,11492.13559368058,11492.135593680588,10956.909591602138,11155.100438860352,11008.223255572631
2018-07-19,11397.185558411778,11397.185558411786,10866.381687221008,11062.935047018018,10917.271388720466
2018-07-20,11430.025931562746,11430.025931562755,10897.692577754488,11094.812295416494,10948.728915173684
2018-07-23,11444.371367401722,11444.371367401729,10911.369900151049,11108.73701604988,10962.470291537253
2018-07-24,11559.45422292551,11559.454222925517,11021.092974094847,11220.444783652676,11072.707223234376
2018-07-25,11663.99178649878,11663.991786498786,11120.7618845129,11321.916525940056,11172.842905503994
2018-07-26,11745.609332288635,11745.609332288643,11198.578236662423,11401.140436364485,11251.023689075737
2018-07-27,11680.557994181034,11680.55799418104,11136.556550210194,11337.996888817795,11188.711541161645
2018-07-30,11503.39545316028,11503.395453160285,10967.645042931223,11166.030075253835,11019.008983426995
2018-07-31,11406.73305086809,11406.733050868093,10875.484522008983,11072.202535764669,10926.416854124454
2018-08-01,11393.652200976265,11393.65220097627,10863.012889693326,11059.505313983784,10913.886814358737
2018-08-02,11474.981016706952,11474.981016706957,10940.553958878347,11138.448962068504,10991.791025754143
2018-08-03,11540.332551930143,11540.33255193015,11002.861861293513,11201.883902711676,11054.390730044694
2018-08-06,11615.07768322752,11615.077683227526,11074.125869567844,11274.436949109468,11125.988483645955
2018-08-07,11726.245823603742,11726.245823603747,11180.11654933659,11382.344810219285,11232.475541529368
2018-08-08,11674.27793772887,11674.277937728873,11130.568976341472,11331.901010474334,11182.69592614219
2018-08-09,11633.487464861471,11633.487464861477,11091.678248002645,11292.306818596311,11143.62306380391
2018-08-10,11558.56626924474,11558.566269244746,11020.246375294959,11219.582871398568,11071.856659622523
2018-08-13,11597.955813895873,11597.955813895876,11057.801421185139,11257.81722072751,11109.58758421181
2018-08-14,11691.933456579376,11691.93345657938,11147.402220455317,11349.03873778986,11199.608004111946
2018-08-15,11484.548935301971,11484.548935301975,10949.676268493547,11147.736277907074,11000.95605719034
2018-08-16,11502.5634084305,11502.563408430504,10966.851749221269,11165.222432283148,11018.211974544764
2018-08-17,11466.345748183989,11466.345748183992,10932.320862798506,11130.06694404365,10983.519372239643
2018-08-20,11492.605637395154,11492.605637395156,10957.357743857448,11155.556697386359,11008.673506625428
2018-08-21,11472.680442798435,11472.680442798437,10938.360530153202,11136.215858150834,10989.587324710552
2018-08-22,11434.083996248177,11434.083996248179,10901.561645214806,11098.75134736939,10952.616102344306
2018-08-23,11502.42396455307,11502.423964553074,10966.718799697166,11165.087077940552,11018.078402388237
2018-08-24,11747.223948311852,11747.223948311856,11200.117654784253,11402.707699799748,11252.570316637757
2018-08-27,11814.876782701473,11814.876782701478,11264.619677404866,11468.376448348521,11317.37441669056
2018-08-28,11778.68167950571,11778.681679505713,11230.110297477886,11433.24285561875,11282.703421600965
2018-08-29,11913.686624923936,11913.686624923937,11358.827625019696,11564.288448807827,11412.023561243894
2018-08-30,11901.98112623648,11901.981126236482,11347.667289345134,11552.926242672936,11400.810959215409
2018-08-31,11923.541184389927,11923.54118438993,11368.223225711468,11573.853999068504,11421.463163640039
2018-09-03,11930.818458681062,11930.818458681066,11375.161573752288,11580.917849383964,11428.434005520196
2018-09-04,11985.905555153096,11985.9055551531,11427.683085597298,11634.389381199919,11481.201487379607
2018-09-05,12005.613292236843,12005.613292236847,11446.47296948976,11653.519140399136,11500.07936851071
2018-09-06,11918.4945349361,11918.494534936106,11363.411615079543,11568.955355028133,11416.629019156846
2018-09-07,11885.73608653725,11885.736086537256,11332.178833796946,11537.15762873683,11385.249967757642
2018-09-10,12003.994176867744,12003.994176867749,11444.92926157116,11651.947509572372,11498.528431061852
2018-09-11,12074.6111137105,12074.611113710505,11512.257338786627,11720.493430976116,11566.171820756732
2018-09-12,12156.557073493694,12156.5570734937,11590.386809625385,11800.036123845402,11644.667189422727
2018-09-13,12157.867066592336,12157.86706659234,11591.635792099567,11801.307698172946,11645.92202116184
2018-09-14,12161.195786444952,12161.195786444956,11594.80948267984,11804.538795124952,11649.110574846587
2018-09-17,12093.924699291776,12093.92469929178,11530.671428089581,11739.240598135557,11584.672147368017
2018-09-18,12155.373671132884,12155.373671132887,11589.258522148073,11798.887427670808,11643.53361792222
2018-09-19,12046.388481779642,12046.388481779646,11485.349126297946,11693.098497173663,11539.137591076602
2018-09-20,12113.77941246423,12113.779412464231,11549.601442917927,11758.513022988016,11603.690815699594
2018-09-21,12073.623691244384,12073.623691244386,11511.315903785115,11719.534967103558,11565.225976804057
2018-09-24,12110.802636997914,12110.802636997918,11546.763305533188,11755.62354878716,11600.83938668122
2018-09-25,12098.312766362793,12098.312766362795,11534.85512865481,11743.499974342061,11588.875441140914
2018-09-26,12069.290147995142,12069.290147995143,11507.184187690558,11715.32851567359,11561.07491095677
2018-09-27,12146.799557553057,12146.79955755306,11581.083732827456,11790.56477106991,11635.320544230568
2018-09-28,12106.679584419511,12106.679584419515,11542.832276876703,11751.621414871159,11596.889948136271
2018-10-01,12160.78113625726,12160.781136257263,11594.414144095319,11804.136305574342,11648.713384802852
2018-10-02,11993.98792907434,11993.987929074343,11435.389037169018,11642.234719617747,11488.943527650084
2018-10-03,11984.060952385043,11984.060952385047,11425.924391958742,11632.598875947038,11479.434557384477
2018-10-04,11898.353191879089,11898.353191879092,11344.208319649359,11549.404706417794,11397.335790389112
2018-10-05,11850.93124401592,11850.931244015923,11298.994965598771,11503.37352386623,11351.910692065441
2018-10-08,11761.58380434982,11761.583804349824,11213.8087257844,11416.646417724322,11266.325505992709
2018-10-09,11866.958003908723,11866.958003908725,11314.27530733859,11518.930259588356,11367.262595071219
2018-10-10,11263.088879531271,11263.088879531273,10738.530325300435,10932.77108321549,10788.821270209932
2018-10-11,11089.529977827113,11089.529977827115,10573.054624175229,10764.30222337774,10655.820741465599
2018-10-12,11340.462341318997,11214.996159573058,10692.677439185327,10886.088800611124,10776.379966651342
2018-10-15,11181.482334814022,11057.7750420613,10542.778618689834,10733.478579242179,10655.522181094846
2018-10-16,11515.686472011328,11388.281683005294,10857.892494150788,11054.292299667473,10910.309121880458
2018-10-17,11445.485516598166,11318.857401908004,10791.701526837172,10986.904056444708,10843.798616747266
2018-10-18,11253.365803707204,11128.863222005826,10610.555991688469,10802.481923384155,10661.778598996538
2018-10-19,11160.258848697264,11036.786363810947,10522.767451212594,10713.105445628062,10591.208726291206
2018-10-22,11250.651325397204,11126.17877556038,10607.996568614622,10799.876204936301,10676.99218355638
2018-10-23,11228.957774222708,11104.725232857538,10587.542186929124,10779.051840163647,10656.404764248415
2018-10-24,10681.920924573442,10834.23290268117,10329.647561269296,10516.492363166351,10396.83276264182
2018-10-25,10915.277034157303,10952.574653118536,10442.47775282805,10631.363450570272,10510.396814586014
2018-10-26,10544.103254739864,10766.353611012686,10264.929628219275,10450.603798755663,10331.693896802119
2018-10-29,10328.350270078809,10656.203280094403,10159.90935522316,10343.683897336918,10225.990560018243
2018-10-30,10586.237478625644,10789.239943537761,10286.750070061125,10472.818933263361,10353.656261276905
2018-10-31,10884.87851248558,10941.423841632182,10431.846270773822,10620.5396640694,10499.696184164575
2018-11-01,10896.61385879807,10947.32199648003,10437.469729433731,10626.264841012828,10505.356218438536
2018-11-02,10710.52028670618,10853.842210852856,10348.34360040315,10535.526580123555,10415.650402938405
2018-11-05,10771.48547666732,10884.732706107983,10377.7954251742,10565.511135593519,10445.293785724025
2018-11-06,10903.7309481307,10951.550630691838,10441.501422444748,10630.369460121032,10509.41413403897
2018-11-07,11134.214188246047,11183.044684026108,10662.21404741342,10855.074380707132,10731.562298997367
2018-11-08,11158.975446565022,11207.914535955679,10685.92562973226,10879.214863031977,10755.428104141673
2018-11-09,11161.613051423628,11210.563708361913,10688.45142159323,10881.786341938618,10757.970324039881
2018-11-12,10897.61701436387,10945.409883500013,10435.646669752594,10624.408805451058,10503.5213013701
2018-11-13,10862.874366592298,10927.962375489926,10419.011748740142,10607.472988546202,10486.778184941357
2018-11-14,10689.83319904264,10840.923378969399,10336.02644039209,10522.986624774268,10403.253130719186
2018-11-15,10840.52701936898,10917.33524290701,10408.879556165506,10597.157522776317,10476.58009143502
2018-11-16,10874.829833334032,10934.608172496246,10425.34802944,10613.923881202096,10493.155677530805
2018-11-19,10630.14870188694,10811.5951074377,10308.064081522305,10494.518476972906,10375.108901490285
2018-11-20,10391.107845960178,10690.034580821703,10192.165022624022,10376.523011922189,10258.456021944707
2018-11-21,10426.337105278764,10708.155940254945,10209.442411614815,10394.11291789908,10275.845785036518
2018-11-22,10406.725560806492,10698.085122751258,10199.840624723081,10384.337451899808,10266.181547031905
2018-11-23,10367.04945935826,10677.691661419352,10180.39695298322,10364.542079003362,10246.611411441894
2018-11-26,10514.386899351352,10753.567818883275,10252.73931186972,10438.19298144227,10319.424293249991
2018-11-27,10557.6094073596,10775.670684966582,10273.812775841314,10459.647626589474,10340.634821425581
2018-11-28,10833.53141231717,10916.481191656,10408.06528084935,10596.328518679802,10475.76051997969
2018-11-29,10826.575532711677,10909.472052530926,10401.382580050846,10589.52493980686,10469.03435413592
2018-11-30,10868.549193118286,10951.76709529535,10441.707805590091,10630.579576367405,10509.621859523744
2018-12-03,10954.401096360869,11038.27634618929,10524.188040282359,10714.551730606792,10592.63855503369
2018-12-04,10651.501215667917,10733.057232984891,10233.183970434056,10418.283918945466,10299.74176165179
2018-12-06,10634.13157309232,10724.30591408131,10224.84022881596,10409.789254002979,10291.34375139021
2018-12-07,10538.137623224322,10675.901938767975,10178.690583516442,10362.804844372686,10244.893943554232
2018-12-10,10599.05163670171,10706.757107766158,10208.10872728883,10392.75510961512,10274.50342627615
2018-12-11,10633.426427116736,10724.119157891924,10224.662170467618,10409.607974898398,10291.16453493014
2018-12-12,10674.753452076564,10744.958909929903,10244.531347708886,10429.836549927777,10311.162943557682
2018-12-13,10691.547682652748,10753.411251160787,10252.59003601353,10438.04100545351,10319.274046486671
2018-12-14,10476.74167011692,10645.386788258771,10149.596622469953,10333.184625740361,10215.6107520795
2018-12-17,10398.574725568662,10605.674185573049,10111.733564404927,10294.636692848637,10177.501428382893
2018-12-18,10351.113069088098,10581.47073085811,10088.657343022553,10271.143064000313,10154.275116634775
2018-12-19,10210.883726793532,10509.795700781939,10020.320451404967,10201.570080550859,10085.493754109806
2018-12-20,10114.99327898829,10460.44693513861,9973.270017723307,10153.668588891831,10038.137299061704
2018-12-21,9983.641394613584,10392.527986582003,9908.514274734978,10087.741530628842,9972.96037736356
2018-12-24,9774.645236967925,10283.75012029203,9804.8025462411,9982.15384293598,9868.574096004038
2018-12-25,9726.715672296514,10258.53715069028,9792.78318629663,9965.022366877092,9844.379025549708
2018-12-26,10129.08851193806,10470.723713090174,9894.059663152198,10109.303239134439,10047.99918246969
2018-12-27,10261.211864410969,10539.013526046223,9958.588486783365,10175.235876288583,10113.531996012995
2018-12-28,10256.07654163965,10536.37635039569,9956.096550796557,10172.68972866053,10111.001288536925
2018-12-31,10327.763832652352,10573.19960705644,9990.891805487267,10208.241948166678,10146.337915016766
2019-01-02,10275.968918400864,10546.6867057215,9965.839074191985,10182.644198986352,10120.895393731886
2019-01-03,10213.620959705338,10514.691455817354,9935.605928884814,10151.753336773216,10090.19185750183
2019-01-04,10150.437769366208,10482.168624089452,9904.87425776563,10120.353103404275,10058.98203900523
2019-01-07,10094.523619474843,10453.297871864226,9877.593531727623,10092.478889836608,10031.276858092695
2019-01-08,10070.270663981946,10440.740401219886,9865.72765051656,10080.35486840899,10019.226358220323
2019-01-09,10156.050791237618,10485.208324185618,9907.74654958935,10123.287881445429,10061.899020191835
2019-01-10,10118.74192819725,10465.94930267431,9889.548198347537,10104.693628184461,10043.417524766754
2019-01-11,10144.700997806269,10479.374208082534,9902.233741268998,10117.655142922815,10056.300439287548
2019-01-14,10155.041793077837,10484.715176893904,9907.280561863898,10122.811756236695,10061.42578226486
2019-01-15,10162.568702764538,10488.60080857496,9910.952196483893,10126.563266639962,10065.154543048206
2019-01-16,10148.045898841056,10481.106448761522,9903.870580622079,10119.327591436104,10057.962745867613
2019-01-17,10076.85080792223,10444.340585954638,9869.129558879353,10083.83078470645,10022.68119613438
2019-01-18,10082.513852360787,10447.275370144514,9871.90271292952,10086.664268248738,10025.497497084403
2019-01-21,10103.19773420056,10457.991458040246,9882.028623602091,10097.010466376352,10035.78095459565
2019-01-22,10121.748782317078,10467.592710428067,9891.10109715493,10106.280310039843,10044.994584788461
2019-01-23,10104.367556472862,10458.605153195711,9882.608520145019,10097.602978469402,10036.369873622582
2019-01-24,10105.085162777754,10458.976535222164,9882.959448698599,10097.961541413652,10036.726262197091
2019-01-25,10149.254528956011,10481.834648587486,9904.558675611717,10120.030655814568,10058.661546777319
2019-01-28,10116.063880084645,10464.695513276789,9888.363460076911,10103.483116135356,10042.214353411417
2019-01-29,10124.55757777939,10469.088721999615,9892.514717469176,10107.72468342228,10046.430199313281
2019-01-30,10137.954511759495,10476.015132826114,9899.059663534674,10114.412013670177,10053.076976769087
2019-01-31,10094.32349919314,10453.47216583137,9877.758226638613,10092.647167657216,10031.444115455932
2019-02-01,10084.57177786293,10448.422825600574,9872.986973488212,10087.772116710465,10026.59862741697
2019-02-04,10152.22269586136,10483.468706147492,9906.102739177399,10121.608310219073,10060.229634091715
2019-02-05,10208.332993435117,10541.40976657625,9960.852756896971,10177.549405211297,10115.831495412127
2019-02-06,10170.41178832034,10502.251271039875,9923.850874145372,10139.742552828153,10078.253908426012
2019-02-07,10051.464712775552,10379.423198654318,9807.787428122689,10021.154166385333,9960.384656525928
2019-02-08,10099.311640903585,10404.127235826394,9831.13091653846,10045.005488399604,9984.09134119362
2019-02-11,9942.152686780017,10323.176087218968,9754.63806694476,9966.848549944087,9906.408356013662
2019-02-12,10200.989634855992,10457.554399293154,9881.615635403905,10096.588493690542,10035.361540804037
2019-02-13,10184.564367346413,10440.716020405143,9865.704612449448,10080.331329152668,10019.202961708945
2019-02-14,10220.814384304616,10477.877760381862,9900.819708844985,10116.210348465233,10054.864406241035
2019-02-15,10263.626668031771,10521.766814489407,9942.291619650585,10158.584473598272,10096.981569474046
2019-02-18,10251.162018039857,10508.988666483727,9930.217214650793,10146.247391982559,10084.719301436735
