,Raw,S&P trend MA300 below0.50,S&P trend + VIX 28/35 cap 50/25,S&P trend + VIX 25/35 cap 65/35,S&P trend + VIX 20/30 cap 80/50
2017-12-29,10000.0,10000.0,10000.0,10000.0,10000.0
2018-01-02,10050.92289241697,10050.92289241697,10050.92289241697,10050.92289241697,10050.92289241697
2018-01-03,10034.489771615474,10034.489771615474,10034.489771615474,10034.489771615474,10034.489771615474
2018-01-04,10063.708000410465,10063.708000410465,10063.708000410465,10063.708000410465,10063.708000410465
2018-01-05,10257.221907143496,10257.221907143497,10257.221907143497,10257.221907143497,10257.221907143497
2018-01-08,10138.560963097403,10138.560963097405,10138.560963097405,10138.560963097405,10138.560963097405
2018-01-09,10122.637817035136,10122.637817035138,10122.637817035138,10122.637817035138,10122.637817035138
2018-01-10,10150.97150652754,10150.971506527541,10150.971506527541,10150.971506527541,10150.971506527541
2018-01-11,10101.45433679169,10101.454336791694,10101.454336791694,10101.454336791694,10101.454336791694
2018-01-12,10239.427185730348,10239.42718573035,10239.42718573035,10239.42718573035,10239.42718573035
2018-01-15,10198.5663216022,10198.566321602202,10198.566321602202,10198.566321602202,10198.566321602202
2018-01-16,9991.516952785843,9991.516952785845,9991.516952785845,9991.516952785845,9991.516952785845
2018-01-17,10107.019924468152,10107.019924468152,10107.019924468152,10107.019924468152,10107.019924468152
2018-01-18,10155.21645748698,10155.21645748698,10155.21645748698,10155.21645748698,10155.21645748698
2018-01-19,10165.259168855207,10165.259168855206,10165.259168855206,10165.259168855206,10165.259168855206
2018-01-22,10204.493041510204,10204.493041510203,10204.493041510203,10204.493041510203,10204.493041510203
2018-01-23,10244.505847886783,10244.505847886783,10244.505847886783,10244.505847886783,10244.505847886783
2018-01-24,10270.406013165411,10270.406013165411,10270.406013165411,10270.406013165411,10270.406013165411
2018-01-25,10232.18837794581,10232.18837794581,10232.18837794581,10232.18837794581,10232.18837794581
2018-01-26,10397.989460783983,10397.989460783985,10397.989460783985,10397.989460783985,10397.989460783985
2018-01-29,10370.128449143804,10370.128449143805,10370.128449143805,10370.128449143805,10370.128449143805
2018-01-30,10180.084986168757,10180.084986168758,10180.084986168758,10180.084986168758,10180.084986168758
2018-01-31,10238.88694887666,10238.886948876661,10238.886948876661,10238.886948876661,10238.886948876661
2018-02-01,10006.560065284097,10006.560065284099,10006.560065284099,10006.560065284099,10006.560065284099
2018-02-02,9850.6526526591,9850.652652659102,9850.652652659102,9850.652652659102,9850.652652659102
2018-02-05,9187.059626063765,9187.059626063767,9187.059626063767,9187.059626063767,9187.059626063767
2018-02-06,9575.674078131213,9575.674078131213,9284.213239080627,9323.07468428737,9381.36685209749
2018-02-07,9580.764294704635,9580.764294704637,9286.680880299155,9326.296045496609,9385.356393816832
2018-02-08,9316.61714852526,9316.617148525262,9030.641781898059,9159.160693254167,9178.348682862223
2018-02-09,9551.155523865094,9551.155523865096,9144.311369154719,9309.034141121245,9293.877471587954
2018-02-12,9631.168417052202,9631.168417052204,9182.613688021878,9359.724111476758,9356.163549838499
2018-02-13,9663.65710175155,9663.657101751554,9213.5892693748,9380.246578018305,9381.412361563403
2018-02-14,9881.427298818331,9881.427298818335,9421.217202543128,9591.630128192057,9550.540218417687
2018-02-15,10104.755690427955,10104.75569042796,9634.144467119622,9808.408865176712,9766.390289615125
2018-02-16,10091.899671380195,10091.8996713802,9621.887194546918,9795.929880522153,9753.96476410637
2018-02-19,10191.619952989102,10191.61995298911,9716.963179435117,9892.725619492592,9850.34583652611
2018-02-20,10147.360951528985,10147.360951528992,9674.76546312208,9849.764622157792,9807.568881265566
2018-02-21,10035.939111298618,10035.939111298623,9568.53289912367,9741.610501566327,9721.41624487811
2018-02-22,9987.372638793064,9987.37263879307,9522.228324652844,9694.46836037383,9683.780712056641
2018-02-23,10111.016864728195,10111.016864728199,9640.114038239431,9814.486415133815,9803.66645313904
2018-02-26,10217.811480817674,10217.81148081768,9741.93488292262,9918.14901631847,9907.214771684985
2018-02-27,10058.918894268483,10058.918894268489,9590.442439120212,9763.916345854574,9753.152134737078
2018-02-28,10007.110308791336,10007.110308791343,9541.046747386985,9713.627174631198,9702.918404715449
2018-03-01,9824.825003093423,9824.82500309343,9367.251059185406,9536.68783406975,9526.174130595511
2018-03-02,9907.088687625175,9907.088687625183,9445.683457301395,9616.538933627524,9589.984584886726
2018-03-05,10099.670102606264,10099.670102606273,9629.295731605827,9803.472424731926,9776.401892658603
2018-03-06,10169.847696585026,10169.847696585037,9696.204927578445,9871.59188808225,9844.333256319598
2018-03-07,10191.10582913199,10191.105829132,9716.472999992371,9892.226573582688,9864.910962834278
2018-03-08,10205.377863373958,10205.37786337397,9730.080339342203,9906.080045301518,9878.726180673844
2018-03-09,10381.994827020764,10381.994827020777,9898.471678553818,10077.517281890516,10049.690024059846
2018-03-12,10442.09237989821,10442.092379898222,9955.770293609909,10135.852326148632,10107.863986548342
2018-03-13,10316.812003997917,10316.812003997928,9836.324630865009,10014.246105547265,9986.593559730289
2018-03-14,10285.435387949812,10285.435387949823,9806.409325521889,9983.789685972766,9956.221240099892
2018-03-15,10247.749950202791,10247.749950202802,9770.479020754068,9947.2094664197,9919.74203026703
2018-03-16,10282.29874816855,10282.298748168561,9803.418769221491,9980.745035871374,9953.184997254079
2018-03-19,10149.089108609738,10149.089108609747,9676.413134326405,9851.4420967797,9824.239105054385
2018-03-20,10242.882249723723,10242.882249723732,9765.83802486315,9942.484523235062,9915.03013416617
2018-03-21,10226.992503963987,10226.992503963997,9750.688316064143,9927.060783369403,9899.648984193831
2018-03-22,9883.609601401768,9883.609601401777,9423.297868222135,9593.748429382273,9567.25701253432
2018-03-23,9637.395316242251,9637.39531624226,9188.550580334473,9354.75498399107,9376.590206274033
2018-03-26,9986.858705544086,9986.858705544095,9521.738326940998,9693.969499482007,9648.595235521423
2018-03-27,9542.877895248592,9542.8778952486,9098.435141979535,9263.009518945732,9305.440995960433
2018-03-28,9385.562240682631,9385.56224068264,8948.446187326861,9110.307533054323,9182.719816259847
2018-03-29,9634.853158034328,9634.853158034337,9186.126818673752,9352.287380828046,9377.842374766264
2018-03-30,9617.603032492523,9617.603032492532,9169.680087388293,9335.543157664895,9361.05239824845
2018-04-02,9240.92054080308,9240.920540803088,8810.540920212943,8969.907806941525,8994.41795406368
2018-04-03,9412.324240261329,9412.324240261338,8973.961793846118,9136.284671142503,9127.883143380523
2018-04-04,9498.781326270886,9498.781326270895,9056.39229314174,9220.2061903611,9194.958620839043
2018-04-05,9537.92964532066,9537.92964532067,9093.71734808866,9258.206388623024,9225.275535093506
2018-04-06,9291.96435850077,9291.96435850078,8859.207461880913,9019.45463908243,8987.373010398851
2018-04-09,9331.22915826636,9331.22915826637,8896.643572659183,9057.567901976556,9017.755167545127
2018-04-10,9616.171726123062,9616.17172612307,9168.315441595505,9334.153827876713,9238.051316758614
2018-04-11,9562.336946886158,9562.336946886166,9116.987922513066,9281.897886011411,9196.676976334484
2018-04-12,9758.5989282562,9758.598928256208,9304.109347300531,9472.404001838695,9347.682577197224
