Asset,Effective Weight,Date,Strategy,Case
IVL.BK,0.04266798472211018,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 40% + daily exposure,AI-tech cap 40%
PTTGC.BK,0.04234950026547202,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 40% + daily exposure,AI-tech cap 40%
AMAT,0.049999999999999205,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 35% + daily exposure,AI-tech cap 35%
MRK,0.049999999999999205,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 35% + daily exposure,AI-tech cap 35%
XOM,0.049999999999999205,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 35% + daily exposure,AI-tech cap 35%
COST,0.049999999999999205,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 35% + daily exposure,AI-tech cap 35%
TXN,0.049999999999999205,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 35% + daily exposure,AI-tech cap 35%
MU,0.049999999999999205,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 35% + daily exposure,AI-tech cap 35%
WMT,0.049999999999999205,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 35% + daily exposure,AI-tech cap 35%
LRCX,0.049999999999999205,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 35% + daily exposure,AI-tech cap 35%
JNJ,0.049999999999999205,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 35% + daily exposure,AI-tech cap 35%
INTC,0.049999999999999205,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 35% + daily exposure,AI-tech cap 35%
GEV,0.049999999999999205,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 35% + daily exposure,AI-tech cap 35%
CVX,0.04999999999999904,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 35% + daily exposure,AI-tech cap 35%
GC=F,0.04999999999999883,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 35% + daily exposure,AI-tech cap 35%
Cash / Reduced Exposure,0.04999999999999882,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 35% + daily exposure,AI-tech cap 35%
PTTEP.BK,0.04342604940273568,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 35% + daily exposure,AI-tech cap 35%
BCP.BK,0.043182127464671455,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 35% + daily exposure,AI-tech cap 35%
TOP.BK,0.042983132801521315,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 35% + daily exposure,AI-tech cap 35%
HANA.BK,0.04270822734507031,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 35% + daily exposure,AI-tech cap 35%
DELTA.BK,0.04268297586489651,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 35% + daily exposure,AI-tech cap 35%
IVL.BK,0.04266798578882024,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 35% + daily exposure,AI-tech cap 35%
PTTGC.BK,0.04234950133228902,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 35% + daily exposure,AI-tech cap 35%
Cash / Reduced Exposure,0.05000000000000049,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 30% + daily exposure,AI-tech cap 30%
GC=F,0.05000000000000033,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 30% + daily exposure,AI-tech cap 30%
MRK,0.04999999999999673,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 30% + daily exposure,AI-tech cap 30%
