Date,TH Tactical Weight,US Count,TH Count,US Selected,TH Selected
2018-03-31,0.3,50,50,"AAPL,AMAT,AMD,AMGN,AMZN,AVGO,BA,BAC,BIIB,BKNG,BRK-B,C,CHTR,CMCSA,CSCO,CVS,CVX,DIS,GE,GILD,GM,GOOG,GS,HD,IBM,INTC,JNJ,JPM,KO,MA,MCD,MRK,MSFT,MU,NFLX,NKE,NVDA,ORCL,PFE,PG,QCOM,SBUX,SLB,T,UNH,V,VZ,WFC,WMT,XOM","ADVANC.BK,AMATA.BK,AOT.BK,BANPU.BK,BBL.BK,BCH.BK,BCP.BK,BCPG.BK,BDMS.BK,BEAUTY.BK,BEM.BK,BH.BK,BJC.BK,BTS.BK,CBG.BK,CK.BK,CPALL.BK,CPF.BK,CPN.BK,EA.BK,EGCO.BK,GPSC.BK,HANA.BK,HMPRO.BK,IRPC.BK,IVL.BK,KBANK.BK,KCE.BK,KKP.BK,KTB.BK,KTC.BK,LH.BK,MINT.BK,PTG.BK,PTT.BK,PTTEP.BK,PTTGC.BK,SAWAD.BK,SCC.BK,SPRC.BK,SUPER.BK,TASCO.BK,TCAP.BK,THAI.BK,TISCO.BK,TKN.BK,TOP.BK,TRUE.BK,TU.BK,WHA.BK"
2018-04-30,0.3,50,50,"AAPL,AMAT,AMD,AMGN,AMZN,AVGO,BA,BAC,BIIB,BKNG,BRK-B,C,CAT,CHTR,CMCSA,CSCO,CVX,DIS,GE,GILD,GM,GOOG,GS,HD,IBM,INTC,JNJ,JPM,KO,MA,MCD,MRK,MSFT,MU,NFLX,NKE,NVDA,ORCL,PFE,PG,QCOM,SBUX,SLB,T,UNH,V,VZ,WFC,WMT,XOM","ADVANC.BK,AMATA.BK,AOT.BK,BANPU.BK,BBL.BK,BCH.BK,BCP.BK,BCPG.BK,BDMS.BK,BEAUTY.BK,BEC.BK,BEM.BK,BH.BK,BJC.BK,BTS.BK,CBG.BK,CK.BK,CPALL.BK,CPF.BK,CPN.BK,EA.BK,EGCO.BK,GPSC.BK,HANA.BK,HMPRO.BK,IRPC.BK,IVL.BK,KBANK.BK,KCE.BK,KKP.BK,KTB.BK,KTC.BK,LH.BK,MINT.BK,PTG.BK,PTT.BK,PTTEP.BK,PTTGC.BK,SAWAD.BK,SCC.BK,SPRC.BK,SUPER.BK,TASCO.BK,TCAP.BK,TISCO.BK,TOP.BK,TPIPP.BK,TRUE.BK,TU.BK,WHA.BK"
2018-05-31,0.0,50,0,"AAPL,AMAT,AMD,AMGN,AMZN,AVGO,BA,BAC,BIIB,BKNG,BRK-B,C,CAT,CHTR,CMCSA,CSCO,CVX,DIS,GE,GILD,GOOG,GS,HD,IBM,INTC,JNJ,JPM,KO,MA,MCD,MRK,MSFT,MU,NFLX,NKE,NVDA,ORCL,PFE,PG,PYPL,QCOM,SBUX,SLB,T,UNH,V,VZ,WFC,WMT,XOM",
2018-06-30,0.0,50,0,"AAPL,AMAT,AMD,AMGN,AMZN,AVGO,BA,BAC,BIIB,BKNG,BRK-B,C,CAT,CHTR,CMCSA,CRM,CSCO,CVX,DIS,GE,GILD,GOOG,GS,HD,IBM,INTC,JNJ,JPM,MA,MCD,MRK,MSFT,MU,NFLX,NKE,NVDA,ORCL,PFE,PG,PYPL,QCOM,SBUX,SLB,T,UNH,V,VZ,WFC,WMT,XOM",
2018-07-31,0.0,50,0,"AAPL,AMAT,AMD,AMGN,AMZN,AVGO,BA,BAC,BIIB,BKNG,BRK-B,C,CAT,CHTR,CMCSA,CRM,CSCO,CVX,DIS,GE,GILD,GOOG,GS,HD,IBM,INTC,JNJ,JPM,MA,MCD,MRK,MSFT,MU,NFLX,NKE,NVDA,ORCL,PFE,PG,PYPL,QCOM,SBUX,SLB,T,UNH,V,VZ,WFC,WMT,XOM",
2018-08-31,0.3,50,50,"AAPL,ADBE,AMAT,AMD,AMGN,AMZN,AVGO,BA,BAC,BIIB,BKNG,BRK-B,C,CAT,CHTR,CMCSA,CRM,CSCO,CVX,DIS,GE,GOOG,GS,HD,IBM,INTC,JNJ,JPM,MA,MCD,MRK,MSFT,MU,NFLX,NKE,NVDA,ORCL,PFE,PG,PYPL,QCOM,SBUX,SLB,T,UNH,V,VZ,WFC,WMT,XOM","ADVANC.BK,AMATA.BK,AOT.BK,BANPU.BK,BBL.BK,BCH.BK,BCP.BK,BCPG.BK,BDMS.BK,BEAUTY.BK,BEM.BK,BGRIM.BK,BH.BK,BJC.BK,BTS.BK,CBG.BK,CENTEL.BK,CK.BK,CPALL.BK,CPF.BK,CPN.BK,EA.BK,EGCO.BK,GPSC.BK,HANA.BK,HMPRO.BK,IRPC.BK,IVL.BK,KBANK.BK,KCE.BK,KKP.BK,KTB.BK,KTC.BK,LH.BK,MINT.BK,MTC.BK,PTT.BK,PTTEP.BK,PTTGC.BK,RS.BK,SAWAD.BK,SCC.BK,SPRC.BK,SUPER.BK,TISCO.BK,TOP.BK,TRUE.BK,TU.BK,WHA.BK,WORK.BK"
2018-09-30,0.0,50,0,"AAPL,ADBE,AMAT,AMD,AMGN,AMZN,AVGO,BA,BAC,BKNG,BRK-B,C,CAT,CHTR,CMCSA,CRM,CSCO,CVX,DIS,GE,GOOG,GS,HD,IBM,INTC,JNJ,JPM,LRCX,MA,MCD,MRK,MSFT,MU,NFLX,NKE,NVDA,ORCL,PFE,PG,PYPL,QCOM,SBUX,SLB,T,UNH,V,VZ,WFC,WMT,XOM",
2018-10-31,0.3,50,50,"AAPL,ADBE,AMAT,AMD,AMGN,AMZN,AVGO,BA,BAC,BKNG,BRK-B,C,CAT,CHTR,CMCSA,COST,CRM,CSCO,CVX,DIS,GE,GOOG,GS,HD,IBM,INTC,JNJ,JPM,LRCX,MA,MCD,MRK,MSFT,MU,NFLX,NKE,NVDA,ORCL,PFE,PG,PYPL,QCOM,SBUX,T,UNH,V,VZ,WFC,WMT,XOM","ADVANC.BK,AMATA.BK,AOT.BK,BANPU.BK,BBL.BK,BCH.BK,BCP.BK,BCPG.BK,BDMS.BK,BEAUTY.BK,BEM.BK,BGRIM.BK,BH.BK,BJC.BK,BTS.BK,CBG.BK,CENTEL.BK,CK.BK,CPALL.BK,CPF.BK,CPN.BK,EA.BK,EGCO.BK,GPSC.BK,HMPRO.BK,IRPC.BK,IVL.BK,KBANK.BK,KCE.BK,KKP.BK,KTB.BK,KTC.BK,LH.BK,MINT.BK,MTC.BK,PTT.BK,PTTEP.BK,PTTGC.BK,RS.BK,SAWAD.BK,SCC.BK,SGP.BK,SPRC.BK,SUPER.BK,TISCO.BK,TOP.BK,TRUE.BK,TU.BK,WHA.BK,WORK.BK"
2018-11-30,0.0,50,0,"AAPL,ADBE,AMAT,AMD,AMZN,AVGO,BA,BAC,BKNG,BRK-B,C,CAT,CHTR,CMCSA,CRM,CSCO,CVX,DIS,GE,GOOG,GS,HD,IBM,INTC,JNJ,JPM,LOW,LRCX,MA,MCD,MRK,MSFT,MU,NFLX,NKE,NVDA,ORCL,PFE,PG,PYPL,QCOM,SBUX,T,UNH,UNP,V,VZ,WFC,WMT,XOM",
2018-12-31,0.0,50,0,"AAPL,ADBE,AMAT,AMD,AMZN,AVGO,BA,BAC,BKNG,BRK-B,C,CAT,CHTR,CMCSA,CRM,CSCO,CVX,DIS,GE,GOOG,GS,HD,IBM,INTC,JNJ,JPM,LOW,LRCX,MA,MCD,MRK,MSFT,MU,NFLX,NKE,NVDA,ORCL,PFE,PG,PYPL,QCOM,SBUX,T,UNH,UNP,V,VZ,WFC,WMT,XOM",
