Total Return,CAGR,Annual Vol,Sharpe,Sortino,Max Drawdown,Hit Rate,Strategy,Equity Weight,Gold Weight,BTC Weight,DD Window,Warn Drawdown,Crash Drawdown,Warn Exposure,Crash Exposure,Recovery Drawdown,Panic Drawdown,Panic MA Period,Panic Momentum Period,Start,End,Average Gold Weight,Average Cash / Reduced Exposure Weight,Gold Reduced Days,Gold Zero Days
23.044688039127305,0.17311307016236532,0.14191468938205948,0.9852442870068894,1.4115392159380316,-0.19060755932603235,0.5426464726982861,Gold25 crash DD252 warn-8%/exp50% crash-15%/exp50% recover-5% no panic,0.65,0.25,0.1,252,-0.08,-0.15,0.5,0.5,-0.05,,,,2006-12-29,2026-04-29,0.18945507073122136,0.16626768280533974,2431,0
23.044688039127305,0.17311307016236532,0.14191468938205948,0.9852442870068894,1.4115392159380316,-0.19060755932603235,0.5426464726982861,Gold25 crash DD252 warn-8%/exp50% crash-18%/exp50% recover-5% no panic,0.65,0.25,0.1,252,-0.08,-0.18,0.5,0.5,-0.05,,,,2006-12-29,2026-04-29,0.18945507073122136,0.16626768280533974,2431,0
23.044688039127305,0.17311307016236532,0.14191468938205948,0.9852442870068894,1.4115392159380316,-0.19060755932603235,0.5426464726982861,Gold25 crash DD252 warn-8%/exp50% crash-20%/exp50% recover-5% no panic,0.65,0.25,0.1,252,-0.08,-0.2,0.5,0.5,-0.05,,,,2006-12-29,2026-04-29,0.18945507073122136,0.16626768280533974,2431,0
23.044688039127305,0.17311307016236532,0.14191468938205948,0.9852442870068894,1.4115392159380316,-0.19060755932603235,0.5426464726982861,Gold25 crash DD252 warn-8%/exp50% crash-25%/exp50% recover-5% no panic,0.65,0.25,0.1,252,-0.08,-0.25,0.5,0.5,-0.05,,,,2006-12-29,2026-04-29,0.18945507073122136,0.16626768280533974,2431,0
23.805263208402934,0.1749487878616367,0.14384280094705254,0.9848277366384915,1.4154357456377917,-0.19183945737169206,0.5416500597847748,Gold25 crash DD252 warn-8%/exp75% crash-20%/exp50% recover-5% no panic,0.65,0.25,0.1,252,-0.08,-0.2,0.75,0.5,-0.05,,,,2006-12-29,2026-04-29,0.20790994221956566,0.14781281131699545,2431,0
23.845603125663587,0.175044652461273,0.14409019676889417,0.9839506010560433,1.4152429028720037,-0.19183945737169217,0.5420486249501794,Gold25 crash DD252 warn-8%/exp75% crash-25%/exp50% recover-5% no panic,0.65,0.25,0.1,252,-0.08,-0.25,0.75,0.5,-0.05,,,,2006-12-29,2026-04-29,0.20981520223152023,0.14590755130504088,2431,0
22.92021429454113,0.17280740088314483,0.14188552759479386,0.9835802315708518,1.4089750150835811,-0.19060755932603246,0.5426464726982861,Gold25 crash DD252 warn-8%/exp50% crash-15%/exp50% recover-5% panic-30%/MA200/mom63->0,0.65,0.25,0.1,252,-0.08,-0.15,0.5,0.5,-0.05,-0.3,200.0,63.0,2006-12-29,2026-04-29,0.18920601713488744,0.16651673640167367,2431,10
22.92021429454113,0.17280740088314483,0.14188552759479386,0.9835802315708518,1.4089750150835811,-0.19060755932603246,0.5426464726982861,Gold25 crash DD252 warn-8%/exp50% crash-18%/exp50% recover-5% panic-30%/MA200/mom63->0,0.65,0.25,0.1,252,-0.08,-0.18,0.5,0.5,-0.05,-0.3,200.0,63.0,2006-12-29,2026-04-29,0.18920601713488744,0.16651673640167367,2431,10
22.92021429454113,0.17280740088314483,0.14188552759479386,0.9835802315708518,1.4089750150835811,-0.19060755932603246,0.5426464726982861,Gold25 crash DD252 warn-8%/exp50% crash-20%/exp50% recover-5% panic-30%/MA200/mom63->0,0.65,0.25,0.1,252,-0.08,-0.2,0.5,0.5,-0.05,-0.3,200.0,63.0,2006-12-29,2026-04-29,0.18920601713488744,0.16651673640167367,2431,10
22.92021429454113,0.17280740088314483,0.14188552759479386,0.9835802315708518,1.4089750150835811,-0.19060755932603246,0.5426464726982861,Gold25 crash DD252 warn-8%/exp50% crash-25%/exp50% recover-5% panic-30%/MA200/mom63->0,0.65,0.25,0.1,252,-0.08,-0.25,0.5,0.5,-0.05,-0.3,200.0,63.0,2006-12-29,2026-04-29,0.18920601713488744,0.16651673640167367,2431,10
23.67685214347379,0.17464264026321552,0.14381404357592856,0.9831831419577852,1.4128995552750465,-0.19183945737169228,0.5416500597847748,Gold25 crash DD252 warn-8%/exp75% crash-20%/exp50% recover-5% panic-30%/MA200/mom63->0,0.65,0.25,0.1,252,-0.08,-0.2,0.75,0.5,-0.05,-0.3,200.0,63.0,2006-12-29,2026-04-29,0.20766088862323173,0.14806186491332937,2431,10
23.42312928612085,0.17403325975554296,0.14325795760127988,0.9828175899622225,1.4114068105047268,-0.19183945737169217,0.5418493423674771,Gold25 crash DD252 warn-8%/exp75% crash-18%/exp50% recover-5% no panic,0.65,0.25,0.1,252,-0.08,-0.18,0.75,0.5,-0.05,,,,2006-12-29,2026-04-29,0.20332735604702132,0.15239539748953979,2431,0
23.71698323038697,0.17473847988413183,0.14406148963800705,0.9823083129629879,1.4127098719639442,-0.19183945737169206,0.5420486249501794,Gold25 crash DD252 warn-8%/exp75% crash-25%/exp50% recover-5% panic-30%/MA200/mom63->0,0.65,0.25,0.1,252,-0.08,-0.25,0.75,0.5,-0.05,-0.3,200.0,63.0,2006-12-29,2026-04-29,0.2095661486351863,0.1461566049013748,2431,10
23.856739740125914,0.17507109169892,0.14454207009588763,0.9814799501139647,1.4150623194976972,-0.19183945737169195,0.538860103626943,Gold25 crash DD126 warn-8%/exp75% crash-20%/exp50% recover-5% no panic,0.65,0.25,0.1,126,-0.08,-0.2,0.75,0.5,-0.05,,,,2006-12-29,2026-04-29,0.2214584578601315,0.1342642956764296,1953,0
23.856739740125914,0.17507109169892,0.14454207009588763,0.9814799501139647,1.4150623194976972,-0.19183945737169195,0.538860103626943,Gold25 crash DD126 warn-8%/exp75% crash-20%/exp50% recover-5% panic-30%/MA200/mom63->0,0.65,0.25,0.1,126,-0.08,-0.2,0.75,0.5,-0.05,-0.3,200.0,63.0,2006-12-29,2026-04-29,0.2214584578601315,0.1342642956764296,1953,0
